"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.348,0.393,0.307,0.362,0.32,0.339,0.402,0.341,0.346,0.359,0.176,0.558,0.35,0.392,0.343,0.28,0.322,0.122,0.531
"No",0.401,0.394,0.407,0.363,0.426,0.437,0.361,0.383,0.399,0.428,0.611,0.208,0.321,0.353,0.352,0.444,0.461,0.681,0.188
"No sabe",0.251,0.213,0.286,0.275,0.254,0.224,0.237,0.276,0.255,0.213,0.213,0.234,0.329,0.255,0.305,0.276,0.217,0.197,0.281
