"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.086,0.08,0.092,0.073,0.077,0.096,0.105,0.106,0.096,0.058,0.09,0.056,0.124,0.092,0.097,0.093,0.04,6
"Buena",0.142,0.122,0.16,0.099,0.129,0.161,0.179,0.154,0.123,0.154,0.143,0.103,0.099,0.163,0.295,0.041,0.04,6
"Ni buena ni mala",0.174,0.187,0.163,0.148,0.222,0.135,0.155,0.199,0.182,0.145,0.157,0.205,0.172,0.176,0.352,0.036,0.162,6
"Mala",0.105,0.118,0.093,0.101,0.111,0.089,0.116,0.1,0.104,0.109,0.118,0.136,0.107,0.079,0.122,0.088,0.118,6
"Muy mala",0.487,0.486,0.488,0.563,0.46,0.513,0.44,0.431,0.489,0.532,0.487,0.5,0.493,0.481,0.13,0.737,0.631,6
"No sabe",0.006,0.007,0.004,0.016,0.001,0.006,0.005,0.01,0.006,0.002,0.005,0,0.005,0.009,0.004,0.005,0.009,6
"Positiva",0.228,0.202,0.252,0.172,0.206,0.257,0.284,0.26,0.219,0.212,0.233,0.159,0.223,0.255,0.392,0.134,0.08,4
"Neutra",0.174,0.187,0.163,0.148,0.222,0.135,0.155,0.199,0.182,0.145,0.157,0.205,0.172,0.176,0.352,0.036,0.162,4
"Negativa",0.592,0.604,0.581,0.664,0.571,0.602,0.556,0.531,0.593,0.641,0.605,0.636,0.6,0.56,0.252,0.825,0.749,4
"No sabe",0.006,0.007,0.004,0.016,0.001,0.006,0.005,0.01,0.006,0.002,0.005,0,0.005,0.009,0.004,0.005,0.009,4
