"var","categoria","Sergio Massa","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.513,0.428,0.407
"P04","Realizo changas o trabajos de vez en cuando",0.137,0.175,0.239
"P04","No tengo trabajo",0.134,0.151,0.194
"P04","Soy jubilado o pensionado",0.216,0.246,0.16
"P05","1",0.189,0.348,0.319
"P05","2",0.058,0.075,0.084
"P05","3",0.023,0.075,0.065
"P05","4",0.056,0.114,0.063
"P05","5",0.159,0.232,0.233
"P05","6",0.083,0.039,0.026
"P05","7",0.137,0.029,0.048
"P05","8",0.092,0.018,0.028
"P05","9",0.203,0.07,0.134
"P06","1",0.37,0.123,0.225
"P06","2",0.071,0.033,0.054
"P06","3",0.088,0.022,0.027
"P06","4",0.074,0.046,0.033
"P06","5",0.19,0.221,0.18
"P06","6",0.031,0.051,0.049
"P06","7",0.035,0.107,0.061
"P06","8",0.034,0.094,0.07
"P06","9",0.107,0.303,0.301
"P07","1",0.599,0.215,0.263
"P07","2",0.034,0.04,0.035
"P07","3",0.052,0.036,0.03
"P07","4",0.018,0.03,0.014
"P07","5",0.092,0.141,0.122
"P07","6",0.008,0.048,0.037
"P07","7",0.03,0.048,0.052
"P07","8",0.012,0.047,0.04
"P07","9",0.155,0.395,0.407
"P09","Del Frente de Todos y el peronismo",0.789,0.045,0.176
"P09","De juntos por el cambio",0.04,0.674,0.15
"P09","De los Liberales libertarios",0.046,0.197,0.383
"P09","De la Izquierda",0.037,0.01,0.049
"P09","No sabe",0.088,0.074,0.242
"P10","A Alberto Fernández",0.132,0.208,0.4
"P10","A Sergio Massa",0.283,0.144,0.02
"P10","A algún candidato del peronismo",0.098,0.606,0.205
"P10","A algún candidato del kirchnerismo",0.487,0.042,0.375
"P11","A Alberto Fernández",0.079,0.205,0.235
"P11","A Sergio Massa",0.193,0.189,0.018
"P11","A algún candidato del peronismo",0.067,0.578,0.181
"P11","A Cristina Fernández de Kirchner",0.661,0.028,0.566
"P12","A Horacio Rodriguez Larreta",0.161,0.224,0.164
"P12","A Mauricio Macri",0.194,0.341,0.292
"P12","A Patricia Bullrich",0.18,0.368,0.42
"P12","A Facundo Manes",0.322,0.034,0.031
"P12","A Gerardo Morales",0.143,0.033,0.093
"P13","Seguro lo votaria",0.079,0.133,0.135
"P13","Quizás lo votaría",0.184,0.336,0.279
"P13","Nunca lo votaría",0.737,0.531,0.586
"P14","Lo votaría",0.021,0.447,0.122
"P14","Puede que lo vote",0.063,0.319,0.209
"P14","Nunca lo votaría",0.838,0.18,0.544
"P14","No sabe",0.078,0.054,0.125
"P15","Lo votaría",0.35,0.075,0.024
"P15","Puede que lo vote",0.428,0.056,0.059
"P15","Nunca lo votaría",0.152,0.844,0.792
"P15","No sabe",0.07,0.025,0.125
"P16","Lo votaría",0.201,0.018,0.067
"P16","Puede que lo vote",0.479,0.025,0.103
"P16","Nunca lo votaría",0.204,0.945,0.779
"P16","No sabe",0.116,0.012,0.051
"P17","La votaría",0.72,0.011,0.162
"P17","Puede que la vote",0.119,0.016,0.062
"P17","Nunca la votaría",0.138,0.964,0.733
"P17","No sabe",0.023,0.009,0.043
"P18","Lo votaría",0.11,0.26,0.024
"P18","Puede que lo vote",0.049,0.489,0.133
"P18","Nunca lo votaría",0.813,0.218,0.718
"P18","No sabe",0.028,0.033,0.125
"P19","Lo votaría",0.035,0.131,0.046
"P19","Puede que lo vote",0.162,0.341,0.196
"P19","Nunca lo votaría",0.685,0.433,0.611
"P19","No sabe",0.118,0.095,0.147
"P20","La votaría",0.024,0.53,0.202
"P20","Puede que la vote",0.057,0.296,0.269
"P20","Nunca la votaría",0.891,0.14,0.435
"P20","No sabe",0.028,0.034,0.094
"P21","Lo votaría",0.049,0.248,0.351
"P21","Puede que lo vote",0.043,0.299,0.153
"P21","Nunca lo votaría",0.881,0.397,0.406
"P21","No sabe",0.027,0.056,0.09
"P22","La votaría",0.027,0.247,0.084
"P22","Puede que la vote",0.036,0.408,0.14
"P22","Nunca la votaría",0.887,0.268,0.647
"P22","No sabe",0.05,0.077,0.129
"P23","Mauricio Macri por Juntos por el Cambio",0.016,0.221,0.069
