"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.423,0.47,0.478
"P04","Realizo changas o trabajos de vez en cuando",0.149,0.257,0.141
"P04","No tengo trabajo",0.13,0.184,0.161
"P04","Soy jubilado o pensionado",0.298,0.089,0.22
"P05","1",0.364,0.381,0.163
"P05","2",0.07,0.091,0.064
"P05","3",0.084,0.061,0.028
"P05","4",0.108,0.089,0.068
"P05","5",0.222,0.225,0.175
"P05","6",0.05,0.013,0.074
"P05","7",0.03,0.029,0.124
"P05","8",0.015,0.023,0.085
"P05","9",0.057,0.088,0.219
"P06","1",0.124,0.137,0.359
"P06","2",0.037,0.016,0.068
"P06","3",0.022,0.022,0.076
"P06","4",0.04,0.029,0.076
"P06","5",0.224,0.172,0.211
"P06","6",0.057,0.042,0.034
"P06","7",0.111,0.092,0.034
"P06","8",0.1,0.081,0.035
"P06","9",0.285,0.409,0.107
"P07","1",0.214,0.226,0.555
"P07","2",0.038,0.03,0.039
"P07","3",0.039,0.027,0.041
"P07","4",0.025,0.036,0.016
"P07","5",0.144,0.131,0.098
"P07","6",0.037,0.047,0.024
"P07","7",0.051,0.053,0.033
"P07","8",0.045,0.049,0.015
"P07","9",0.407,0.401,0.179
"P09","Del Frente de Todos y el peronismo",0.061,0.091,0.695
"P09","De juntos por el cambio",0.771,0.13,0.075
"P09","De los Liberales libertarios",0.089,0.633,0.03
"P09","De la Izquierda",0.014,0.024,0.044
"P09","No sabe",0.065,0.122,0.156
"P10","A Alberto Fernández",0.168,0.121,0.165
"P10","A Sergio Massa",0.102,0.397,0.241
"P10","A algún candidato del peronismo",0.596,0.228,0.101
"P10","A algún candidato del kirchnerismo",0.134,0.254,0.493
"P11","A Alberto Fernández",0.179,0.08,0.091
"P11","A Sergio Massa",0.095,0.318,0.17
"P11","A algún candidato del peronismo",0.574,0.184,0.074
"P11","A Cristina Fernández de Kirchner",0.152,0.418,0.665
"P12","A Horacio Rodriguez Larreta",0.182,0.352,0.338
"P12","A Mauricio Macri",0.342,0.355,0.202
"P12","A Patricia Bullrich",0.416,0.188,0.1
"P12","A Facundo Manes",0.021,0.072,0.24
"P12","A Gerardo Morales",0.039,0.033,0.12
"P13","Seguro lo votaria",0.097,0.505,0.071
"P13","Quizás lo votaría",0.338,0.305,0.165
"P13","Nunca lo votaría",0.565,0.19,0.764
"P14","Lo votaría",0.508,0.136,0.026
"P14","Puede que lo vote",0.294,0.327,0.08
"P14","Nunca lo votaría",0.151,0.462,0.778
"P14","No sabe",0.047,0.075,0.116
"P15","Lo votaría",0.083,0.108,0.241
"P15","Puede que lo vote",0.055,0.073,0.344
"P15","Nunca lo votaría",0.845,0.77,0.298
"P15","No sabe",0.017,0.049,0.117
"P16","Lo votaría",0.017,0.027,0.182
"P16","Puede que lo vote",0.025,0.094,0.393
"P16","Nunca lo votaría",0.95,0.844,0.307
"P16","No sabe",0.008,0.035,0.118
"P17","La votaría",0.014,0.079,0.628
"P17","Puede que la vote",0.011,0.04,0.103
"P17","Nunca la votaría",0.967,0.848,0.238
"P17","No sabe",0.008,0.033,0.031
"P18","Lo votaría",0.252,0.069,0.107
"P18","Puede que lo vote",0.464,0.264,0.074
"P18","Nunca lo votaría",0.249,0.618,0.751
"P18","No sabe",0.035,0.049,0.068
"P19","Lo votaría",0.12,0.052,0.053
"P19","Puede que lo vote",0.349,0.264,0.162
"P19","Nunca lo votaría",0.438,0.59,0.649
"P19","No sabe",0.093,0.094,0.136
"P20","La votaría",0.62,0.176,0.036
"P20","Puede que la vote",0.276,0.385,0.068
"P20","Nunca la votaría",0.078,0.384,0.83
"P20","No sabe",0.026,0.055,0.066
"P21","Lo votaría",0.139,0.629,0.026
"P21","Puede que lo vote",0.316,0.21,0.044
"P21","Nunca lo votaría",0.486,0.122,0.869
"P21","No sabe",0.059,0.039,0.061
"P22","La votaría",0.247,0.149,0.022
"P22","Puede que la vote",0.412,0.202,0.067
"P22","Nunca la votaría",0.254,0.584,0.827
"P22","No sabe",0.087,0.065,0.084
"P23","Mauricio Macri por Juntos por el Cambio",0.27,0.062,0.014
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.049,0.041
"P23","Patricia Bullrich por Juntos por el Cambio",0.471,0.088,0.02
"P23","María Eugenia Vidal por Juntos por el Cambio",0.053,0.025,0.008
"P23","Facundo Manes por Juntos por el Cambio",0.039,0.04,0.048
"P23","Alberto Fernández por el Frente de Todos",0.011,0.029,0.247
"P23","Sergio Massa por el Frente de Todos",0.012,0.073,0.346
"P23","Javier Milei por los liberales libertarios",0.012,0.592,0.019
"P23","Al candidato del Frente de Izquierda",0.01,0.006,0.078
"P23","No sabe",0.017,0.036,0.179
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.23,0.09,0.049
"P24","Mauricio Macri por Juntos por el Cambio",0.527,0.064,0.02
"P24","Alberto Fernández por el Frente de Todos",0.046,0.021,0.228
"P24","Sergio Massa por el Frente de Todos",0.02,0.093,0.369
"P24","Javier Milei por los liberales libertarios",0.076,0.678,0.033
"P24","Al candidato del Frente de Izquierda",0.023,0.012,0.09
"P24","No sabe",0.078,0.042,0.211
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.229,0.061,0.046
"P25","Patricia Bullrich por Juntos por el Cambio",0.67,0.087,0.019
"P25","Alberto Fernández por el Frente de Todos",0.011,0.026,0.228
"P25","Sergio Massa por el Frente de Todos",0.015,0.075,0.417
"P25","Javier Milei por los liberales libertarios",0.034,0.706,0.023
"P25","Al candidato del Frente de Izquierda",0.006,0.003,0.081
"P25","No sabe",0.035,0.042,0.186
"P26","Sergio Massa por el Frente de Todos",0.031,0.089,0.572
"P26","Mauricio Macri por Juntos por el Cambio",0.76,0.092,0.043
"P26","Javier Milei por los liberales libertarios",0.088,0.75,0.041
"P26","Al candidato del Frente de Izquierda",0.013,0.018,0.083
"P26","No sabe",0.108,0.051,0.261
"P27","Alberto Fernández por el Frente de Todos",0.023,0.068,0.547
"P27","Mauricio Macri por Juntos por el Cambio",0.789,0.107,0.033
"P27","Javier Milei por los liberales libertarios",0.081,0.77,0.033
"P27","Al candidato del Frente de Izquierda",0.014,0.002,0.105
"P27","No sabe",0.093,0.053,0.282
"P28","Alberto Fernández por el Frente de Todos",0.021,0.064,0.543
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.683,0.116,0.074
"P28","Javier Milei por los liberales libertarios",0.149,0.761,0.031
"P28","Al candidato del Frente de Izquierda",0.017,0.003,0.095
"P28","No sabe",0.13,0.056,0.257
"P29","Sergio Massa por el Frente de Todos",0.026,0.076,0.589
