"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Mauricio Macri por Juntos por el Cambio",0.113,0.097,0.129,0.09,0.093,0.129,0.163,0.118,0.106,0.119,0.125,0.146,0.063,0.097,0.02,0.237,0.046
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.065,0.064,0.065,0.054,0.057,0.065,0.093,0.073,0.051,0.077,0.062,0.064,0.108,0.061,0.017,0.119,0.089
"Patricia Bullrich por Juntos por el Cambio",0.179,0.178,0.181,0.099,0.157,0.24,0.238,0.173,0.174,0.194,0.197,0.152,0.134,0.184,0.058,0.314,0.222
"María Eugenia Vidal por Juntos por el Cambio",0.031,0.025,0.036,0.019,0.032,0.033,0.039,0.024,0.034,0.031,0.027,0.036,0.049,0.029,0.008,0.053,0.051
"Facundo Manes por Juntos por el Cambio",0.042,0.042,0.041,0.025,0.046,0.047,0.043,0.027,0.05,0.044,0.048,0.023,0.062,0.041,0.026,0.042,0.136
"Alberto Fernández por el Frente de Todos",0.114,0.1,0.128,0.137,0.119,0.1,0.097,0.191,0.085,0.082,0.083,0.137,0.113,0.13,0.264,0.019,0.043
"Sergio Massa por el Frente de Todos",0.153,0.145,0.161,0.132,0.163,0.15,0.158,0.139,0.151,0.169,0.158,0.135,0.107,0.163,0.336,0.034,0.074
"Javier Milei por los liberales libertarios",0.157,0.218,0.1,0.329,0.168,0.079,0.047,0.124,0.2,0.13,0.16,0.196,0.16,0.138,0.053,0.147,0.179
"Al candidato del Frente de Izquierda",0.037,0.04,0.033,0.057,0.042,0.027,0.016,0.027,0.039,0.042,0.041,0.012,0.035,0.044,0.06,0.004,0.013
"No sabe",0.109,0.091,0.126,0.058,0.123,0.13,0.106,0.104,0.11,0.112,0.099,0.099,0.169,0.113,0.158,0.031,0.147
