"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.498,0.407,0.469,0.434,0.428
"P04","Realizo changas o trabajos de vez en cuando",0.139,0.145,0.229,0.34,0.196
"P04","No tengo trabajo",0.133,0.158,0.191,0.111,0.18
"P04","Soy jubilado o pensionado",0.23,0.29,0.111,0.115,0.196
"P05","1",0.174,0.342,0.392,0.198,0.279
"P05","2",0.061,0.062,0.104,0.016,0.073
"P05","3",0.022,0.08,0.076,0.027,0.037
"P05","4",0.06,0.119,0.067,0.044,0.069
"P05","5",0.174,0.234,0.208,0.121,0.247
"P05","6",0.077,0.049,0.013,0.083,0.041
"P05","7",0.138,0.026,0.025,0.136,0.075
"P05","8",0.09,0.022,0.018,0.115,0.027
"P05","9",0.204,0.066,0.097,0.26,0.152
"P06","1",0.376,0.144,0.106,0.405,0.296
"P06","2",0.069,0.043,0.026,0.056,0.064
"P06","3",0.082,0.025,0.015,0.075,0.05
"P06","4",0.077,0.049,0.019,0.064,0.044
"P06","5",0.202,0.227,0.166,0.178,0.213
"P06","6",0.032,0.06,0.038,0,0.044
"P06","7",0.031,0.097,0.101,0.044,0.028
"P06","8",0.03,0.086,0.085,0.028,0.053
"P06","9",0.101,0.269,0.444,0.15,0.208
"P07","1",0.595,0.236,0.188,0.614,0.334
"P07","2",0.038,0.045,0.031,0.028,0.037
"P07","3",0.047,0.046,0.026,0.018,0.032
"P07","4",0.021,0.027,0.019,0.013,0.026
"P07","5",0.091,0.125,0.14,0.027,0.141
"P07","6",0.007,0.038,0.052,0.041,0.02
"P07","7",0.025,0.046,0.061,0.053,0.026
"P07","8",0.011,0.044,0.06,0,0.025
"P07","9",0.165,0.393,0.423,0.206,0.359
"P09","Del Frente de Todos y el peronismo",0.845,0.056,0.034,0.359,0.324
"P09","De juntos por el cambio",0.036,0.809,0.174,0.045,0.243
"P09","De los Liberales libertarios",0.028,0.053,0.689,0.089,0.057
"P09","De la Izquierda",0.011,0.01,0.009,0.429,0.035
"P09","No sabe",0.08,0.072,0.094,0.078,0.341
"P10","A Alberto Fernández",0.153,0.215,0.103,0.135,0.297
"P10","A Sergio Massa",0.294,0.161,0.365,0,0.059
"P10","A algún candidato del peronismo",0.1,0.599,0.471,0.105,0.18
"P10","A algún candidato del kirchnerismo",0.453,0.025,0.061,0.76,0.464
"P11","A Alberto Fernández",0.106,0.216,0.047,0.02,0.18
"P11","A Sergio Massa",0.205,0.186,0.222,0,0.04
