"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.44,0.45,0.472
"P04","Realizo changas o trabajos de vez en cuando",0.142,0.251,0.144
"P04","No tengo trabajo",0.134,0.186,0.148
"P04","Soy jubilado o pensionado",0.284,0.113,0.236
"P05","1",0.334,0.371,0.189
"P05","2",0.067,0.092,0.065
"P05","3",0.073,0.072,0.031
"P05","4",0.122,0.088,0.056
"P05","5",0.22,0.231,0.169
"P05","6",0.05,0.014,0.076
"P05","7",0.039,0.029,0.12
"P05","8",0.021,0.021,0.08
"P05","9",0.074,0.082,0.214
"P06","1",0.15,0.12,0.354
"P06","2",0.041,0.022,0.062
"P06","3",0.028,0.022,0.072
"P06","4",0.068,0.024,0.055
"P06","5",0.209,0.186,0.219
"P06","6",0.056,0.034,0.041
"P06","7",0.094,0.106,0.04
"P06","8",0.09,0.089,0.039
"P06","9",0.264,0.397,0.118
"P07","1",0.25,0.197,0.546
"P07","2",0.058,0.023,0.026
"P07","3",0.046,0.026,0.036
"P07","4",0.019,0.038,0.019
"P07","5",0.129,0.154,0.097
"P07","6",0.036,0.053,0.019
"P07","7",0.043,0.058,0.036
"P07","8",0.038,0.044,0.023
"P07","9",0.381,0.407,0.198
"P09","Del Frente de Todos y el peronismo",0.106,0.073,0.675
"P09","De juntos por el cambio",0.752,0.173,0.106
"P09","De los Liberales libertarios",0.042,0.631,0.027
"P09","De la Izquierda",0.017,0.019,0.043
"P09","No sabe",0.083,0.104,0.149
"P10","A Alberto Fernández",0.158,0.173,0.162
"P10","A Sergio Massa",0.272,0.347,0.228
"P10","A algún candidato del peronismo",0.395,0.312,0.097
"P10","A algún candidato del kirchnerismo",0.175,0.168,0.513
"P11","A Alberto Fernández",0.143,0.104,0.089
"P11","A Sergio Massa",0.224,0.29,0.158
"P11","A algún candidato del peronismo",0.315,0.3,0.076
"P11","A Cristina Fernández de Kirchner",0.318,0.306,0.677
"P12","A Horacio Rodriguez Larreta",0.23,0.104,0.183
"P12","A Mauricio Macri",0.344,0.306,0.311
"P12","A Patricia Bullrich",0.352,0.532,0.294
