"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Facundo Manes","Muy buena",0.068,0.062,0.074,0.031,0.07,0.084,0.076,0.079,0.068,0.06,0.068,0.076,0.063,0.066,0.039,0.093,0.133
"Facundo Manes","Buena",0.143,0.157,0.131,0.11,0.134,0.162,0.165,0.135,0.139,0.156,0.133,0.175,0.132,0.14,0.086,0.199,0.156
"Facundo Manes","Ni buena ni mala",0.368,0.362,0.374,0.323,0.355,0.371,0.429,0.373,0.37,0.362,0.371,0.35,0.411,0.368,0.38,0.368,0.393
"Facundo Manes","Mala",0.15,0.147,0.153,0.166,0.131,0.17,0.147,0.133,0.154,0.159,0.148,0.123,0.135,0.165,0.17,0.142,0.113
"Facundo Manes","Muy mala",0.202,0.213,0.191,0.308,0.213,0.171,0.128,0.169,0.202,0.227,0.21,0.146,0.189,0.22,0.262,0.147,0.124
"Facundo Manes","No sabe",0.069,0.059,0.077,0.062,0.097,0.042,0.055,0.111,0.067,0.036,0.07,0.13,0.07,0.041,0.063,0.051,0.081
"Patricia Bullrich","Muy buena",0.249,0.226,0.269,0.172,0.216,0.306,0.301,0.237,0.241,0.268,0.265,0.262,0.176,0.239,0.065,0.448,0.219
"Patricia Bullrich","Buena",0.181,0.204,0.16,0.183,0.176,0.157,0.219,0.201,0.179,0.167,0.178,0.186,0.21,0.177,0.071,0.259,0.253
"Patricia Bullrich","Ni buena ni mala",0.139,0.146,0.133,0.177,0.145,0.122,0.119,0.148,0.146,0.123,0.139,0.178,0.168,0.118,0.089,0.13,0.235
"Patricia Bullrich","Mala",0.082,0.109,0.058,0.116,0.071,0.078,0.082,0.111,0.089,0.051,0.077,0.111,0.094,0.073,0.114,0.034,0.097
"Patricia Bullrich","Muy mala",0.328,0.294,0.36,0.31,0.367,0.328,0.269,0.252,0.332,0.386,0.316,0.248,0.309,0.377,0.636,0.123,0.177
"Patricia Bullrich","No sabe",0.021,0.021,0.02,0.042,0.025,0.009,0.01,0.051,0.013,0.005,0.025,0.015,0.043,0.016,0.025,0.006,0.019
"Horacio Rodriguez Larreta","Muy buena",0.119,0.095,0.141,0.092,0.094,0.14,0.162,0.137,0.107,0.119,0.113,0.162,0.093,0.109,0.024,0.218,0.143
"Horacio Rodriguez Larreta","Buena",0.225,0.226,0.224,0.131,0.203,0.255,0.308,0.263,0.216,0.205,0.241,0.235,0.254,0.203,0.061,0.386,0.363
"Horacio Rodriguez Larreta","Ni buena ni mala",0.197,0.202,0.193,0.156,0.21,0.201,0.204,0.187,0.213,0.187,0.188,0.209,0.225,0.197,0.164,0.206,0.218
"Horacio Rodriguez Larreta","Mala",0.153,0.179,0.128,0.217,0.137,0.15,0.131,0.17,0.132,0.164,0.15,0.144,0.217,0.149,0.215,0.087,0.131
