"var","categoria","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P28","Alberto Fernández por el Frente de Todos",0.082,0.043,0.508
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.693,0.175,0.077
"P28","Javier Milei por los liberales libertarios",0.099,0.706,0.039
"P28","Al candidato del Frente de Izquierda",0.013,0.006,0.096
"P28","No sabe",0.113,0.07,0.28
"P29","Sergio Massa por el Frente de Todos",0.089,0.048,0.563
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.682,0.19,0.067
"P29","Javier Milei por los liberales libertarios",0.106,0.691,0.037
"P29","Al candidato del Frente de Izquierda",0.011,0.018,0.079
"P29","No sabe",0.112,0.053,0.254
"P30","Sergio Massa por el Frente de Todos",0.116,0.077,0.522
"P30","Patricia Bullrich por Juntos por el Cambio",0.768,0.258,0.084
"P30","Javier Milei por los liberales libertarios",0.038,0.61,0.043
"P30","Al candidato del Frente de Izquierda",0.008,0.008,0.085
"P30","No sabe",0.07,0.047,0.266
"P32","Alberto Fernández por el Frente de Todos",0.138,0.095,0.494
"P32","Patricia Bullrich por Juntos por el Cambio",0.749,0.22,0.082
"P32","Javier Milei por los liberales libertarios",0.034,0.634,0.042
"P32","Al candidato del Frente de Izquierda",0.012,0.011,0.107
"P32","No sabe",0.067,0.04,0.275
"P34","Sergio Massa por el Frente de Todos",0.109,0.098,0.654
"P34","Mauricio Macri por Juntos por el Cambio",0.86,0.576,0.05
"P34","No sabe",0.031,0.326,0.296
"P35","Sergio Massa",0.106,0.106,0.655
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.797,0.512,0.084
"P35","No sabe",0.097,0.382,0.261
"P36","Alberto Fernández por el Frente de Todos",0.101,0.07,0.638
"P36","Mauricio Macri por Juntos por el Cambio",0.867,0.641,0.052
"P36","No sabe",0.032,0.289,0.31
"P37","Alberto Fernández",0.109,0.081,0.619
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.796,0.534,0.107
"P37","No sabe",0.095,0.385,0.274
"P38","Sergio Massa por el Frente de Todos",0.115,0.091,0.666
"P38","Patricia Bullrich por Juntos por el Cambio",0.822,0.692,0.082
"P38","No sabe",0.063,0.217,0.252
"P39","Alberto Fernández por el Frente de Todos",0.111,0.069,0.647
"P39","Patricia Bullrich por Juntos por el Cambio",0.849,0.734,0.083
"P39","No sabe",0.04,0.197,0.27
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.769,0.188,0.101
"P41","Javier Milei por los liberales libertarios",0.099,0.779,0.038
"P41","No sabe",0.132,0.033,0.861
"P42","Patricia Bullrich por Juntos por el Cambio",0.824,0.235,0.075
"P42","Javier Milei por los liberales libertarios",0.059,0.712,0.045
"P42","No sabe",0.117,0.053,0.88
"P43","Muy buena",0.094,0.06,0.099
"P43","Buena",0.038,0.1,0.265
"P43","Ni buena ni mala",0.054,0.044,0.375
"P43","Mala",0.088,0.094,0.127
"P43","Muy mala",0.725,0.694,0.126
"P43","No sabe",0.001,0.008,0.008
"P44","Muy buena",0.02,0.01,0.106
"P44","Buena",0.037,0.034,0.259
"P44","Ni buena ni mala",0.04,0.065,0.329
"P44","Mala",0.103,0.105,0.144
"P44","Muy mala",0.799,0.775,0.156
"P44","No sabe",0.001,0.011,0.006
"P45","Muy buena",0.065,0.048,0.507
"P45","Buena",0.014,0.021,0.147
"P45","Ni buena ni mala",0.023,0.021,0.106
"P45","Mala",0.043,0.065,0.056
"P45","Muy mala",0.849,0.842,0.173
"P45","No sabe",0.006,0.003,0.011
"P46","Muy buena",0.37,0.065,0.05
"P46","Buena",0.31,0.193,0.028
"P46","Ni buena ni mala",0.154,0.264,0.107
"P46","Mala",0.041,0.182,0.163
"P46","Muy mala",0.12,0.285,0.636
"P46","No sabe",0.005,0.011,0.016
"P47","Muy buena",0.241,0.097,0.025
"P47","Buena",0.388,0.244,0.065
"P47","Ni buena ni mala",0.232,0.227,0.146
"P47","Mala",0.065,0.165,0.222
"P47","Muy mala",0.066,0.238,0.515
"P47","No sabe",0.008,0.029,0.027
"P48","Muy buena",0.044,0.055,0.135
"P48","Buena",0.083,0.088,0.275
"P48","Ni buena ni mala",0.109,0.1,0.257
"P48","Mala",0.158,0.172,0.132
"P48","Muy mala",0.596,0.564,0.171
"P48","No sabe",0.01,0.021,0.03
"P49","Muy buena",0.481,0.266,0.03
"P49","Buena",0.24,0.237,0.088
"P49","Ni buena ni mala",0.105,0.231,0.106
"P49","Mala",0.046,0.088,0.111
"P49","Muy mala",0.126,0.161,0.625
"P49","No sabe",0.002,0.017,0.04
"P50","Muy buena",0.102,0.444,0.023
"P50","Buena",0.15,0.283,0.032
"P50","Ni buena ni mala",0.357,0.158,0.12
"P50","Mala",0.178,0.031,0.14
"P50","Muy mala",0.184,0.065,0.647
"P50","No sabe",0.029,0.019,0.038
"P51","Muy buena",0.244,0.128,0.022
"P51","Buena",0.358,0.263,0.069
"P51","Ni buena ni mala",0.212,0.241,0.103
"P51","Mala",0.072,0.141,0.144
"P51","Muy mala",0.086,0.214,0.628
"P51","No sabe",0.028,0.013,0.034
"P52","Muy buena",0.086,0.081,0.044
"P52","Buena",0.178,0.174,0.09
"P52","Ni buena ni mala",0.395,0.352,0.356
"P52","Mala",0.158,0.118,0.165
"P52","Muy mala",0.142,0.192,0.262
"P52","No sabe",0.041,0.083,0.083
"P53","Siempre",0.306,0.297,0.315
"P53","Casi siempre",0.441,0.385,0.415
"P53","Casi nunca",0.183,0.249,0.165
"P53","Nunca, pero esta es una excepción",0.07,0.069,0.105
"P54","Si",0.561,0.628,0.578
"P54","No",0.439,0.372,0.422
