"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.336,0.278,0.277,0.269
"P05","2",0.053,0.138,0.064,0.063
"P05","3",0.054,0.042,0.106,0.036
"P05","4",0.066,0.057,0.041,0.154
"P05","5",0.19,0.201,0.212,0.155
"P05","6",0.05,0.036,0.014,0.055
"P05","7",0.092,0.038,0.045,0.056
"P05","8",0.033,0.038,0.051,0.039
"P05","9",0.126,0.172,0.19,0.173
"P06","1",0.222,0.26,0.28,0.281
"P06","2",0.045,0.065,0.068,0.056
"P06","3",0.053,0.037,0.027,0.04
"P06","4",0.056,0.038,0.05,0.043
"P06","5",0.204,0.165,0.194,0.159
"P06","6",0.04,0.033,0.025,0.049
"P06","7",0.076,0.053,0.043,0.06
"P06","8",0.058,0.06,0.049,0.071
"P06","9",0.246,0.289,0.264,0.241
"P07","1",0.389,0.289,0.4,0.352
"P07","2",0.042,0.04,0.039,0.026
"P07","3",0.046,0.022,0.025,0.03
"P07","4",0.021,0.041,0.007,0.016
"P07","5",0.125,0.083,0.108,0.092
"P07","6",0.02,0.025,0.019,0.024
"P07","7",0.041,0.03,0.038,0.032
"P07","8",0.035,0.022,0.03,0.044
"P07","9",0.281,0.448,0.334,0.384
"P09","Del Frente de Todos y el peronismo",0.34,0.275,0.271,0.315
"P09","De juntos por el cambio",0.303,0.249,0.284,0.434
"P09","De los Liberales libertarios",0.193,0.215,0.207,0.104
"P09","De la Izquierda",0.031,0.046,0.034,0.012
"P09","No sabe",0.133,0.215,0.204,0.135
"P10","A Alberto Fernández",0.11,0.354,0.376,0.195
"P10","A Sergio Massa",0.237,0.224,0.221,0.232
"P10","A algún candidato del peronismo",0.197,0.136,0.143,0.124
"P10","A algún candidato del kirchnerismo",0.456,0.286,0.26,0.449
"P11","A Alberto Fernández",0.071,0.276,0.262,0.125
"P11","A Sergio Massa",0.163,0.167,0.149,0.156
"P11","A algún candidato del peronismo",0.156,0.121,0.107,0.108
"P11","A Cristina Fernández de Kirchner",0.61,0.436,0.482,0.611
"P12","A Horacio Rodriguez Larreta",0.256,0.278,0.237,0.153
"P12","A Mauricio Macri",0.344,0.285,0.343,0.356
"P12","A Patricia Bullrich",0.287,0.342,0.362,0.4
"P12","A Facundo Manes",0.056,0.06,0.029,0.055
"P12","A Gerardo Morales",0.057,0.035,0.029,0.036
"P13","Seguro lo votaria",0.168,0.191,0.219,0.134
"P13","Quizás lo votaría",0.329,0.352,0.238,0.329
"P13","Nunca lo votaría",0.503,0.457,0.543,0.537
"P14","Lo votaría",0.196,0.173,0.192,0.321
"P14","Puede que lo vote",0.21,0.211,0.194,0.158
"P14","Nunca lo votaría",0.519,0.519,0.478,0.429
"P14","No sabe",0.075,0.097,0.136,0.092
"P15","Lo votaría",0.141,0.112,0.145,0.168
"P15","Puede que lo vote",0.217,0.167,0.153,0.155
"P15","Nunca lo votaría",0.574,0.586,0.586,0.593
"P15","No sabe",0.068,0.135,0.116,0.084
"P16","Lo votaría",0.078,0.128,0.131,0.106
"P16","Puede que lo vote",0.199,0.185,0.135,0.159
"P16","Nunca lo votaría",0.655,0.611,0.652,0.673
"P16","No sabe",0.068,0.076,0.082,0.062
"P17","La votaría",0.285,0.272,0.287,0.284
"P17","Puede que la vote",0.061,0.063,0.057,0.049
"P17","Nunca la votaría",0.632,0.615,0.609,0.639
"P17","No sabe",0.022,0.05,0.047,0.028
"P18","Lo votaría",0.143,0.105,0.093,0.185
"P18","Puede que lo vote",0.246,0.22,0.227,0.266
"P18","Nunca lo votaría",0.565,0.599,0.551,0.465
"P18","No sabe",0.046,0.076,0.129,0.084
"P19","Lo votaría",0.08,0.07,0.038,0.095
"P19","Puede que lo vote",0.245,0.202,0.187,0.217
"P19","Nunca lo votaría",0.568,0.556,0.6,0.529
"P19","No sabe",0.107,0.172,0.175,0.159
"P20","La votaría",0.235,0.224,0.241,0.33
"P20","Puede que la vote",0.213,0.196,0.182,0.186
"P20","Nunca la votaría",0.508,0.495,0.469,0.404
"P20","No sabe",0.044,0.085,0.108,0.08
"P21","Lo votaría",0.205,0.283,0.231,0.129
"P21","Puede que lo vote",0.182,0.163,0.204,0.18
"P21","Nunca lo votaría",0.565,0.476,0.472,0.594
"P21","No sabe",0.048,0.078,0.093,0.097
"P22","La votaría",0.13,0.127,0.092,0.14
"P22","Puede que la vote",0.201,0.195,0.231,0.225
"P22","Nunca la votaría",0.59,0.575,0.551,0.51
"P22","No sabe",0.079,0.103,0.126,0.125
"P23","Mauricio Macri por Juntos por el Cambio",0.107,0.082,0.119,0.154
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.043,0.065,0.079
"P23","Patricia Bullrich por Juntos por el Cambio",0.169,0.182,0.152,0.222
"P23","María Eugenia Vidal por Juntos por el Cambio",0.035,0.027,0.024,0.031
"P23","Facundo Manes por Juntos por el Cambio",0.051,0.04,0.025,0.037
"P23","Alberto Fernández por el Frente de Todos",0.081,0.148,0.158,0.119
"P23","Sergio Massa por el Frente de Todos",0.186,0.098,0.123,0.157
"P23","Javier Milei por los liberales libertarios",0.149,0.23,0.202,0.067
"P23","Al candidato del Frente de Izquierda",0.038,0.045,0.04,0.022
"P23","No sabe",0.116,0.105,0.092,0.112
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.133,0.086,0.114,0.157
"P24","Mauricio Macri por Juntos por el Cambio",0.169,0.191,0.17,0.285
"P24","Alberto Fernández por el Frente de Todos",0.094,0.142,0.168,0.116
"P24","Sergio Massa por el Frente de Todos",0.197,0.106,0.115,0.185
"P24","Javier Milei por los liberales libertarios",0.205,0.275,0.24,0.087
"P24","Al candidato del Frente de Izquierda",0.06,0.048,0.063,0.032
"P24","No sabe",0.142,0.152,0.13,0.138
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.127,0.072,0.102,0.154
"P25","Patricia Bullrich por Juntos por el Cambio",0.228,0.276,0.209,0.322
"P25","Alberto Fernández por el Frente de Todos",0.09,0.131,0.154,0.119
"P25","Sergio Massa por el Frente de Todos",0.21,0.117,0.133,0.189
"P25","Javier Milei por los liberales libertarios",0.188,0.246,0.256,0.089
"P25","Al candidato del Frente de Izquierda",0.038,0.041,0.052,0.025
"P25","No sabe",0.119,0.117,0.094,0.102
"P26","Sergio Massa por el Frente de Todos",0.279,0.202,0.208,0.27
"P26","Mauricio Macri por Juntos por el Cambio",0.275,0.231,0.281,0.43
"P26","Javier Milei por los liberales libertarios",0.235,0.338,0.258,0.109
"P26","Al candidato del Frente de Izquierda",0.042,0.065,0.039,0.027
"P26","No sabe",0.169,0.164,0.214,0.164
"P27","Alberto Fernández por el Frente de Todos",0.264,0.206,0.213,0.245
"P27","Mauricio Macri por Juntos por el Cambio",0.295,0.258,0.269,0.449
"P27","Javier Milei por los liberales libertarios",0.224,0.323,0.266,0.11
"P27","Al candidato del Frente de Izquierda",0.042,0.06,0.065,0.028
"P27","No sabe",0.175,0.153,0.187,0.168
"P28","Alberto Fernández por el Frente de Todos",0.251,0.21,0.223,0.248
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.278,0.242,0.259,0.391
"P28","Javier Milei por los liberales libertarios",0.247,0.318,0.287,0.128
