"var","categoria","Alberto Fernández","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P52","Ni buena ni mala",0.395,0.381,0.31
"P52","Mala",0.167,0.142,0.144
"P52","Muy mala",0.278,0.104,0.293
"P52","No sabe",0.067,0.055,0.098
"P53","Siempre",0.348,0.32,0.23
"P53","Casi siempre",0.403,0.432,0.4
"P53","Casi nunca",0.154,0.186,0.261
"P53","Nunca, pero esta es una excepción",0.095,0.062,0.109
"P54","Si",0.606,0.586,0.559
"P54","No",0.394,0.414,0.441
