"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.506,0.422,0.418
"P04","Realizo changas o trabajos de vez en cuando",0.144,0.181,0.222
"P04","No tengo trabajo",0.133,0.149,0.22
"P04","Soy jubilado o pensionado",0.217,0.248,0.14
"P05","1",0.183,0.365,0.293
"P05","2",0.056,0.087,0.052
"P05","3",0.018,0.082,0.047
"P05","4",0.06,0.113,0.053
"P05","5",0.159,0.211,0.273
"P05","6",0.087,0.033,0.029
"P05","7",0.137,0.028,0.047
"P05","8",0.096,0.017,0.027
"P05","9",0.204,0.064,0.179
"P06","1",0.365,0.12,0.256
"P06","2",0.074,0.039,0.032
"P06","3",0.086,0.023,0.025
"P06","4",0.081,0.036,0.04
"P06","5",0.195,0.196,0.24
"P06","6",0.032,0.051,0.042
"P06","7",0.037,0.107,0.048
"P06","8",0.035,0.095,0.062
"P06","9",0.095,0.333,0.255
"P07","1",0.597,0.198,0.319
"P07","2",0.035,0.038,0.031
"P07","3",0.056,0.035,0.028
"P07","4",0.018,0.028,0.017
"P07","5",0.08,0.14,0.151
"P07","6",0.009,0.053,0.023
"P07","7",0.031,0.051,0.044
"P07","8",0.012,0.044,0.043
"P07","9",0.162,0.413,0.344
"P09","Del Frente de Todos y el peronismo",0.795,0.04,0.215
"P09","De juntos por el cambio",0.043,0.615,0.161
"P09","De los Liberales libertarios",0.026,0.272,0.259
"P09","De la Izquierda",0.038,0.009,0.057
"P09","No sabe",0.098,0.064,0.308
"P10","A Alberto Fernández",0.138,0.206,0.356
"P10","A Sergio Massa",0.287,0.105,0.013
"P10","A algún candidato del peronismo",0.093,0.576,0.267
"P10","A algún candidato del kirchnerismo",0.482,0.113,0.364
"P11","A Alberto Fernández",0.081,0.224,0.195
"P11","A Sergio Massa",0.2,0.151,0.007
"P11","A algún candidato del peronismo",0.067,0.524,0.246
"P11","A Cristina Fernández de Kirchner",0.652,0.101,0.552
"P12","A Horacio Rodriguez Larreta",0.216,0.195,0.38
"P12","A Mauricio Macri",0.261,0.339,0.278
"P12","A Patricia Bullrich",0.061,0.407,0.121
"P12","A Facundo Manes",0.281,0.023,0.149
"P12","A Gerardo Morales",0.181,0.036,0.072
"P13","Seguro lo votaria",0.062,0.13,0.185
"P13","Quizás lo votaría",0.295,0.332,0.251
"P13","Nunca lo votaría",0.643,0.538,0.564
"P14","Lo votaría",0.02,0.411,0.117
"P14","Puede que lo vote",0.062,0.335,0.153
"P14","Nunca lo votaría",0.838,0.2,0.577
"P14","No sabe",0.08,0.054,0.153
"P15","Lo votaría",0.347,0.062,0.05
"P15","Puede que lo vote",0.436,0.045,0.06
"P15","Nunca lo votaría",0.146,0.87,0.732
"P15","No sabe",0.071,0.023,0.158
"P16","Lo votaría",0.211,0.008,0.09
"P16","Puede que lo vote",0.484,0.02,0.114
"P16","Nunca lo votaría",0.189,0.962,0.719
"P16","No sabe",0.116,0.01,0.077
"P17","La votaría",0.727,0.01,0.183
"P17","Puede que la vote",0.124,0.012,0.064
"P17","Nunca la votaría",0.124,0.97,0.696
"P17","No sabe",0.025,0.008,0.057
"P18","Lo votaría",0.108,0.213,0.076
"P18","Puede que lo vote",0.069,0.428,0.16
"P18","Nunca lo votaría",0.786,0.319,0.646
"P18","No sabe",0.037,0.04,0.118
"P19","Lo votaría",0.038,0.109,0.067
"P19","Puede que lo vote",0.174,0.315,0.219
"P19","Nunca lo votaría",0.671,0.474,0.56
"P19","No sabe",0.117,0.102,0.154
"P20","La votaría",0.018,0.542,0.076
"P20","Puede que la vote",0.049,0.334,0.18
"P20","Nunca la votaría",0.903,0.096,0.607
"P20","No sabe",0.03,0.028,0.137
"P21","Lo votaría",0.035,0.301,0.27
"P21","Puede que lo vote",0.045,0.29,0.136
"P21","Nunca lo votaría",0.893,0.356,0.477
"P21","No sabe",0.027,0.053,0.117
"P22","La votaría",0.02,0.22,0.114
"P22","Puede que la vote",0.043,0.385,0.123
"P22","Nunca la votaría",0.879,0.309,0.648
"P22","No sabe",0.058,0.086,0.115
"P23","Mauricio Macri por Juntos por el Cambio",0.02,0.208,0.059
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.099,0.079
"P23","Patricia Bullrich por Juntos por el Cambio",0.008,0.384,0.053
"P23","María Eugenia Vidal por Juntos por el Cambio",0.002,0.047,0.036
"P23","Facundo Manes por Juntos por el Cambio",0.031,0.042,0.071
"P23","Alberto Fernández por el Frente de Todos",0.257,0.01,0.113
"P23","Sergio Massa por el Frente de Todos",0.462,0.007,0.018
"P23","Javier Milei por los liberales libertarios",0.016,0.184,0.288
"P23","Al candidato del Frente de Izquierda",0.07,0.004,0.056
"P23","No sabe",0.118,0.015,0.227
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.205,0.107
"P24","Mauricio Macri por Juntos por el Cambio",0.014,0.406,0.073
"P24","Alberto Fernández por el Frente de Todos",0.222,0.042,0.113
