"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P25","Javier Milei por los liberales libertarios",0.119,0.321,0.184,0.218
"P25","Al candidato del Frente de Izquierda",0.011,0.011,0.06,0
"P25","No sabe",0.038,0.076,0.134,0.441
"P26","Sergio Massa por el Frente de Todos",0.085,0.076,0.433,0.113
"P26","Mauricio Macri por Juntos por el Cambio",0.688,0.287,0.093,0.169
"P26","Javier Milei por los liberales libertarios",0.157,0.396,0.217,0.246
"P26","Al candidato del Frente de Izquierda",0.016,0.02,0.063,0.186
"P26","No sabe",0.054,0.221,0.194,0.286
"P27","Alberto Fernández por el Frente de Todos",0.071,0.092,0.404,0.218
"P27","Mauricio Macri por Juntos por el Cambio",0.72,0.304,0.087,0.17
"P27","Javier Milei por los liberales libertarios",0.149,0.385,0.22,0.241
"P27","Al candidato del Frente de Izquierda",0.012,0.023,0.077,0.187
"P27","No sabe",0.048,0.196,0.212,0.184
"P28","Alberto Fernández por el Frente de Todos",0.066,0.079,0.41,0.128
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.584,0.404,0.102,0.021
"P28","Javier Milei por los liberales libertarios",0.228,0.368,0.218,0.175
"P28","Al candidato del Frente de Izquierda",0.013,0.014,0.073,0.171
"P28","No sabe",0.109,0.135,0.197,0.505
"P29","Sergio Massa por el Frente de Todos",0.077,0.066,0.448,0.323
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.578,0.392,0.1,0.047
"P29","Javier Milei por los liberales libertarios",0.235,0.363,0.21,0.219
"P29","Al candidato del Frente de Izquierda",0.01,0.021,0.068,0.015
"P29","No sabe",0.1,0.158,0.174,0.396
"P30","Sergio Massa por el Frente de Todos",0.094,0.099,0.429,0.195
"P30","Patricia Bullrich por Juntos por el Cambio",0.712,0.382,0.128,0.119
"P30","Javier Milei por los liberales libertarios",0.134,0.336,0.199,0.175
"P30","Al candidato del Frente de Izquierda",0.009,0.019,0.067,0
"P30","No sabe",0.051,0.164,0.177,0.511
"P32","Alberto Fernández por el Frente de Todos",0.143,0.076,0.408,0.203
