"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.485,0.413,0.454,0.457,0.486
"P04","Realizo changas o trabajos de vez en cuando",0.144,0.155,0.253,0.22,0.176
"P04","No tengo trabajo",0.137,0.148,0.194,0.193,0.159
"P04","Soy jubilado o pensionado",0.234,0.284,0.099,0.13,0.179
"P05","1",0.227,0.354,0.389,0.138,0.199
"P05","2",0.062,0.068,0.112,0.06,0.045
"P05","3",0.028,0.09,0.076,0.02,0.019
"P05","4",0.067,0.105,0.063,0.051,0.081
"P05","5",0.145,0.22,0.215,0.096,0.319
"P05","6",0.06,0.04,0.008,0.094,0.081
"P05","7",0.124,0.029,0.025,0.141,0.079
"P05","8",0.085,0.016,0.026,0.119,0.032
"P05","9",0.202,0.078,0.086,0.281,0.145
"P06","1",0.402,0.136,0.116,0.349,0.257
"P06","2",0.051,0.048,0.032,0.082,0.061
"P06","3",0.073,0.031,0.013,0.073,0.055
"P06","4",0.069,0.036,0.028,0.079,0.062
"P06","5",0.158,0.201,0.192,0.201,0.29
"P06","6",0.037,0.056,0.037,0.004,0.045
"P06","7",0.04,0.106,0.081,0.043,0.026
"P06","8",0.026,0.103,0.072,0.024,0.05
"P06","9",0.144,0.283,0.429,0.145,0.154
"P07","1",0.565,0.222,0.192,0.661,0.387
"P07","2",0.032,0.046,0.02,0.061,0.035
"P07","3",0.045,0.046,0.022,0.042,0.034
"P07","4",0.016,0.026,0.026,0.005,0.02
"P07","5",0.085,0.131,0.151,0.033,0.136
"P07","6",0.012,0.03,0.062,0,0.039
"P07","7",0.028,0.053,0.048,0.05,0.027
"P07","8",0.01,0.046,0.055,0,0.037
"P07","9",0.207,0.4,0.424,0.148,0.285
"P09","Del Frente de Todos y el peronismo",0.764,0.083,0.035,0.406,0.361
"P09","De juntos por el cambio",0.134,0.736,0.132,0.053,0.168
"P09","De los Liberales libertarios",0.028,0.109,0.716,0.027,0.062
"P09","De la Izquierda",0.007,0.005,0.017,0.403,0.025
"P09","No sabe",0.067,0.067,0.1,0.111,0.384
"P10","A Alberto Fernández",0.208,0.184,0.083,0.014,0.116
"P10","A Sergio Massa",0.253,0.242,0.486,0.185,0.153
"P10","A algún candidato del peronismo",0.081,0.423,0.369,0.074,0.262
"P10","A algún candidato del kirchnerismo",0.458,0.151,0.062,0.727,0.469
"P11","A Alberto Fernández",0.128,0.16,0,0,0.054
"P11","A Sergio Massa",0.171,0.214,0.286,0.152,0.129
"P11","A algún candidato del peronismo",0.052,0.378,0.318,0.033,0.237
"P11","A Cristina Fernández de Kirchner",0.649,0.248,0.396,0.815,0.58
"P12","A Horacio Rodriguez Larreta",0.265,0.174,0.5,0.32,0.336
"P12","A Mauricio Macri",0.435,0.336,0.218,0.094,0.288
"P12","A Patricia Bullrich",0.174,0.438,0.199,0,0.053
"P12","A Facundo Manes",0.075,0.022,0.079,0.531,0.122
"P12","A Gerardo Morales",0.051,0.03,0.004,0.055,0.201
"P13","Seguro lo votaria",0.23,0.101,0.465,0.07,0.097
"P13","Quizás lo votaría",0.26,0.341,0.351,0,0.281
"P13","Nunca lo votaría",0.51,0.558,0.184,0.93,0.622
"P14","Lo votaría",0.096,0.5,0.107,0.017,0.109
"P14","Puede que lo vote",0.069,0.279,0.386,0.037,0.116
"P14","Nunca lo votaría",0.754,0.161,0.446,0.892,0.617
"P14","No sabe",0.081,0.06,0.061,0.054,0.158
"P15","Lo votaría",0.335,0.082,0.052,0.098,0.124
"P15","Puede que lo vote",0.344,0.057,0.051,0.33,0.246
"P15","Nunca lo votaría",0.232,0.842,0.854,0.461,0.456
"P15","No sabe",0.089,0.019,0.043,0.111,0.174
"P16","Lo votaría",0.254,0.023,0.017,0.005,0.072
"P16","Puede que lo vote",0.487,0.035,0.034,0.292,0.177
"P16","Nunca lo votaría",0.175,0.934,0.93,0.6,0.601
"P16","No sabe",0.084,0.008,0.019,0.103,0.15
"P17","La votaría",0.705,0.041,0.026,0.485,0.289
"P17","Puede que la vote",0.11,0.022,0.023,0.121,0.091
"P17","Nunca la votaría",0.168,0.933,0.934,0.367,0.532
"P17","No sabe",0.017,0.004,0.017,0.027,0.088
"P18","Lo votaría",0.133,0.237,0.075,0.027,0.107
"P18","Puede que lo vote",0.091,0.451,0.257,0.097,0.183
"P18","Nunca lo votaría",0.734,0.27,0.634,0.86,0.564
"P18","No sabe",0.042,0.042,0.034,0.016,0.146
"P19","Lo votaría",0.043,0.096,0.068,0.082,0.103
"P19","Puede que lo vote",0.191,0.327,0.247,0.197,0.208
"P19","Nunca lo votaría",0.654,0.482,0.591,0.626,0.468
"P19","No sabe",0.112,0.095,0.094,0.095,0.221
"P20","La votaría",0.077,0.645,0.174,0.03,0.05
"P20","Puede que la vote",0.068,0.243,0.437,0.06,0.159
"P20","Nunca la votaría",0.802,0.092,0.346,0.899,0.64
"P20","No sabe",0.053,0.02,0.043,0.011,0.151
"P21","Lo votaría",0.056,0.154,0.716,0.012,0.028
"P21","Puede que lo vote",0.09,0.304,0.198,0.05,0.088
"P21","Nunca lo votaría",0.821,0.486,0.073,0.921,0.71
"P21","No sabe",0.033,0.056,0.013,0.017,0.174
"P22","La votaría",0.048,0.243,0.165,0.002,0.065
"P22","Puede que la vote",0.083,0.39,0.232,0.042,0.143
"P22","Nunca la votaría",0.803,0.283,0.546,0.912,0.627
"P22","No sabe",0.066,0.084,0.057,0.044,0.165
"P23","Mauricio Macri por Juntos por el Cambio",0.048,0.242,0.056,0.037,0.062
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.091,0.05,0.013,0.102
"P23","Patricia Bullrich por Juntos por el Cambio",0.053,0.487,0.073,0,0.044
"P23","María Eugenia Vidal por Juntos por el Cambio",0.012,0.052,0.032,0.017,0.048
"P23","Facundo Manes por Juntos por el Cambio",0.016,0.033,0.038,0.084,0.098
"P23","Alberto Fernández por el Frente de Todos",0.321,0.027,0.007,0.017,0.085
"P23","Sergio Massa por el Frente de Todos",0.406,0.031,0.026,0.168,0.149
"P23","Javier Milei por los liberales libertarios",0.005,0.017,0.708,0.015,0.006
"P23","Al candidato del Frente de Izquierda",0.01,0.002,0.004,0.596,0.008
"P23","No sabe",0.093,0.018,0.006,0.053,0.398
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.211,0.087,0.034,0.157
"P24","Mauricio Macri por Juntos por el Cambio",0.067,0.501,0.056,0.01,0.079
"P24","Alberto Fernández por el Frente de Todos",0.307,0.052,0.013,0.075,0.064
"P24","Sergio Massa por el Frente de Todos",0.422,0.045,0.038,0.17,0.175
"P24","Javier Milei por los liberales libertarios",0.021,0.091,0.779,0.054,0.05
