"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.526,0.427,0.386
"P04","Realizo changas o trabajos de vez en cuando",0.125,0.178,0.256
"P04","No tengo trabajo",0.135,0.153,0.201
"P04","Soy jubilado o pensionado",0.214,0.242,0.157
"P05","1",0.172,0.365,0.298
"P05","2",0.06,0.083,0.061
"P05","3",0.022,0.083,0.049
"P05","4",0.06,0.107,0.068
"P05","5",0.161,0.217,0.262
"P05","6",0.088,0.034,0.028
"P05","7",0.14,0.026,0.053
"P05","8",0.096,0.015,0.029
"P05","9",0.201,0.07,0.152
"P06","1",0.375,0.116,0.245
"P06","2",0.069,0.035,0.053
"P06","3",0.088,0.024,0.024
"P06","4",0.083,0.036,0.041
"P06","5",0.198,0.196,0.218
"P06","6",0.031,0.05,0.052
"P06","7",0.035,0.107,0.052
"P06","8",0.031,0.101,0.054
"P06","9",0.09,0.335,0.261
"P07","1",0.605,0.207,0.277
"P07","2",0.043,0.036,0.033
"P07","3",0.054,0.032,0.034
"P07","4",0.018,0.025,0.023
"P07","5",0.086,0.145,0.117
"P07","6",0.008,0.04,0.051
"P07","7",0.026,0.053,0.046
"P07","8",0.012,0.046,0.041
"P07","9",0.148,0.416,0.378
"P09","Del Frente de Todos y el peronismo",0.794,0.041,0.193
"P09","De juntos por el cambio",0.045,0.649,0.132
"P09","De los Liberales libertarios",0.036,0.245,0.323
"P09","De la Izquierda",0.036,0.007,0.06
"P09","No sabe",0.089,0.058,0.292
"P10","A Alberto Fernández",0.138,0.21,0.386
"P10","A Sergio Massa",0.282,0.052,0.058
"P10","A algún candidato del peronismo",0.095,0.702,0.17
"P10","A algún candidato del kirchnerismo",0.485,0.036,0.386
"P11","A Alberto Fernández",0.078,0.214,0.234
"P11","A Sergio Massa",0.193,0.101,0.053
"P11","A algún candidato del peronismo",0.066,0.663,0.144
"P11","A Cristina Fernández de Kirchner",0.663,0.022,0.569
"P12","A Horacio Rodriguez Larreta",0.266,0.196,0.355
"P12","A Mauricio Macri",0.097,0.367,0.098
"P12","A Patricia Bullrich",0.176,0.382,0.321
"P12","A Facundo Manes",0.296,0.024,0.113
"P12","A Gerardo Morales",0.165,0.031,0.113
"P13","Seguro lo votaria",0.088,0.133,0.145
"P13","Quizás lo votaría",0.118,0.343,0.25
"P13","Nunca lo votaría",0.794,0.524,0.605
"P14","Lo votaría",0.017,0.475,0.039
"P14","Puede que lo vote",0.056,0.337,0.167
"P14","Nunca lo votaría",0.852,0.136,0.652
"P14","No sabe",0.075,0.052,0.142
"P15","Lo votaría",0.343,0.073,0.031
"P15","Puede que lo vote",0.434,0.042,0.081
"P15","Nunca lo votaría",0.154,0.857,0.751
"P15","No sabe",0.069,0.028,0.137
"P16","Lo votaría",0.2,0.019,0.074
"P16","Puede que lo vote",0.475,0.023,0.123
"P16","Nunca lo votaría",0.208,0.948,0.744
"P16","No sabe",0.117,0.01,0.059
"P17","La votaría",0.714,0.013,0.186
"P17","Puede que la vote",0.129,0.016,0.052
"P17","Nunca la votaría",0.139,0.958,0.714
"P17","No sabe",0.018,0.013,0.048
"P18","Lo votaría",0.112,0.228,0.06
"P18","Puede que lo vote",0.068,0.425,0.197
"P18","Nunca lo votaría",0.795,0.305,0.616
"P18","No sabe",0.025,0.042,0.127
"P19","Lo votaría",0.042,0.105,0.08
"P19","Puede que lo vote",0.172,0.319,0.206
"P19","Nunca lo votaría",0.674,0.481,0.542
"P19","No sabe",0.112,0.095,0.172
"P20","La votaría",0.024,0.556,0.109
"P20","Puede que la vote",0.053,0.293,0.274
"P20","Nunca la votaría",0.901,0.116,0.499
"P20","No sabe",0.022,0.035,0.118
"P21","Lo votaría",0.038,0.29,0.296
"P21","Puede que lo vote",0.036,0.293,0.156
"P21","Nunca lo votaría",0.908,0.361,0.432
"P21","No sabe",0.018,0.056,0.116
"P22","La votaría",0.025,0.234,0.096
"P22","Puede que la vote",0.044,0.4,0.114
"P22","Nunca la votaría",0.883,0.292,0.64
"P22","No sabe",0.048,0.074,0.15
"P23","Mauricio Macri por Juntos por el Cambio",0.009,0.243,0.015
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.105,0.059
"P23","Patricia Bullrich por Juntos por el Cambio",0.017,0.368,0.122
"P23","María Eugenia Vidal por Juntos por el Cambio",0.002,0.052,0.036
"P23","Facundo Manes por Juntos por el Cambio",0.034,0.033,0.074
"P23","Alberto Fernández por el Frente de Todos",0.249,0.006,0.115
"P23","Sergio Massa por el Frente de Todos",0.472,0.005,0.018
"P23","Javier Milei por los liberales libertarios",0.023,0.161,0.31
"P23","Al candidato del Frente de Izquierda",0.062,0.003,0.056
