"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Tiene Decidido que va a ir a votar.",0.843,0.842,0.843,0.814,0.9,0.747,0.89,0.819,0.839,0.889,0.806,0.927,0.855,0.916,0.959,0.857,0.532,0.878,0.943,0.871,1,0.805,0.869
"Tiene dudas sobre si va a ir a  votar",0.133,0.134,0.132,0.144,0.084,0.242,0.076,0.145,0.141,0.1,0.161,0.073,0.128,0.054,0.041,0.115,0.468,0.1,0.057,0.085,0,0.166,0.11
"Tiene Decidido que no va a ir a votar",0.024,0.024,0.025,0.042,0.016,0.011,0.034,0.036,0.02,0.011,0.033,0,0.017,0.03,0,0.028,0,0.022,0,0.044,0,0.029,0.021
