"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.451,0.431,0.471,0.479,0.459,0.427,0.374,0.502,0.42,0.377,0.733,0.559,0.19,0.235,0.156,0.787,0.609,0.15,0.251,0.178,0.008,0.428,0.466
"Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.343,0.335,0.351,0.335,0.298,0.387,0.447,0.324,0.315,0.447,0.188,0.311,0.732,0.528,0.46,0.165,0.244,0.739,0.543,0.222,0.176,0.357,0.334
"Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.06,0.073,0.047,0.062,0.074,0.056,0.011,0.037,0.093,0.056,0.016,0,0.004,0.032,0.224,0.013,0.017,0.045,0,0.061,0.654,0.057,0.061
"Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.004,0.006,0.002,0,0.005,0.006,0.012,0.002,0.006,0.006,0,0,0.008,0,0.012,0,0.01,0.007,0,0,0.025,0.004,0.004
"Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.033,0.038,0.028,0.018,0.049,0.021,0.051,0.021,0.05,0.034,0.029,0.13,0.025,0.03,0.033,0.013,0.042,0.014,0.047,0.483,0.033,0.042,0.028
"Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.022,0.027,0.017,0.014,0.024,0.021,0.042,0.022,0.027,0.012,0.01,0,0.017,0.071,0.038,0.005,0.045,0.009,0.087,0.056,0.037,0.035,0.014
"Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0.005,0.009,0.001,0.006,0,0.013,0.002,0.003,0.008,0.003,0,0,0,0,0,0,0,0,0,0,0,0.006,0.004
"En blanco",0.027,0.04,0.014,0.01,0.047,0.031,0.008,0.038,0.018,0.012,0.004,0,0.007,0.048,0.017,0.004,0,0.021,0.014,0,0.027,0.02,0.031
"No sabe",0.055,0.041,0.069,0.076,0.044,0.038,0.053,0.051,0.063,0.053,0.02,0,0.017,0.056,0.06,0.013,0.033,0.015,0.058,0,0.04,0.051,0.058
