"var","categoria","Frente chaqueño","Juntos por el cambio","Corriente de expresión renovada","Partido Integrador","La libertad avanza","Libertarios en acción","Frente unidos por la gente","En blanco","No sabe"
"P05","Mucho",0.501,0.462,0.442,0.346,0.4,0.594,0.623,0.206,0.191
"P05","Bastante",0.297,0.285,0.502,0.32,0.315,0.156,0.286,0.248,0.156
"P05","Poco",0.134,0.216,0.047,0.3,0.22,0.196,0.067,0.38,0.465
"P05","Nada",0.059,0.023,0.009,0.034,0.053,0.054,0.024,0.166,0.104
"P05","No sabe",0.009,0.014,0,0,0.012,0,0,0,0.084
"P06","Siempre",0.317,0.229,0.293,0.122,0.256,0.042,0.228,0.208,0.102
"P06","Casi siempre",0.298,0.38,0.443,0.262,0.264,0.396,0.311,0.189,0.218
"P06","Casi nunca",0.287,0.26,0.212,0.432,0.338,0.32,0.437,0.251,0.421
"P06","Nunca, pero esta es una excepción",0.098,0.131,0.052,0.184,0.142,0.242,0.024,0.352,0.259
"P11","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.83,0.348,0.085,0.032,0.088,0.103,0.374,0.453,0.235
"P11","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.141,0.606,0.433,0.215,0.346,0.377,0.076,0.116,0.037
"P11","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.014,0.013,0.476,0,0.031,0.134,0,0,0.008
"P11","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.005,0.012,0,0.473,0.043,0,0.038,0.007,0.04
"P11","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.008,0.011,0.006,0,0.41,0.217,0.241,0,0.029
"P11","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.001,0.001,0,0,0.021,0.121,0,0,0
"P11","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0,0,0,0,0.003,0,0.271,0.052,0.006
"P11","En blanco",0.001,0,0,0.173,0.03,0,0,0.325,0.085
