"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.44,0.481,0.499,0.342,0.691,0.238
"P05","Bastante",0.291,0.312,0.348,0.231,0.27,0.221
"P05","Poco",0.208,0.179,0.138,0.325,0,0.362
"P05","Nada",0.047,0.021,0.002,0.102,0,0.072
"P05","No sabe",0.014,0.007,0.013,0,0.039,0.107
"P06","Siempre",0.283,0.221,0.265,0.19,0.335,0.125
"P06","Casi siempre",0.29,0.464,0.358,0.261,0.312,0.252
"P06","Casi nunca",0.317,0.211,0.302,0.349,0.147,0.273
"P06","Nunca, pero esta es una excepción",0.11,0.104,0.075,0.2,0.206,0.35
"P09","Frente chaqueño",0.163,0.335,0.694,0.451,0.475,0.201
"P09","Juntos por el cambio",0.495,0.418,0.191,0.198,0.188,0.218
"P09","Corriente de expresión renovada",0.042,0.038,0.063,0.012,0.025,0.051
"P09","Partido Integrador",0.007,0.003,0.023,0.084,0,0.051
"P09","La libertad avanza",0.182,0.095,0.002,0.112,0.149,0.05
"P09","Libertarios en acción",0.009,0.02,0,0,0,0.014
"P09","Frente unidos por la gente",0.009,0.002,0,0,0.048,0
"P09","En blanco",0.023,0.042,0.004,0.051,0.115,0.123
"P09","No sabe",0.07,0.047,0.023,0.092,0,0.292
"P11","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.324,0.491,0.659,0.471,0.562,0.349
"P11","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.438,0.404,0.21,0.139,0.025,0.267
"P11","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.029,0.027,0.091,0.073,0.025,0
"P11","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.018,0.016,0.008,0.123,0,0.028
"P11","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.101,0.014,0.004,0.102,0.257,0.013
"P11","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.006,0.006,0,0,0,0.014
"P11","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0,0.012,0,0,0.016,0.011
"P11","En blanco",0.023,0.015,0.019,0.058,0.115,0.079
"P11","No sabe",0.061,0.015,0.009,0.034,0,0.239
"P14","Totalmente seguro.",0.766,0.596,0.685,0.674,0.83,0.369
"P14","Bastante seguro",0.115,0.303,0.118,0.256,0.025,0.347
"P14","Algo seguro",0.079,0.047,0.167,0.007,0.145,0.053
"P14","Para nada seguro",0.04,0.054,0.03,0.063,0,0.231
"P15","Tiene Decidido que va a ir a votar.",0.845,0.782,0.952,0.844,0.784,0.774
"P15","Tiene dudas sobre si va a ir a  votar",0.128,0.19,0.038,0.156,0.199,0.164
"P15","Tiene Decidido que no va a ir a votar",0.027,0.028,0.01,0,0.017,0.062
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.258,0.503,0.663,0.486,0.261,0.38
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.253,0.19,0.154,0.138,0.014,0.132
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.427,0.247,0.144,0.259,0.5,0.219
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.021,0.028,0.014,0.051,0.011
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.008,0.002,0.002,0.058,0.017,0.008
"P16","En blanco",0.011,0.003,0.004,0,0.157,0.082
"P16","No sabe",0.034,0.034,0.005,0.045,0,0.168
"P19","Si",0.523,0.544,0.612,0.579,0.678,0.21
"P19","No",0.477,0.456,0.388,0.421,0.322,0.79
"P11_imputada","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.358,0.491,0.663,0.489,0.562,0.395
"P11_imputada","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.457,0.411,0.215,0.148,0.025,0.348
"P11_imputada","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.029,0.027,0.091,0.073,0.025,0
"P11_imputada","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.018,0.016,0.008,0.13,0,0.091
"P11_imputada","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.102,0.017,0.004,0.102,0.257,0.039
"P11_imputada","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.006,0.006,0,0,0,0.014
"P11_imputada","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0,0.012,0,0,0.016,0.034
"P11_imputada","En blanco",0.03,0.02,0.019,0.058,0.115,0.079
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.288,0.523,0.663,0.504,0.261,0.38
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.254,0.201,0.159,0.138,0.014,0.139
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.43,0.247,0.144,0.286,0.5,0.362
