"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.022,0.023,0.021,0.027,0.021,0.026,0.013,0.034,0.02,0.014,0.021,0.026,0.015,0.023,6
"Buena",0.065,0.061,0.068,0.053,0.059,0.058,0.1,0.079,0.058,0.058,0.064,0.061,0.045,0.069,6
"Ni buena ni mala",0.192,0.175,0.21,0.187,0.175,0.174,0.265,0.232,0.172,0.179,0.198,0.228,0.159,0.177,6
"Mala",0.272,0.262,0.282,0.249,0.267,0.282,0.298,0.25,0.278,0.286,0.286,0.267,0.286,0.261,6
"Muy mala",0.411,0.451,0.37,0.428,0.436,0.438,0.293,0.354,0.429,0.444,0.405,0.356,0.479,0.428,6
"No sabe",0.038,0.028,0.049,0.056,0.042,0.022,0.031,0.051,0.043,0.019,0.026,0.062,0.016,0.042,6
"Positiva",0.087,0.084,0.089,0.08,0.08,0.084,0.113,0.113,0.078,0.072,0.085,0.087,0.06,0.092,4
"Neutra",0.192,0.175,0.21,0.187,0.175,0.174,0.265,0.232,0.172,0.179,0.198,0.228,0.159,0.177,4
"Negativa",0.683,0.713,0.652,0.677,0.703,0.72,0.591,0.604,0.707,0.73,0.691,0.623,0.765,0.689,4
"No sabe",0.038,0.028,0.049,0.056,0.042,0.022,0.031,0.051,0.043,0.019,0.026,0.062,0.016,0.042,4
