"var","categoria","Mauricio Macri presidente Patricia Bullrich vice","Alberto Fernández presidente Sergio Massa vice","Javier Milei presidente José Luis Espert vice","Horacio Rodríguez Larreta presidente Gerardo Morales vice","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice","Otros candidatos"
"P04","Tengo trabajo estable",0.373,0.398,0.431,0.496,0.498,0.445
"P04","Realizo changas o trabajos de vez en cuando",0.172,0.241,0.25,0.164,0.153,0.199
"P04","No tengo trabajo",0.188,0.147,0.241,0.125,0.169,0.175
"P04","Soy jubilado o pensionado",0.267,0.214,0.078,0.215,0.18,0.181
"P05","Derecha",0.288,0.145,0.316,0.201,0.07,0.076
"P05","Centro derecha",0.304,0.07,0.201,0.215,0.052,0.111
"P05","Centro izquierda",0.074,0.269,0.059,0.181,0.4,0.167
"P05","Izquierda",0.058,0.124,0.042,0.097,0.207,0.14
"P05","No sabe",0.276,0.392,0.382,0.306,0.271,0.506
"P06","Muy importante",0.553,0.776,0.484,0.601,0.811,0.634
"P06","Algo importante",0.241,0.121,0.17,0.236,0.081,0.165
"P06","Nada importante",0.15,0.046,0.297,0.093,0.048,0.08
"P06","No sabe",0.056,0.057,0.049,0.07,0.06,0.121
"P07","Estoy de acuerdo",0.278,0.518,0.265,0.466,0.669,0.39
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.448,0.295,0.437,0.3,0.2,0.369
"P07","No estoy de acuerdo",0.228,0.137,0.243,0.148,0.095,0.173
"P07","No sabe",0.046,0.05,0.055,0.086,0.036,0.068
"P08","Frente de Todos y el peronismo",0.046,0.832,0.051,0.214,0.836,0.173
"P08","Cambiemos",0.711,0.061,0.044,0.453,0.036,0.163
"P08","Liberales",0.192,0.017,0.852,0.136,0.035,0.094
"P08","Izquierda",0.003,0.024,0.009,0.016,0.035,0.14
"P08","No sabe",0.048,0.066,0.044,0.181,0.058,0.43
"P10","Lo votaría",0.177,0.417,0.133,0.264,0.204,0.156
"P10","Puede que lo vote",0.043,0.368,0.125,0.374,0.416,0.454
"P10","Nunca lo votaría",0.726,0.139,0.61,0.254,0.268,0.271
"P10","No sabe",0.054,0.076,0.132,0.108,0.112,0.119
"P11","Lo votaría",0.18,0.609,0.161,0.311,0.257,0.114
"P11","Puede que lo vote",0.119,0.315,0.2,0.331,0.434,0.356
"P11","Nunca lo votaría",0.654,0.043,0.621,0.258,0.227,0.41
"P11","No sabe",0.047,0.033,0.018,0.1,0.082,0.12
"P12","Lo votaría",0.39,0.277,0.33,0.569,0.024,0.128
"P12","Puede que lo vote",0.452,0.225,0.404,0.342,0.011,0.465
"P12","Nunca lo votaría",0.11,0.29,0.168,0.03,0.647,0.295
"P12","No sabe",0.048,0.208,0.098,0.059,0.318,0.112
"P13","Lo votaría",0.205,0.045,0.305,0.374,0.035,0.38
"P13","Puede que lo vote",0.37,0.239,0.34,0.35,0.052,0.237
"P13","Nunca lo votaría",0.34,0.413,0.302,0.193,0.689,0.337
"P13","No sabe",0.085,0.303,0.053,0.083,0.224,0.046
"P14","La votaría",0.677,0.123,0.494,0.292,0.081,0.357
"P14","Puede que la vote",0.219,0.109,0.168,0.393,0.094,0.343
"P14","Nunca la votaría",0.069,0.485,0.229,0.245,0.695,0.247
"P14","No sabe",0.035,0.283,0.109,0.07,0.13,0.053
"P15","Lo votaría",0.201,0.044,0.432,0.113,0.043,0.04
"P15","Puede que lo vote",0.299,0.057,0.37,0.201,0.121,0.165
"P15","Nunca lo votaría",0.452,0.689,0.176,0.6,0.836,0.739
"P15","No sabe",0.048,0.21,0.022,0.086,0,0.056
"P16","Sí, lo votaría",0.796,0.043,0.352,0.267,0.015,0.083
"P16","Puede que lo vote",0.154,0.042,0.211,0.227,0.007,0.102
"P16","Nunca lo votaría",0.034,0.88,0.359,0.452,0.956,0.652
"P16","No sabe",0.016,0.035,0.078,0.054,0.022,0.163
"P17","Sí, la votaría",0.144,0.581,0.051,0.164,0.845,0.058
"P17","Puede que la vote",0.047,0.183,0.044,0.09,0.085,0.131
"P17","Nunca la votaría",0.798,0.206,0.866,0.725,0.057,0.688
"P17","No sabe",0.011,0.03,0.039,0.021,0.013,0.123
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.023,0.76,0.016,0.193,0.943,0.079
"P18","Mauricio Macri por Cambiemos",0.73,0.016,0.02,0.237,0.003,0.039
"P18","Javier Milei por los liberales",0.175,0.019,0.877,0.161,0.004,0.065
"P18","Nicolás del Caño por la izquierda",0.004,0.023,0.008,0.019,0.017,0.094
"P18","Otro candidato",0.068,0.182,0.079,0.39,0.033,0.723
"P19","Horacio Rodríguez Larreta por Cambiemos",0.503,0.151,0.071,0.5,0.088,0.077
"P19","Alberto Fernández por el Frente de Todos",0.132,0.722,0.008,0.117,0.546,0.047
"P19","Javier Milei por los liberales",0.218,0.013,0.853,0.106,0.033,0.065
"P19","Nicolás del Caño por la izquierda",0.008,0.012,0.005,0.01,0.068,0.106
"P19","Otro candidato",0.139,0.102,0.063,0.267,0.265,0.705
"P20","Mauricio Macri presidente Javier Milei vice",0.819,0.031,0.56,0.178,0.015,0.072
"P20","Sergio Massa presidente Gerardo Morales vice",0.014,0.537,0.046,0.099,0.229,0.105
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.007,0.048,0.085,0.027,0.165,0.144
"P20","No sabe",0.16,0.384,0.309,0.696,0.591,0.679
"P22","Muy buena",0.075,0.218,0.017,0.029,0.095,0.013
"P22","Buena",0.009,0.433,0.019,0.078,0.373,0.053
"P22","Ni buena ni mala",0.03,0.266,0.149,0.135,0.289,0.184
"P22","Mala",0.144,0.049,0.148,0.271,0.134,0.288
"P22","Muy mala",0.741,0.021,0.662,0.478,0.09,0.393
"P22","No sabe",0.001,0.013,0.005,0.009,0.019,0.069
"P23","Si",0.491,0.844,0.484,0.603,0.882,0.612
"P23","No",0.266,0.077,0.294,0.166,0.037,0.179
"P23","No sabe",0.243,0.079,0.222,0.231,0.081,0.209
"P24","El kirchnerismo",0.705,0.166,0.598,0.538,0.077,0.398
"P24","Cambiemos",0.086,0.366,0.052,0.116,0.36,0.109
"P24","Los medios de comunicación",0.047,0.302,0.072,0.175,0.412,0.146
"P24","Otros",0.08,0.061,0.141,0.077,0.065,0.146
"P24","No sabe",0.082,0.105,0.137,0.094,0.086,0.201
"P25","Sin deuda",0.294,0.294,0.204,0.246,0.377,0.196
"P25","Menos de 10%",0.159,0.177,0.156,0.176,0.171,0.137
"P25","Entre 10 y 20%",0.149,0.152,0.122,0.18,0.118,0.144
"P25","Entre 20 y 30%",0.117,0.065,0.111,0.099,0.084,0.108
"P25","Entre 30 y 40%",0.094,0.12,0.113,0.094,0.07,0.138
"P25","Mas del 40%",0.158,0.142,0.237,0.163,0.14,0.233
"P25","No sabe",0.029,0.05,0.057,0.042,0.04,0.044
"P26","Gran excedente habitual",0.008,0.015,0.009,0.004,0.012,0.001
"P26","Gran excedente excepcional",0.006,0.019,0.01,0.005,0.014,0.004
"P26","Pequeño excedente habitual",0.059,0.061,0.059,0.089,0.096,0.047
"P26","Pequeño excedente excepcional",0.058,0.073,0.063,0.078,0.077,0.059
"P26","Alcanza gastos familia",0.128,0.159,0.12,0.202,0.232,0.141
"P26","No alcanza gastos familia",0.171,0.178,0.157,0.147,0.158,0.192
"P26","Solo NBFamiliares",0.267,0.237,0.275,0.25,0.217,0.249
"P26","No alcanza NBFamiliares",0.296,0.246,0.292,0.209,0.189,0.284
"P26","No sabe",0.007,0.012,0.015,0.016,0.005,0.023
"P27","Muy buena",0.04,0.07,0.035,0.035,0.052,0.033
"P27","Buena",0.115,0.2,0.107,0.187,0.236,0.11
"P27","Ni buena ni mala",0.395,0.411,0.397,0.398,0.402,0.365
"P27","Mala",0.324,0.237,0.297,0.273,0.226,0.337
"P27","Muy mala",0.117,0.071,0.153,0.093,0.063,0.138
"P27","No sabe",0.009,0.011,0.011,0.014,0.021,0.017
"P28","Mejor",0.053,0.242,0.063,0.128,0.232,0.071
