"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Horacio Rodriguez Larreta","Muy buena",0.119,0.104,0.136,0.08,0.106,0.143,0.167,0.125,0.115,0.121,0.106,0.104,0.118,0.137
"Horacio Rodriguez Larreta","Buena",0.184,0.172,0.196,0.131,0.162,0.205,0.271,0.169,0.177,0.209,0.194,0.139,0.177,0.196
"Horacio Rodriguez Larreta","Ni buena ni mala",0.249,0.263,0.235,0.24,0.275,0.235,0.216,0.28,0.251,0.213,0.254,0.327,0.195,0.219
"Horacio Rodriguez Larreta","Mala",0.162,0.178,0.146,0.183,0.161,0.163,0.136,0.166,0.159,0.162,0.17,0.162,0.161,0.156
"Horacio Rodriguez Larreta","Muy mala",0.236,0.249,0.222,0.281,0.248,0.22,0.177,0.2,0.239,0.27,0.237,0.151,0.276,0.265
"Horacio Rodriguez Larreta","No sabe",0.05,0.034,0.065,0.085,0.048,0.034,0.033,0.06,0.059,0.025,0.039,0.117,0.073,0.027
"Javier Milei","Muy buena",0.167,0.214,0.12,0.284,0.177,0.121,0.071,0.151,0.181,0.165,0.163,0.214,0.162,0.152
"Javier Milei","Buena",0.133,0.146,0.119,0.101,0.136,0.153,0.134,0.14,0.124,0.136,0.144,0.112,0.078,0.14
"Javier Milei","Ni buena ni mala",0.237,0.204,0.271,0.175,0.219,0.272,0.306,0.251,0.238,0.222,0.23,0.268,0.246,0.229
"Javier Milei","Mala",0.106,0.108,0.105,0.097,0.097,0.112,0.131,0.108,0.108,0.102,0.115,0.104,0.114,0.099
"Javier Milei","Muy mala",0.293,0.287,0.299,0.254,0.306,0.298,0.3,0.248,0.289,0.346,0.298,0.206,0.304,0.324
"Javier Milei","No sabe",0.064,0.041,0.086,0.089,0.065,0.044,0.058,0.102,0.06,0.029,0.05,0.096,0.096,0.056
"Patricia Bullrich","Muy buena",0.246,0.215,0.277,0.188,0.202,0.311,0.327,0.226,0.237,0.281,0.259,0.22,0.192,0.255
"Patricia Bullrich","Buena",0.157,0.176,0.139,0.15,0.155,0.146,0.187,0.133,0.161,0.176,0.158,0.163,0.13,0.158
"Patricia Bullrich","Ni buena ni mala",0.15,0.157,0.142,0.154,0.179,0.123,0.112,0.191,0.145,0.113,0.152,0.217,0.145,0.119
"Patricia Bullrich","Mala",0.094,0.098,0.09,0.103,0.097,0.082,0.096,0.108,0.103,0.068,0.094,0.112,0.108,0.085
"Patricia Bullrich","Muy mala",0.306,0.32,0.292,0.303,0.326,0.312,0.253,0.276,0.302,0.342,0.31,0.184,0.354,0.347
"Patricia Bullrich","No sabe",0.047,0.034,0.06,0.102,0.041,0.026,0.025,0.066,0.052,0.02,0.027,0.104,0.071,0.036
"Maria Eugenia Vidal","Muy buena",0.13,0.113,0.147,0.101,0.119,0.139,0.179,0.126,0.132,0.131,0.121,0.137,0.149,0.132
"Maria Eugenia Vidal","Buena",0.176,0.167,0.185,0.109,0.156,0.211,0.256,0.168,0.17,0.193,0.179,0.198,0.129,0.171
"Maria Eugenia Vidal","Ni buena ni mala",0.194,0.201,0.188,0.189,0.206,0.19,0.179,0.223,0.181,0.184,0.226,0.214,0.171,0.164
"Maria Eugenia Vidal","Mala",0.151,0.154,0.148,0.165,0.158,0.145,0.126,0.161,0.158,0.129,0.144,0.173,0.167,0.145
"Maria Eugenia Vidal","Muy mala",0.317,0.339,0.294,0.368,0.336,0.299,0.233,0.28,0.326,0.342,0.306,0.207,0.33,0.369
"Maria Eugenia Vidal","No sabe",0.032,0.026,0.038,0.068,0.025,0.016,0.027,0.042,0.033,0.021,0.024,0.071,0.054,0.019
"Mauricio Macri","Muy buena",0.119,0.105,0.134,0.072,0.11,0.15,0.154,0.115,0.108,0.138,0.132,0.103,0.096,0.118
"Mauricio Macri","Buena",0.141,0.129,0.153,0.101,0.122,0.155,0.212,0.135,0.127,0.167,0.144,0.132,0.132,0.143
"Mauricio Macri","Ni buena ni mala",0.187,0.183,0.19,0.221,0.168,0.174,0.209,0.177,0.21,0.164,0.183,0.226,0.151,0.179
"Mauricio Macri","Mala",0.169,0.172,0.167,0.173,0.188,0.153,0.146,0.211,0.158,0.143,0.17,0.233,0.191,0.139
"Mauricio Macri","Muy mala",0.37,0.399,0.34,0.401,0.4,0.36,0.273,0.353,0.38,0.372,0.36,0.277,0.414,0.411
"Mauricio Macri","No sabe",0.014,0.012,0.016,0.032,0.012,0.008,0.006,0.009,0.017,0.016,0.011,0.029,0.016,0.01
"Axel Kicillof","Muy buena",0.164,0.143,0.184,0.142,0.159,0.172,0.19,0.143,0.172,0.175,0.165,0.112,0.141,0.188
"Axel Kicillof","Buena",0.108,0.113,0.103,0.081,0.117,0.109,0.118,0.129,0.102,0.094,0.091,0.105,0.117,0.122
"Axel Kicillof","Ni buena ni mala",0.126,0.122,0.13,0.14,0.152,0.1,0.083,0.155,0.134,0.084,0.13,0.155,0.169,0.104
"Axel Kicillof","Mala",0.107,0.106,0.109,0.107,0.099,0.095,0.143,0.122,0.111,0.085,0.109,0.136,0.087,0.096
"Axel Kicillof","Muy mala",0.463,0.491,0.435,0.473,0.444,0.505,0.438,0.401,0.45,0.547,0.481,0.409,0.418,0.478
"Axel Kicillof","No sabe",0.032,0.025,0.039,0.057,0.029,0.019,0.028,0.05,0.031,0.015,0.024,0.083,0.068,0.012
"Sergio Massa","Muy buena",0.051,0.051,0.051,0.054,0.047,0.05,0.058,0.062,0.045,0.048,0.052,0.033,0.04,0.059
"Sergio Massa","Buena",0.106,0.108,0.103,0.076,0.098,0.119,0.141,0.119,0.095,0.106,0.097,0.105,0.086,0.115
"Sergio Massa","Ni buena ni mala",0.216,0.198,0.234,0.219,0.239,0.192,0.193,0.237,0.232,0.171,0.208,0.231,0.252,0.211
"Sergio Massa","Mala",0.189,0.197,0.181,0.196,0.18,0.179,0.214,0.179,0.198,0.186,0.192,0.217,0.148,0.181
"Sergio Massa","Muy mala",0.397,0.416,0.378,0.388,0.391,0.433,0.372,0.341,0.391,0.466,0.418,0.338,0.404,0.404
"Sergio Massa","No sabe",0.041,0.03,0.053,0.067,0.045,0.027,0.022,0.062,0.039,0.023,0.033,0.076,0.07,0.03
"CFK","Muy buena",0.206,0.186,0.225,0.176,0.223,0.206,0.2,0.224,0.193,0.204,0.193,0.163,0.203,0.234
"CFK","Buena",0.092,0.088,0.097,0.094,0.101,0.087,0.077,0.111,0.089,0.077,0.091,0.106,0.11,0.085
"CFK","Ni buena ni mala",0.093,0.087,0.098,0.12,0.099,0.073,0.073,0.112,0.101,0.061,0.092,0.118,0.094,0.083
"CFK","Mala",0.078,0.081,0.075,0.076,0.079,0.063,0.099,0.083,0.088,0.059,0.08,0.091,0.089,0.07
"CFK","Muy mala",0.522,0.55,0.495,0.519,0.491,0.564,0.541,0.462,0.52,0.589,0.536,0.511,0.479,0.521
"CFK","No sabe",0.009,0.008,0.01,0.015,0.007,0.007,0.01,0.008,0.009,0.01,0.008,0.011,0.025,0.007
"Alberto Fernandez","Muy buena",0.083,0.062,0.103,0.075,0.091,0.075,0.084,0.112,0.076,0.061,0.082,0.073,0.099,0.085
"Alberto Fernandez","Buena",0.147,0.135,0.159,0.144,0.15,0.15,0.139,0.16,0.146,0.135,0.15,0.126,0.111,0.159
"Alberto Fernandez","Ni buena ni mala",0.161,0.148,0.174,0.174,0.18,0.137,0.135,0.159,0.172,0.148,0.151,0.19,0.193,0.152
"Alberto Fernandez","Mala",0.153,0.164,0.143,0.145,0.149,0.147,0.182,0.165,0.156,0.138,0.151,0.176,0.161,0.145
"Alberto Fernandez","Muy mala",0.447,0.482,0.412,0.449,0.422,0.485,0.45,0.393,0.444,0.507,0.458,0.422,0.42,0.452
"Alberto Fernandez","No sabe",0.009,0.009,0.009,0.013,0.008,0.006,0.01,0.011,0.006,0.011,0.008,0.013,0.016,0.007
