"var","categoria","Horacio Rodríguez Larreta por Cambiemos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.396,0.441,0.458,0.48,0.423
"P04","Realizo changas o trabajos de vez en cuando",0.177,0.191,0.22,0.236,0.186
"P04","No tengo trabajo",0.174,0.152,0.227,0.147,0.164
"P04","Soy jubilado o pensionado",0.253,0.216,0.095,0.137,0.227
"P05","Derecha",0.208,0.144,0.347,0.076,0.128
"P05","Centro derecha",0.261,0.09,0.218,0.044,0.158
"P05","Centro izquierda",0.127,0.312,0.051,0.208,0.208
"P05","Izquierda",0.078,0.146,0.046,0.467,0.089
"P05","No sabe",0.326,0.308,0.338,0.205,0.417
"P06","Muy importante",0.626,0.749,0.487,0.804,0.618
"P06","Algo importante",0.209,0.133,0.194,0.122,0.175
"P06","Nada importante",0.112,0.057,0.264,0.037,0.109
"P06","No sabe",0.053,0.061,0.055,0.037,0.098
"P07","Estoy de acuerdo",0.361,0.553,0.287,0.666,0.399
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.426,0.264,0.414,0.187,0.338
"P07","No estoy de acuerdo",0.161,0.135,0.239,0.138,0.197
"P07","No sabe",0.052,0.048,0.06,0.009,0.066
"P08","Frente de Todos y el peronismo",0.184,0.756,0.053,0.319,0.305
"P08","Cambiemos",0.648,0.162,0.098,0.085,0.271
"P08","Liberales",0.08,0.033,0.802,0.09,0.079
"P08","Izquierda",0.01,0.011,0.003,0.447,0.046
"P08","No sabe",0.078,0.038,0.044,0.059,0.299
"P10","Lo votaría",0.438,0.323,0.097,0.132,0.125
"P10","Puede que lo vote",0.282,0.409,0.06,0.382,0.401
"P10","Nunca lo votaría",0.214,0.178,0.705,0.426,0.34
"P10","No sabe",0.066,0.09,0.138,0.06,0.134
"P11","Lo votaría",0.434,0.523,0.053,0.14,0.066
"P11","Puede que lo vote",0.269,0.392,0.143,0.417,0.333
"P11","Nunca lo votaría",0.217,0.051,0.651,0.372,0.478
"P11","No sabe",0.08,0.034,0.153,0.071,0.123
"P12","Lo votaría",0.532,0.363,0.174,0.057,0.148
"P12","Puede que lo vote",0.396,0.455,0.445,0.225,0.43
"P12","Nunca lo votaría",0.036,0.109,0.253,0.664,0.303
"P12","No sabe",0.036,0.073,0.128,0.054,0.119
"P13","Lo votaría",0.254,0.225,0.184,0.113,0.242
"P13","Puede que lo vote",0.389,0.306,0.343,0.024,0.262
"P13","Nunca lo votaría",0.278,0.333,0.397,0.519,0.404
"P13","No sabe",0.079,0.136,0.076,0.344,0.092
"P14","La votaría",0.574,0.432,0.644,0.535,0.52
"P14","Puede que la vote",0.285,0.219,0.131,0.033,0.236
"P14","Nunca la votaría",0.108,0.23,0.169,0.149,0.183
"P14","No sabe",0.033,0.119,0.056,0.283,0.061
"P15","Lo votaría",0.129,0.278,0.561,0.344,0.057
"P15","Puede que lo vote",0.255,0.261,0.327,0.427,0.253
"P15","Nunca lo votaría",0.563,0.377,0.061,0.185,0.626
"P15","No sabe",0.053,0.084,0.051,0.044,0.064
"P16","Sí, lo votaría",0.557,0.168,0.43,0.079,0.2
"P16","Puede que lo vote",0.154,0.04,0.203,0.057,0.118
"P16","Nunca lo votaría",0.263,0.766,0.305,0.854,0.578
"P16","No sabe",0.026,0.026,0.062,0.01,0.104
"P17","Sí, la votaría",0.131,0.711,0.088,0.37,0.239
"P17","Puede que la vote",0.051,0.138,0.053,0.225,0.093
"P17","Nunca la votaría",0.81,0.134,0.823,0.388,0.586
"P17","No sabe",0.008,0.017,0.036,0.017,0.082
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.214,0.725,0.021,0.379,0.235
"P18","Mauricio Macri por Cambiemos",0.578,0.172,0.078,0.042,0.139
"P18","Javier Milei por los liberales",0.078,0.009,0.867,0.045,0.023
"P18","Nicolás del Caño por la izquierda",0.006,0.013,0.003,0.47,0.01
"P18","Otro candidato",0.124,0.081,0.031,0.064,0.593
"P20","Mauricio Macri presidente Javier Milei vice",0.54,0.143,0.628,0.105,0.17
"P20","Sergio Massa presidente Gerardo Morales vice",0.109,0.341,0.046,0.047,0.127
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.02,0.074,0.06,0.714,0.047
"P20","No sabe",0.331,0.442,0.266,0.134,0.656
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.544,0.146,0.246,0.081,0.189
"P21","Alberto Fernández presidente Sergio Massa vice",0.091,0.442,0.008,0.074,0.077
"P21","Javier Milei presidente José Luis Espert vice",0.052,0.006,0.649,0.036,0.057
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.233,0.056,0.052,0.046,0.157
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.053,0.333,0.021,0.392,0.2
"P21","Otros candidatos",0.027,0.017,0.024,0.371,0.32
"P22","Muy buena",0.07,0.183,0.027,0.025,0.027
"P22","Buena",0.072,0.394,0.017,0.103,0.097
"P22","Ni buena ni mala",0.094,0.215,0.119,0.26,0.197
"P22","Mala",0.183,0.07,0.155,0.271,0.222
"P22","Muy mala",0.575,0.132,0.676,0.321,0.415
"P22","No sabe",0.006,0.006,0.006,0.02,0.042
"P23","Si",0.589,0.845,0.48,0.754,0.588
"P23","No",0.21,0.076,0.298,0.1,0.165
"P23","No sabe",0.201,0.079,0.222,0.146,0.247
"P24","El kirchnerismo",0.638,0.197,0.6,0.245,0.378
"P24","Cambiemos",0.1,0.331,0.074,0.277,0.174
"P24","Los medios de comunicación",0.093,0.333,0.073,0.341,0.184
"P24","Otros",0.075,0.061,0.132,0.063,0.107
"P24","No sabe",0.094,0.078,0.121,0.074,0.157
"P25","Sin deuda",0.295,0.336,0.207,0.3,0.256
"P25","Menos de 10%",0.191,0.166,0.153,0.174,0.13
"P25","Entre 10 y 20%",0.147,0.15,0.128,0.165,0.145
"P25","Entre 20 y 30%",0.106,0.075,0.115,0.092,0.101
"P25","Entre 30 y 40%",0.077,0.1,0.121,0.074,0.115
"P25","Mas del 40%",0.156,0.124,0.228,0.163,0.208
"P25","No sabe",0.028,0.049,0.048,0.032,0.045
"P26","Gran excedente habitual",0.014,0.008,0.007,0,0.006
"P26","Gran excedente excepcional",0.006,0.018,0.008,0,0.005
"P26","Pequeño excedente habitual",0.06,0.08,0.07,0.067,0.057
"P26","Pequeño excedente excepcional",0.062,0.079,0.061,0.091,0.065
"P26","Alcanza gastos familia",0.142,0.194,0.123,0.152,0.177
"P26","No alcanza gastos familia",0.162,0.163,0.168,0.17,0.181
"P26","Solo NBFamiliares",0.273,0.236,0.271,0.244,0.225
"P26","No alcanza NBFamiliares",0.27,0.214,0.279,0.262,0.268
"P26","No sabe",0.011,0.008,0.013,0.014,0.016
"P27","Muy buena",0.051,0.049,0.039,0.04,0.041
"P27","Buena",0.16,0.217,0.105,0.169,0.126
"P27","Ni buena ni mala",0.406,0.409,0.379,0.337,0.4
"P27","Mala",0.282,0.232,0.318,0.348,0.303
"P27","Muy mala",0.094,0.076,0.149,0.072,0.115
"P27","No sabe",0.007,0.017,0.01,0.034,0.015
"P28","Mejor",0.085,0.24,0.063,0.099,0.1
"P28","Igual",0.21,0.413,0.168,0.333,0.251
"P28","Peor",0.666,0.319,0.728,0.5,0.611
"P28","No sabe",0.039,0.028,0.041,0.068,0.038
"P29","Mejor",0.08,0.278,0.04,0.172,0.107
"P29","Igual",0.203,0.317,0.199,0.262,0.252
"P29","Peor",0.65,0.272,0.68,0.444,0.529
"P29","No sabe",0.067,0.133,0.081,0.122,0.112
"P30","Muy buena",0.049,0.036,0.048,0.067,0.047
"P30","Buena",0.05,0.167,0.023,0.056,0.052
"P30","Ni buena ni mala",0.091,0.313,0.031,0.133,0.133
"P30","Mala",0.271,0.313,0.231,0.341,0.314
"P30","Muy mala",0.532,0.149,0.66,0.396,0.446
"P30","No sabe",0.007,0.022,0.007,0.007,0.008
"P31","Muy buena",0.141,0.497,0.021,0.201,0.162
"P31","Buena",0.058,0.17,0.018,0.227,0.095
"P31","Ni buena ni mala",0.039,0.095,0.075,0.197,0.125
"P31","Mala",0.075,0.049,0.082,0.149,0.103
"P31","Muy mala",0.685,0.185,0.796,0.22,0.5
"P31","No sabe",0.002,0.004,0.008,0.006,0.015
