"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Si",0.631,0.636,0.627,0.571,0.658,0.653,0.607,0.601,0.618,0.68,0.639,0.562,0.608,0.658
"No",0.186,0.196,0.175,0.245,0.171,0.172,0.171,0.198,0.184,0.175,0.173,0.222,0.208,0.177
"No sabe",0.183,0.168,0.198,0.184,0.171,0.175,0.222,0.201,0.198,0.145,0.188,0.216,0.184,0.165
