"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.043,0.043,0.043,0.055,0.038,0.039,0.047,0.048,0.038,0.045,0.045,0.041,0.053,0.042,6
"Buena",0.149,0.151,0.148,0.133,0.131,0.16,0.198,0.103,0.144,0.206,0.17,0.099,0.188,0.148,6
"Ni buena ni mala",0.392,0.38,0.402,0.349,0.367,0.42,0.461,0.352,0.398,0.424,0.4,0.378,0.376,0.392,6
"Mala",0.287,0.292,0.283,0.31,0.316,0.266,0.222,0.327,0.302,0.225,0.255,0.337,0.271,0.295,6
"Muy mala",0.116,0.117,0.114,0.135,0.137,0.1,0.063,0.15,0.11,0.087,0.117,0.133,0.096,0.11,6
"No sabe",0.013,0.017,0.01,0.018,0.011,0.015,0.009,0.02,0.008,0.013,0.013,0.012,0.016,0.013,6
"Positiva",0.192,0.194,0.191,0.188,0.169,0.199,0.245,0.151,0.182,0.251,0.215,0.14,0.241,0.19,4
"Neutra",0.392,0.38,0.402,0.349,0.367,0.42,0.461,0.352,0.398,0.424,0.4,0.378,0.376,0.392,4
"Negativa",0.403,0.409,0.397,0.445,0.453,0.366,0.285,0.477,0.412,0.312,0.372,0.47,0.367,0.405,4
"No sabe",0.013,0.017,0.01,0.018,0.011,0.015,0.009,0.02,0.008,0.013,0.013,0.012,0.016,0.013,4
