"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sin deuda",0.271,0.267,0.276,0.253,0.226,0.281,0.388,0.237,0.258,0.326,0.307,0.174,0.209,0.293
"Menos de 10%",0.155,0.156,0.154,0.157,0.123,0.177,0.197,0.138,0.15,0.18,0.147,0.14,0.157,0.168
"Entre 10 y 20%",0.141,0.147,0.135,0.105,0.156,0.14,0.151,0.151,0.139,0.135,0.136,0.139,0.138,0.147
"Entre 20 y 30%",0.101,0.105,0.097,0.114,0.107,0.095,0.079,0.093,0.114,0.091,0.098,0.1,0.089,0.105
"Entre 30 y 40%",0.104,0.098,0.111,0.111,0.119,0.111,0.053,0.114,0.106,0.092,0.102,0.126,0.155,0.089
"Mas del 40%",0.182,0.183,0.18,0.203,0.222,0.164,0.085,0.209,0.186,0.146,0.171,0.238,0.202,0.163
"No sabe",0.046,0.044,0.047,0.057,0.047,0.032,0.047,0.058,0.047,0.03,0.039,0.083,0.05,0.035
