"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"Mucho",0.293,0.328,0.26,0.292,0.314,0.237,0.32,0.269,0.291,0.33,0.389,0.309,0.279,0.391,0.351,0.334,0.362,0.253,0.288,0.247
"Bastante",0.218,0.199,0.236,0.174,0.25,0.196,0.25,0.145,0.248,0.275,0.244,0.312,0.247,0.246,0.315,0.317,0.157,0.287,0.235,0.237
"Poco",0.247,0.288,0.206,0.219,0.21,0.39,0.189,0.235,0.224,0.3,0.177,0.195,0.253,0.19,0.166,0.188,0.194,0.19,0.311,0.275
"Nada",0.191,0.154,0.228,0.23,0.187,0.145,0.196,0.274,0.185,0.083,0.136,0.165,0.196,0.134,0.146,0.141,0.21,0.173,0.135,0.219
"No sabe",0.051,0.031,0.07,0.085,0.039,0.032,0.045,0.077,0.052,0.012,0.054,0.019,0.025,0.039,0.022,0.02,0.077,0.097,0.031,0.022
