"var","categoria","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.292,0.317,0.297,0.456,0.513,0.459,0.519,0.641,0.305,0.177
"P05","Bastante",0.308,0.274,0.396,0.248,0.19,0.192,0.235,0.235,0.124,0.244
"P05","Poco",0.255,0.191,0.154,0.133,0.094,0.191,0.129,0.101,0.179,0.285
"P05","Nada",0.111,0.185,0.12,0.143,0.135,0.114,0.08,0.018,0.309,0.232
"P05","No sabe",0.034,0.033,0.033,0.02,0.068,0.044,0.037,0.005,0.083,0.062
"P06","Siempre",0.217,0.282,0.149,0.214,0.318,0.316,0.237,0.175,0.124,0.147
"P06","Casi siempre",0.345,0.333,0.353,0.346,0.305,0.283,0.387,0.422,0.245,0.285
"P06","Casi nunca",0.314,0.266,0.348,0.327,0.24,0.285,0.287,0.2,0.351,0.305
"P06","Nunca, pero esta es una excepción",0.124,0.119,0.15,0.113,0.137,0.116,0.089,0.203,0.28,0.263
"P09","De Unión por la Patria",0.057,0.092,0.148,0.623,0.581,0.403,0.528,0.031,0.026,0.11
"P09","De Juntos por el Cambio",0.656,0.578,0.214,0.125,0.155,0.166,0.142,0.183,0.14,0.177
"P09","De los liberales libertarios",0.162,0.128,0.288,0.045,0.069,0.234,0.031,0.037,0.313,0.189
"P09","De la Izquierda",0.003,0.024,0.024,0.009,0.073,0.025,0.099,0.526,0,0.029
"P09","Hacemos por Nuestro País",0.029,0.017,0.054,0.022,0.008,0,0.01,0,0,0.01
"P09","otro",0.013,0.041,0.112,0.056,0.007,0.026,0.11,0.091,0.072,0.074
"P09","En blanco",0.022,0.044,0.055,0.056,0.081,0.045,0.032,0.049,0.362,0.052
"P09","No sabe",0.058,0.076,0.105,0.064,0.026,0.101,0.048,0.083,0.087,0.359
"P10","Unidos para Cambiar Santa Fe",0.188,0.268,0.288,0.421,0.46,0.238,0.352,0.088,0.014,0.056
"P10","Juntos Avancemos",0.414,0.376,0.149,0.271,0.301,0.173,0.14,0.02,0.078,0.048
"P10","De los liberales libertarios",0.147,0.11,0.216,0.026,0.042,0.22,0.041,0.027,0.311,0.16
"P10","De la Izquierda",0.02,0.02,0.035,0.027,0.049,0.025,0.232,0.61,0.048,0.014
"P10","En blanco",0.031,0.054,0.132,0.061,0.063,0.096,0.038,0,0.456,0.052
"P10","No sabe",0.2,0.172,0.18,0.194,0.085,0.248,0.197,0.255,0.093,0.67
"P15","Lo votaría",0.094,0.112,0.027,0.23,0.1,0.137,0.089,0.044,0,0.013
"P15","Puede que lo vote",0.143,0.184,0.082,0.264,0.19,0.071,0.09,0.109,0.064,0.071
"P15","Nunca lo votaría",0.396,0.322,0.493,0.224,0.33,0.387,0.44,0.582,0.66,0.324
"P15","No sabe",0.367,0.382,0.398,0.282,0.38,0.405,0.381,0.265,0.276,0.592
"P16","La votaría",0.603,0.124,0.025,0.092,0.075,0.117,0.147,0.012,0.009,0.028
"P16","Puede que la vote",0.178,0.234,0.119,0.101,0.075,0.148,0.039,0.149,0.116,0.154
"P16","Nunca la votaría",0.115,0.495,0.623,0.71,0.727,0.571,0.724,0.627,0.678,0.37
"P16","No sabe",0.104,0.147,0.233,0.097,0.123,0.164,0.09,0.212,0.197,0.448
"P17","Lo votaría",0.166,0.696,0.086,0.051,0.09,0.096,0.101,0.014,0.007,0.028
"P17","Puede que lo vote",0.261,0.151,0.257,0.146,0.051,0.054,0.078,0.102,0.125,0.168
"P17","Nunca lo votaría",0.406,0.103,0.468,0.734,0.731,0.683,0.7,0.778,0.64,0.35
"P17","No sabe",0.167,0.05,0.189,0.069,0.128,0.167,0.121,0.106,0.228,0.454
"P18","La votaría",0.068,0.131,0.012,0.137,0.113,0.123,0.098,0,0.005,0.026
"P18","Puede que la vote",0.155,0.098,0.101,0.111,0.165,0.141,0.076,0.123,0.007,0.044
"P18","Nunca la votaría",0.452,0.38,0.49,0.497,0.361,0.39,0.408,0.591,0.676,0.306
"P18","No sabe",0.325,0.391,0.397,0.255,0.361,0.346,0.418,0.286,0.312,0.624
"P19","La votaría",0.052,0.132,0.49,0.106,0.038,0.068,0.121,0.013,0.036,0.033
"P19","Puede que la vote",0.219,0.217,0.194,0.143,0.236,0.085,0.205,0.16,0.033,0.066
"P19","Nunca la votaría",0.539,0.379,0.187,0.59,0.494,0.602,0.408,0.761,0.683,0.335
"P19","No sabe",0.19,0.272,0.129,0.161,0.232,0.245,0.266,0.066,0.248,0.566
"P20","Lo votaría",0.056,0.072,0.156,0.653,0.17,0.282,0.184,0.127,0.015,0.054
"P20","Puede que lo vote",0.113,0.105,0.122,0.119,0.32,0.218,0.282,0.257,0.089,0.094
"P20","Nunca lo votaría",0.667,0.605,0.576,0.149,0.314,0.287,0.31,0.536,0.659,0.26
"P20","No sabe",0.164,0.218,0.146,0.079,0.196,0.213,0.224,0.08,0.237,0.592
"P21","Lo votaría",0.046,0.026,0.036,0.243,0.547,0.207,0.134,0,0,0.049
"P21","Puede que lo vote",0.086,0.09,0.073,0.287,0.158,0.181,0.3,0.244,0,0.079
"P21","Nunca lo votaría",0.661,0.631,0.688,0.369,0.163,0.409,0.384,0.569,0.7,0.282
"P21","No sabe",0.207,0.253,0.203,0.101,0.132,0.203,0.182,0.187,0.3,0.59
"P22","Lo votaría",0.026,0.04,0.008,0.18,0.136,0.266,0.151,0.034,0,0.005
"P22","Puede que lo vote",0.087,0.087,0.096,0.211,0.188,0.121,0.166,0.279,0,0.032
"P22","Nunca lo votaría",0.543,0.512,0.563,0.367,0.304,0.281,0.373,0.433,0.681,0.273
"P22","No sabe",0.344,0.361,0.333,0.242,0.372,0.332,0.31,0.254,0.319,0.69
"P23","Lo votaría",0.02,0.035,0.003,0.161,0.129,0.435,0.108,0.069,0.008,0
"P23","Puede que lo vote",0.103,0.058,0.086,0.205,0.19,0.137,0.216,0.307,0.006,0.062
"P23","Nunca lo votaría",0.593,0.593,0.662,0.442,0.348,0.264,0.326,0.397,0.693,0.324
"P23","No sabe",0.284,0.314,0.249,0.192,0.333,0.164,0.35,0.227,0.293,0.614
"P24","Lo votaría",0.026,0.026,0.023,0.107,0.136,0.199,0.578,0.074,0,0.013
"P24","Puede que lo vote",0.085,0.018,0.102,0.27,0.222,0.201,0.039,0.305,0.021,0.043
"P24","Nunca lo votaría",0.629,0.651,0.67,0.425,0.306,0.327,0.239,0.381,0.701,0.363
"P24","No sabe",0.26,0.305,0.205,0.198,0.336,0.273,0.144,0.24,0.278,0.581
"P25","Lo votaría",0.235,0.075,0.06,0.03,0.066,0.008,0.083,0.124,0.01,0.009
"P25","Puede que lo vote",0.21,0.216,0.144,0.159,0.081,0.191,0.178,0.137,0.021,0.085
"P25","Nunca lo votaría",0.311,0.433,0.557,0.638,0.482,0.584,0.507,0.566,0.713,0.343
"P25","No sabe",0.244,0.276,0.239,0.173,0.371,0.217,0.232,0.173,0.256,0.563
"P26","Lo votaría",0.054,0.038,0.005,0.041,0.008,0.049,0.027,0,0,0.002
"P26","Puede que la vote",0.12,0.126,0.049,0.081,0.062,0.119,0.047,0.098,0.004,0.035
"P26","Nunca la votaría",0.408,0.386,0.579,0.625,0.441,0.44,0.491,0.526,0.692,0.301
"P26","No sabe",0.418,0.45,0.367,0.253,0.489,0.392,0.435,0.376,0.304,0.662
"P27","La votaría",0.028,0.173,0.04,0.014,0.031,0.005,0.027,0,0.008,0
"P27","Puede que la vote",0.165,0.156,0.094,0.086,0.083,0.141,0.093,0.147,0.009,0.07
"P27","Nunca la votaría",0.433,0.271,0.576,0.606,0.473,0.549,0.503,0.584,0.747,0.365
"P27","No sabe",0.374,0.4,0.29,0.294,0.413,0.305,0.377,0.269,0.236,0.565
"P28","Lo votaría",0.033,0.047,0.059,0.009,0.008,0.049,0.027,0,0,0.006
"P28","Puede que la vote",0.111,0.078,0.087,0.099,0.034,0.137,0.044,0.266,0,0.011
"P28","Nunca la votaría",0.439,0.414,0.565,0.589,0.458,0.498,0.467,0.548,0.735,0.305
"P28","No sabe",0.417,0.461,0.289,0.303,0.5,0.316,0.462,0.186,0.265,0.678
"P29","La votaría",0.041,0.011,0.021,0.262,0.099,0.111,0.094,0,0,0.006
"P29","Puede que la vote",0.102,0.108,0.085,0.116,0.13,0.218,0.149,0.304,0.022,0.032
"P29","Nunca la votaría",0.52,0.477,0.54,0.401,0.342,0.389,0.328,0.6,0.719,0.305
"P29","No sabe",0.337,0.404,0.354,0.221,0.429,0.282,0.429,0.096,0.259,0.657
"P30","Lo votaría",0.017,0.081,0,0.066,0.052,0.053,0.06,0,0.011,0
"P30","Puede que la vote",0.104,0.065,0.065,0.08,0.064,0.158,0.042,0.257,0.008,0.021
"P30","Nunca la votaría",0.494,0.391,0.588,0.537,0.42,0.381,0.366,0.549,0.708,0.275
"P30","No sabe",0.385,0.463,0.347,0.317,0.464,0.408,0.532,0.194,0.273,0.704
"P31","La votaría",0.017,0.012,0.003,0.14,0.256,0.138,0.087,0,0,0.024
"P31","Puede que la vote",0.111,0.095,0.085,0.267,0.173,0.228,0.219,0.187,0.014,0.044
"P31","Nunca la votaría",0.604,0.611,0.675,0.394,0.243,0.425,0.363,0.623,0.736,0.34
"P31","No sabe",0.268,0.282,0.237,0.199,0.328,0.209,0.331,0.19,0.25,0.592
"P32","La votaría",0.033,0.001,0,0.04,0.112,0.256,0.073,0.121,0,0
"P32","Puede que la vote",0.05,0.051,0.057,0.139,0.098,0.157,0.146,0.144,0,0.008
"P32","Nunca la votaría",0.564,0.536,0.616,0.49,0.355,0.341,0.383,0.575,0.749,0.256
"P32","No sabe",0.353,0.412,0.327,0.331,0.435,0.246,0.398,0.16,0.251,0.736
"P33","Lo votaría",0.013,0.014,0.086,0.038,0.035,0.052,0.04,0.036,0,0
"P33","Puede que la vote",0.112,0.061,0.07,0.109,0.116,0.201,0.138,0.214,0,0.05
"P33","Nunca la votaría",0.474,0.437,0.567,0.537,0.414,0.446,0.335,0.502,0.768,0.274
"P33","No sabe",0.401,0.488,0.277,0.316,0.435,0.301,0.487,0.248,0.232,0.676
"P34","La votaría",0.022,0.01,0.031,0.033,0.025,0.062,0.09,0,0,0
"P34","Puede que la vote",0.093,0.048,0.076,0.108,0.03,0.169,0.115,0.277,0,0.026
"P34","Nunca la votaría",0.47,0.447,0.509,0.525,0.442,0.345,0.411,0.52,0.754,0.291
"P34","No sabe",0.415,0.495,0.384,0.334,0.503,0.424,0.384,0.203,0.246,0.683
"P35","Si",0.452,0.45,0.409,0.449,0.462,0.409,0.567,0.373,0.251,0.312
"P35","No",0.548,0.55,0.591,0.551,0.538,0.591,0.433,0.627,0.749,0.688
