"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"De Unión por la Patria",0.224,0.238,0.211,0.174,0.237,0.269,0.219,0.186,0.202,0.311,0.46,0.046,0.185,0.439,0.212,0.033,0.223,0.226,0.197,0.245
"De Juntos por el Cambio",0.343,0.312,0.372,0.276,0.279,0.392,0.522,0.336,0.339,0.357,0.165,0.634,0.216,0.215,0.408,0.695,0.311,0.317,0.358,0.373
"De los liberales libertarios",0.142,0.207,0.08,0.171,0.174,0.11,0.066,0.141,0.146,0.135,0.085,0.163,0.196,0.108,0.117,0.147,0.151,0.093,0.168,0.134
"De la Izquierda",0.032,0.029,0.034,0.02,0.044,0.036,0.017,0.039,0.02,0.04,0.041,0.009,0.04,0.019,0.045,0.011,0.036,0.021,0.036,0.029
"Hacemos por Nuestro País",0.018,0.02,0.016,0.025,0.021,0.011,0.009,0.024,0.015,0.014,0.016,0.019,0.022,0.014,0.026,0.017,0.016,0.042,0.009,0.017
"otro",0.051,0.047,0.055,0.062,0.067,0.037,0.017,0.062,0.058,0.027,0.069,0.016,0.057,0.056,0.041,0.024,0.069,0.064,0.036,0.038
"En blanco",0.078,0.062,0.094,0.138,0.067,0.058,0.037,0.093,0.089,0.042,0.076,0.048,0.102,0.057,0.063,0.025,0.09,0.102,0.069,0.064
"No sabe",0.112,0.085,0.138,0.134,0.111,0.087,0.113,0.119,0.131,0.074,0.088,0.065,0.182,0.092,0.088,0.048,0.104,0.135,0.127,0.1
