"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P11_imputada","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.407,0.322,0.222,0.279
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.231,0.309,0.17,0.25
"P11_imputada","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.012,0.042,0.093,0.087
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.218,0.156,0.224,0.119
"P11_imputada","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.019,0.052,0.073,0.094
"P11_imputada","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.089,0.077,0.06,0.07
"P11_imputada","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.024,0.015,0.03,0.029
"P11_imputada","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.024,0.025,0.021
"P11_imputada","En blanco",0,0.003,0.103,0.051
