"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.175,0.193,0.158,0.147,0.202,0.184,0.146,0.181,0.159,0.191,0.318,0.057,0.146,0.336,0.114,0.02,0.192,0.142,0.194,0.158
"Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.08,0.082,0.079,0.08,0.059,0.107,0.093,0.09,0.066,0.089,0.128,0.037,0.091,0.108,0.083,0.059,0.076,0.068,0.081,0.089
"Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.064,0.061,0.068,0.077,0.071,0.052,0.047,0.074,0.056,0.064,0.081,0.039,0.07,0.086,0.039,0.043,0.076,0.09,0.058,0.048
"Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.031,0.023,0.038,0.03,0.038,0.028,0.02,0.027,0.032,0.034,0.045,0.015,0.025,0.026,0.039,0.017,0.069,0.017,0.007,0.016
"Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.249,0.261,0.238,0.214,0.226,0.241,0.365,0.245,0.266,0.23,0.119,0.407,0.194,0.171,0.193,0.519,0.224,0.245,0.248,0.276
"Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.22,0.201,0.238,0.227,0.22,0.218,0.213,0.212,0.225,0.223,0.137,0.338,0.191,0.162,0.308,0.27,0.134,0.242,0.277,0.254
"Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.082,0.09,0.074,0.089,0.083,0.087,0.06,0.069,0.078,0.105,0.076,0.061,0.183,0.034,0.169,0.027,0.099,0.104,0.056,0.074
"Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.024,0.017,0.03,0.025,0.032,0.022,0.006,0.02,0.021,0.033,0.029,0.005,0.013,0.014,0.026,0.002,0.039,0.028,0.018,0.012
"En blanco",0.075,0.072,0.077,0.111,0.069,0.061,0.05,0.082,0.097,0.031,0.067,0.041,0.087,0.063,0.029,0.043,0.091,0.064,0.061,0.073
