"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.483,0.474,0.491,0.558,0.478,0.45,0.402,0.43,0.506,0.514,0.552,0.42,0.468,0.491,0.478,0.427,0.486,0.602,0.401
"No",0.392,0.432,0.356,0.318,0.389,0.448,0.459,0.454,0.361,0.363,0.322,0.483,0.401,0.385,0.384,0.441,0.397,0.281,0.48
"No sabe",0.125,0.094,0.153,0.124,0.133,0.102,0.139,0.116,0.133,0.123,0.126,0.097,0.131,0.124,0.138,0.132,0.117,0.117,0.119
