"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Florencio Randazzo",0.279,0.308,0.253,0.235,0.311,0.299,0.26,0.266,0.267,0.316,0.285,0.272,0.354,0.283,0.235,0.346,0.29,0.3,0.266
"Cristian Ritondo",0.203,0.23,0.179,0.153,0.16,0.237,0.358,0.266,0.162,0.185,0.144,0.283,0.234,0.192,0.158,0.163,0.242,0.169,0.233
"Algun diputado del bloque de Milei",0.227,0.25,0.206,0.295,0.241,0.189,0.113,0.197,0.259,0.215,0.181,0.263,0.2,0.262,0.243,0.199,0.191,0.105,0.323
"No sabe",0.291,0.212,0.362,0.317,0.288,0.275,0.269,0.271,0.312,0.284,0.39,0.182,0.212,0.263,0.364,0.292,0.277,0.426,0.178
