"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.342,0.413,0.276,0.405,0.346,0.276,0.309,0.357,0.352,0.307,0.206,0.475,0.387,0.366,0.319,0.315,0.335,0.153,0.492
"No",0.434,0.415,0.451,0.402,0.41,0.492,0.469,0.396,0.421,0.502,0.605,0.281,0.426,0.42,0.478,0.484,0.417,0.676,0.252
"No sabe",0.224,0.172,0.273,0.193,0.244,0.232,0.222,0.247,0.227,0.191,0.189,0.244,0.187,0.214,0.203,0.201,0.248,0.171,0.256
