"var","categoria","A Blanca Cantero por el Frente de Todos","A Federico García por el Frente de Todos","A Victor Rengifo por Juntos por el Cambio","A Mauro Arranz por Juntos por el Cambio","A Anibal Regueiro por un partido vecinal","A Eduardo Guardia por La Libertad Avanza","A Miguel Coria por el Frente de Izquierda","No sabe"
"P05","Mucho",0.307,0.302,0.313,0.34,0.288,0.306,0.42,0.134
"P05","Bastante",0.316,0.34,0.305,0.389,0.366,0.305,0.353,0.235
"P05","Poco",0.168,0.179,0.157,0.154,0.175,0.135,0.104,0.303
"P05","Nada",0.172,0.128,0.107,0.103,0.128,0.246,0.123,0.285
"P05","No sabe",0.037,0.051,0.118,0.014,0.043,0.008,0,0.043
"P06","Siempre",0.222,0.397,0.242,0.218,0.27,0.066,0.028,0.188
"P06","Casi siempre",0.286,0.213,0.222,0.381,0.381,0.328,0.463,0.334
"P06","Casi nunca",0.281,0.182,0.395,0.279,0.29,0.32,0.42,0.301
"P06","Nunca, pero esta es una excepción",0.211,0.208,0.141,0.122,0.059,0.286,0.089,0.177
"P08","Al candidato del Frente de Todos",0.603,0.223,0.149,0.023,0.453,0,0.246,0.104
"P08","Al candidato de Juntos por el Cambio",0.146,0.384,0.429,0.79,0.129,0.089,0.056,0.171
"P08","Al candidato de los liberales - libertarios",0.031,0.247,0.348,0.089,0.266,0.589,0.1,0.091
"P08","Al candidato de la Izquierda",0.059,0.065,0,0,0,0.003,0.598,0.017
"P08","A otro candidato",0.099,0,0.011,0.056,0.077,0.047,0,0.204
"P08","No sabe",0.062,0.081,0.063,0.042,0.075,0.272,0,0.413
"P12","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.6,0.141,0.177,0.09,0.186,0.012,0,0.052
"P12","A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.088,0.148,0.003,0.048,0.118,0,0,0.028
"P12","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.092,0.419,0.416,0.415,0.095,0.026,0,0.072
"P12","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.086,0.029,0.142,0.425,0,0,0,0.045
"P12","A Anibal Regueiro por un partido vecinal",0.041,0.129,0.106,0.007,0.323,0.054,0,0.07
"P12","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.007,0.063,0.15,0,0.138,0.763,0.033,0.12
"P12","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.021,0,0,0,0,0.054,0.897,0.021
"P12","No sabe",0.065,0.071,0.006,0.015,0.14,0.091,0.07,0.592
"P15","La votaría",0.57,0.146,0.173,0.163,0.238,0.061,0.372,0.058
"P15","Puede que la vote",0.194,0.145,0.168,0.159,0.157,0.14,0.027,0.135
"P15","Nunca la votaría",0.119,0.347,0.469,0.584,0.509,0.594,0.601,0.311
"P15","No sabe",0.117,0.362,0.19,0.094,0.096,0.205,0,0.496
"P16","Lo votaría",0.151,0.276,0.073,0.058,0.158,0.067,0.093,0
"P16","Puede que lo vote",0.238,0.205,0.157,0.165,0.361,0.19,0.042,0.126
"P16","Nunca lo votaría",0.421,0.418,0.517,0.579,0.342,0.535,0.492,0.217
"P16","No sabe",0.19,0.101,0.253,0.198,0.139,0.208,0.373,0.657
"P17","Lo votaría",0.096,0.1,0.179,0.131,0.204,0.084,0.095,0
"P17","Puede que lo vote",0.262,0.148,0.192,0.22,0.142,0.183,0.043,0.075
"P17","Nunca lo votaría",0.475,0.412,0.375,0.438,0.452,0.545,0.862,0.381
"P17","No sabe",0.167,0.34,0.254,0.211,0.202,0.188,0,0.544
"P18","Lo votaría",0.078,0.1,0.068,0.22,0.047,0.077,0,0.008
"P18","Puede que lo vote",0.2,0.157,0.095,0.304,0.048,0.168,0.042,0.067
"P18","Nunca lo votaría",0.485,0.435,0.499,0.303,0.761,0.53,0.862,0.27
"P18","No sabe",0.237,0.308,0.338,0.173,0.144,0.225,0.096,0.655
"P19","Lo votaría",0.103,0.009,0.078,0.043,0.367,0.13,0.093,0.106
"P19","Puede que lo vote",0.315,0.407,0.108,0.207,0.165,0.197,0.463,0.115
"P19","Nunca lo votaría",0.399,0.333,0.577,0.661,0.385,0.521,0.35,0.223
"P19","No sabe",0.183,0.251,0.237,0.089,0.083,0.152,0.094,0.556
"P20","Lo votaría",0.132,0.01,0.147,0.03,0.059,0.201,0.057,0.02
"P20","Puede que lo vote",0.196,0.313,0.127,0.162,0.126,0.226,0.045,0.15
"P20","Nunca lo votaría",0.413,0.345,0.446,0.72,0.654,0.409,0.898,0.234
"P20","No sabe",0.259,0.332,0.28,0.088,0.161,0.164,0,0.596
"P21","Lo votaría",0.054,0.012,0.149,0.023,0.13,0.017,0.54,0.08
"P21","Puede que lo vote",0.263,0.259,0.066,0.204,0.126,0.202,0.044,0.067
"P21","Nunca lo votaría",0.405,0.323,0.492,0.642,0.579,0.45,0.416,0.219
"P21","No sabe",0.278,0.406,0.293,0.131,0.165,0.331,0,0.634
"P22","Si",0.43,0.235,0.239,0.139,0.529,0.223,0.495,0.265
"P22","No",0.57,0.765,0.761,0.861,0.471,0.777,0.505,0.735
