"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.205,0.217,0.193,0.235,0.179,0.17,0.282,0.171,0.245,0.166,0.438,0.105,0.155,0.238,0.137,0
"A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.05,0.068,0.032,0.044,0.057,0.056,0.03,0.03,0.046,0.133,0.085,0.005,0.014,0.168,0.087,0.065
"A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.187,0.163,0.21,0.154,0.166,0.267,0.227,0.175,0.17,0.288,0.113,0.323,0.273,0.089,0.212,0.049
"A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.092,0.081,0.102,0.126,0.084,0.044,0.099,0.081,0.107,0.065,0.03,0.228,0.055,0.085,0.123,0.063
"A Anibal Regueiro por un partido vecinal",0.092,0.077,0.107,0.135,0.064,0.05,0.149,0.096,0.096,0.067,0.134,0.157,0.108,0.052,0,0.064
"A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.183,0.231,0.135,0.17,0.232,0.161,0.065,0.238,0.148,0.135,0.101,0.114,0.248,0.219,0.111,0.518
"A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.045,0.034,0.057,0.076,0.034,0.023,0.03,0.068,0.032,0.02,0.033,0.008,0.06,0,0.296,0.066
"No sabe",0.146,0.129,0.164,0.06,0.184,0.229,0.118,0.141,0.156,0.126,0.066,0.06,0.087,0.149,0.034,0.175
