"var","categoria","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa","A Federico García por el Frente de Todos con el apoyo de La Cámpora","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta","A Anibal Regueiro por un partido vecinal","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman"
"P05","Mucho",0.293,0.402,0.333,0.278,0.151,0.221,0.617
"P05","Bastante",0.305,0.313,0.252,0.39,0.286,0.306,0.257
"P05","Poco",0.204,0.095,0.203,0.138,0.324,0.156,0.063
"P05","Nada",0.131,0.125,0.139,0.152,0.173,0.301,0.063
"P05","No sabe",0.067,0.065,0.073,0.042,0.066,0.016,0
"P06","Siempre",0.179,0.294,0.233,0.18,0.293,0.15,0.02
"P06","Casi siempre",0.344,0.49,0.305,0.439,0.227,0.301,0.333
"P06","Casi nunca",0.312,0.12,0.335,0.224,0.319,0.355,0.428
"P06","Nunca, pero esta es una excepción",0.165,0.096,0.127,0.157,0.161,0.194,0.219
"P08","Al candidato del Frente de Todos",0.605,0.567,0.112,0.045,0.495,0.005,0.192
"P08","Al candidato de Juntos por el Cambio",0.229,0.131,0.498,0.556,0.151,0.05,0.04
"P08","Al candidato de los liberales - libertarios",0.008,0.104,0.234,0.16,0.017,0.59,0.108
"P08","Al candidato de la Izquierda",0.007,0.008,0.053,0,0.035,0.003,0.431
"P08","A otro candidato",0.064,0.08,0.026,0.067,0.095,0.052,0.179
"P08","No sabe",0.087,0.11,0.077,0.172,0.207,0.3,0.05
"P09_imputadas","A Blanca Cantero por el Frente de Todos",0.613,0.392,0.137,0.231,0.216,0.053,0.148
"P09_imputadas","A Federico García por el Frente de Todos",0.04,0.159,0.128,0.034,0.078,0.021,0
"P09_imputadas","A Victor Rengifo por Juntos por el Cambio",0.149,0.01,0.386,0.321,0.235,0.153,0
"P09_imputadas","A Mauro Arranz por Juntos por el Cambio",0.037,0.097,0.199,0.342,0.019,0.016,0
"P09_imputadas","A Anibal Regueiro por un partido vecinal",0.128,0.266,0.11,0,0.374,0.078,0
"P09_imputadas","A Eduardo Guardia por La Libertad Avanza",0.033,0.076,0.04,0.072,0.078,0.648,0.202
"P09_imputadas","A Miguel Coria por el Frente de Izquierda",0,0,0,0,0,0.031,0.65
"P15","La votaría",0.554,0.378,0.108,0.094,0.288,0.041,0.352
"P15","Puede que la vote",0.235,0.198,0.092,0.25,0.195,0.091,0.032
"P15","Nunca la votaría",0.06,0.219,0.546,0.505,0.354,0.59,0.434
"P15","No sabe",0.151,0.205,0.254,0.151,0.163,0.278,0.182
"P16","Lo votaría",0.088,0.395,0.042,0.024,0.275,0.041,0.166
"P16","Puede que lo vote",0.235,0.14,0.222,0.213,0.224,0.134,0.265
"P16","Nunca lo votaría",0.449,0.229,0.402,0.525,0.315,0.52,0.266
"P16","No sabe",0.228,0.236,0.334,0.238,0.186,0.305,0.303
"P17","Lo votaría",0.093,0.08,0.129,0.095,0.105,0.077,0.399
"P17","Puede que lo vote",0.167,0.174,0.248,0.228,0.265,0.09,0.043
"P17","Nunca lo votaría",0.558,0.517,0.266,0.455,0.406,0.542,0.49
"P17","No sabe",0.182,0.229,0.357,0.222,0.224,0.291,0.068
"P18","Lo votaría",0.06,0.247,0.036,0.089,0.109,0.013,0.344
"P18","Puede que lo vote",0.122,0.039,0.143,0.247,0.121,0.135,0.024
"P18","Nunca lo votaría",0.562,0.51,0.426,0.329,0.377,0.601,0.51
"P18","No sabe",0.256,0.204,0.395,0.335,0.393,0.251,0.122
"P19","Lo votaría",0.055,0.231,0.056,0.005,0.572,0.046,0.411
"P19","Puede que lo vote",0.223,0.175,0.185,0.251,0.205,0.168,0.274
"P19","Nunca lo votaría",0.473,0.485,0.439,0.557,0.118,0.547,0.194
"P19","No sabe",0.249,0.109,0.32,0.187,0.105,0.239,0.121
"P20","Lo votaría",0.048,0.114,0.08,0,0.169,0.198,0.106
"P20","Puede que lo vote",0.209,0.042,0.142,0.192,0.252,0.176,0.024
"P20","Nunca lo votaría",0.433,0.653,0.402,0.535,0.452,0.38,0.803
"P20","No sabe",0.31,0.191,0.376,0.273,0.127,0.246,0.067
"P21","Lo votaría",0.124,0,0.013,0.023,0.247,0.06,0.401
"P21","Puede que lo vote",0.122,0.107,0.154,0.164,0.169,0.194,0.041
"P21","Nunca lo votaría",0.448,0.668,0.435,0.517,0.355,0.429,0.226
"P21","No sabe",0.306,0.225,0.398,0.296,0.229,0.317,0.332
"P22","Si",0.401,0.429,0.348,0.278,0.158,0.231,0.475
"P22","No",0.599,0.571,0.652,0.722,0.842,0.769,0.525
