"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P05","Mucho",0.387,0.294,0.284,0.18,0.141,0.158
"P05","Bastante",0.331,0.307,0.342,0.573,0.31,0.193
"P05","Poco",0.189,0.198,0.081,0.199,0.272,0.242
"P05","Nada",0.063,0.141,0.259,0,0.254,0.352
"P05","No sabe",0.03,0.06,0.034,0.048,0.023,0.055
"P06","Siempre",0.296,0.235,0.192,0.122,0.163,0.076
"P06","Casi siempre",0.315,0.332,0.211,0.614,0.23,0.221
"P06","Casi nunca",0.265,0.28,0.421,0.245,0.203,0.407
"P06","Nunca, pero esta es una excepción",0.124,0.153,0.176,0.019,0.404,0.296
"P09","A Blanca Cantero por el Frente de Todos",0.516,0.117,0.028,0.332,0.254,0.081
"P09","A Federico García por el Frente de Todos",0.061,0.098,0.072,0.114,0,0.034
"P09","A Victor Rengifo por Juntos por el Cambio",0.108,0.293,0.269,0,0.025,0.07
"P09","A Mauro Arranz por Juntos por el Cambio",0.008,0.256,0.033,0,0.058,0.022
"P09","A Anibal Regueiro por un partido vecinal",0.197,0.053,0.123,0,0.1,0.049
"P09","A Eduardo Guardia por La Libertad Avanza",0,0.051,0.386,0.013,0.087,0.254
"P09","A Miguel Coria por el Frente de Izquierda",0.029,0.006,0.013,0.455,0,0
"P09","No sabe",0.081,0.126,0.076,0.086,0.476,0.49
"P12","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.502,0.175,0.008,0.044,0.213,0.082
"P12","A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.121,0.024,0.027,0.013,0,0.038
"P12","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.062,0.399,0.212,0.316,0.054,0.018
"P12","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.021,0.208,0.085,0,0.072,0.051
"P12","A Anibal Regueiro por un partido vecinal",0.197,0.059,0.008,0.095,0.135,0.078
"P12","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.004,0.026,0.595,0.016,0.021,0.264
"P12","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.034,0.007,0.022,0.516,0.129,0.015
"P12","No sabe",0.059,0.102,0.043,0,0.376,0.454
"P15","La votaría",0.548,0.209,0.048,0.057,0.128,0.1
"P15","Puede que la vote",0.184,0.147,0.126,0.065,0.185,0.176
"P15","Nunca la votaría",0.147,0.5,0.677,0.828,0.164,0.255
"P15","No sabe",0.121,0.144,0.149,0.05,0.523,0.469
"P16","Lo votaría",0.256,0.046,0.059,0.077,0.024,0
"P16","Puede que lo vote",0.174,0.256,0.124,0.384,0.415,0.148
"P16","Nunca lo votaría",0.351,0.416,0.642,0.492,0.211,0.348
"P16","No sabe",0.219,0.282,0.175,0.047,0.35,0.504
"P17","Lo votaría",0.146,0.13,0.11,0.074,0.179,0
"P17","Puede que lo vote",0.155,0.257,0.067,0.47,0.257,0.185
"P17","Nunca lo votaría",0.558,0.318,0.605,0.256,0.333,0.336
"P17","No sabe",0.141,0.295,0.218,0.2,0.231,0.479
"P18","Lo votaría",0.115,0.066,0.029,0.023,0.157,0.058
"P18","Puede que lo vote",0.082,0.206,0.09,0.13,0.194,0.179
"P18","Nunca lo votaría",0.574,0.314,0.682,0.72,0.418,0.279
"P18","No sabe",0.229,0.414,0.199,0.127,0.231,0.484
"P19","Lo votaría",0.279,0.062,0.019,0,0.216,0.126
"P19","Puede que lo vote",0.174,0.254,0.144,0.598,0.226,0.166
"P19","Nunca lo votaría",0.385,0.437,0.687,0.275,0.301,0.264
"P19","No sabe",0.162,0.247,0.15,0.127,0.257,0.444
"P20","Lo votaría",0.099,0.024,0.221,0.404,0.044,0.017
"P20","Puede que lo vote",0.186,0.161,0.111,0.336,0.209,0.213
"P20","Nunca lo votaría",0.502,0.477,0.495,0.26,0.527,0.263
"P20","No sabe",0.213,0.338,0.173,0,0.22,0.507
"P21","Lo votaría",0.238,0.013,0.089,0.074,0,0
"P21","Puede que lo vote",0.088,0.142,0.13,0.623,0.249,0.2
"P21","Nunca lo votaría",0.446,0.435,0.579,0.244,0.272,0.293
"P21","No sabe",0.228,0.41,0.202,0.059,0.479,0.507
"P22","Si",0.441,0.205,0.314,0.54,0.228,0.247
"P22","No",0.559,0.795,0.686,0.46,0.772,0.753
