"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"Si",0.31,0.298,0.323,0.211,0.362,0.35,0.325,0.22,0.383,0.332,0.35,0.217,0.459,0.476,0.279,0.468
"No",0.69,0.702,0.677,0.789,0.638,0.65,0.675,0.78,0.617,0.668,0.65,0.783,0.541,0.524,0.721,0.532
