"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"A Blanca Cantero por el Frente de Todos",0.207,0.201,0.211,0.193,0.187,0.231,0.289,0.196,0.211,0.224,0.446,0.167,0.065,0.308,0.175,0
"A Federico García por el Frente de Todos",0.066,0.09,0.042,0.029,0.108,0.05,0.043,0.099,0.035,0.069,0.052,0.052,0.138,0,0.138,0
"A Victor Rengifo por Juntos por el Cambio",0.175,0.176,0.174,0.235,0.128,0.165,0.188,0.164,0.179,0.197,0.146,0.335,0.185,0.16,0.161,0.249
"A Mauro Arranz por Juntos por el Cambio",0.083,0.068,0.099,0.093,0.073,0.098,0.063,0.083,0.084,0.084,0.037,0.158,0.079,0,0.123,0
"A Anibal Regueiro por un partido vecinal",0.105,0.092,0.117,0.114,0.118,0.083,0.06,0.096,0.119,0.082,0.132,0.061,0.249,0.186,0.028,0.133
"A Eduardo Guardia por La Libertad Avanza",0.148,0.195,0.102,0.142,0.19,0.092,0.098,0.152,0.145,0.148,0.082,0.11,0.186,0.206,0.076,0.341
"A Miguel Coria por el Frente de Izquierda",0.028,0.022,0.035,0.043,0.022,0.017,0.027,0.033,0.028,0.013,0.027,0.008,0,0,0.299,0
"No sabe",0.188,0.156,0.22,0.151,0.174,0.264,0.232,0.177,0.199,0.183,0.078,0.109,0.098,0.14,0,0.277
