"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"No alcanzan para cubrir las necesidades básicas familiares",0.23,0.215,0.242,0.228,0.248,0.204,0.232,0.31,0.294,0.147,0.24,0.217,0.274,0.217,0.087,0.2,0.25,0.181,0.222,0.432,0.131,0.426,0.363,0.596,0.154
"Solo alcanzan para cubrir las necesidades básicas familiares",0.282,0.268,0.293,0.272,0.262,0.301,0.303,0.279,0.337,0.24,0.325,0.226,0.282,0.298,0.255,0.283,0.272,0.389,0.042,0.082,0.177,0.06,0.188,0.049,0.456
"No alcanzan para cubrir los gastos totales de la familia",0.129,0.131,0.128,0.079,0.135,0.154,0.139,0.176,0.091,0.14,0.143,0.112,0.072,0.147,0.206,0.075,0.171,0.091,0.157,0.043,0.121,0,0.265,0,0.13
"Alcanzan para cubrir los gastos totales de la familia",0.182,0.178,0.186,0.126,0.214,0.177,0.187,0.132,0.194,0.193,0.148,0.227,0.192,0.191,0.195,0.205,0.171,0.222,0.195,0.16,0.289,0.288,0.135,0.026,0.121
"Tenemos un pequeño excedente, pero es excepcional",0.064,0.079,0.051,0.081,0.053,0.068,0.059,0.014,0.053,0.092,0.056,0.073,0.048,0.064,0.145,0.069,0.055,0.045,0.222,0.032,0.212,0,0.007,0,0.021
"Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.063,0.071,0.056,0.125,0.044,0.068,0.029,0.027,0.009,0.119,0.043,0.088,0.091,0.048,0.016,0.103,0.047,0.049,0.048,0.116,0.045,0,0.027,0.016,0.075
"Tenemos un gran excedente pero es excepcional",0.003,0.003,0.002,0,0.002,0.005,0.004,0,0,0.006,0.002,0.004,0.005,0.002,0,0.008,0.001,0.007,0,0,0,0,0,0,0
"Tenemos un gran excedente habitual que ahorramos o invertimos",0.012,0.013,0.012,0.01,0.018,0.006,0.011,0.02,0.004,0.016,0.014,0.01,0.004,0.006,0.012,0.01,0.008,0,0.075,0,0.006,0,0,0.264,0.004
"No sabe",0.035,0.042,0.03,0.079,0.024,0.017,0.036,0.042,0.018,0.047,0.029,0.043,0.032,0.027,0.084,0.047,0.025,0.016,0.039,0.135,0.019,0.226,0.015,0.049,0.039
