"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.248,0.244,0.251,0.241,0.294,0.256,0.164,0.279,0.235,0.245,0.287,0.198,0.62,0.069,0.062,0.73,0.086,0.074,0.188,0.305,0.078,0,0.213,0.306,0.21
"Victoria Tolosa Paz por el Frente de todos",0.609,0.607,0.61,0.553,0.571,0.625,0.708,0.592,0.615,0.611,0.571,0.657,0.203,0.866,0.514,0.126,0.837,0.762,0.272,0.424,0.831,1,0.578,0.172,0.552
"Nicolás del Caño por el Frente de Izquierda",0.023,0.019,0.027,0,0.023,0.039,0.027,0.031,0.032,0.014,0.032,0.012,0.019,0.013,0.111,0.004,0.008,0.078,0.119,0.072,0.004,0,0,0,0.065
"José Luis Espert por “Avanza Libertad”",0.022,0.028,0.016,0.048,0.015,0.02,0.011,0,0.027,0.027,0.014,0.032,0.048,0.01,0,0.034,0,0.003,0,0.19,0.068,0,0,0,0.039
"Florencio Randazzo por “Vamos con vos”",0.01,0.007,0.013,0,0.023,0.008,0,0,0.023,0.004,0.011,0.009,0.018,0.008,0,0.023,0.005,0.01,0,0,0,0,0,0,0.019
"Cynthia Hotton por “+Valores”",0.009,0.016,0.004,0.039,0.002,0.004,0,0,0,0.02,0.003,0.016,0.002,0.004,0.087,0,0,0.031,0.179,0,0.011,0,0,0.045,0.01
"Ninguna en particular",0.062,0.067,0.057,0.084,0.058,0.04,0.072,0.069,0.05,0.067,0.07,0.051,0.075,0.025,0.226,0.067,0.062,0.028,0.203,0.009,0.008,0,0.209,0.101,0.07
"No sabe",0.017,0.012,0.022,0.035,0.014,0.008,0.018,0.029,0.018,0.012,0.012,0.025,0.015,0.005,0,0.016,0.002,0.014,0.039,0,0,0,0,0.376,0.035
