"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Horacio Rodriguez Larreta","Muy buena",0.273,0.197,0.336,0.17,0.248,0.274,0.406,0.3,0.292,0.248,0.271,0.275,0.075,0.419,0.04,0.066,0.483,0.167,0.076,0,0.067,0.496,0.096,0.044,0.203
"Horacio Rodriguez Larreta","Buena",0.241,0.251,0.233,0.135,0.226,0.28,0.314,0.227,0.247,0.241,0.201,0.292,0.086,0.323,0.325,0.05,0.309,0.363,0.3,0,0.184,0.236,0.33,0.362,0.303
"Horacio Rodriguez Larreta","Ni buena ni mala",0.2,0.234,0.172,0.181,0.26,0.175,0.144,0.209,0.208,0.19,0.197,0.204,0.201,0.179,0.493,0.147,0.174,0.393,0.356,0.262,0.297,0,0.157,0.165,0.182
"Horacio Rodriguez Larreta","Mala",0.092,0.103,0.083,0.182,0.073,0.073,0.069,0.081,0.091,0.098,0.089,0.097,0.142,0.046,0.142,0.147,0.029,0.067,0.101,0.493,0.119,0,0.18,0,0.131
"Horacio Rodriguez Larreta","Muy mala",0.187,0.211,0.167,0.332,0.178,0.193,0.064,0.161,0.162,0.216,0.232,0.129,0.488,0.032,0,0.581,0.004,0.01,0.167,0.245,0.333,0.268,0.237,0.084,0.176
"Horacio Rodriguez Larreta","No sabe",0.007,0.004,0.009,0,0.015,0.005,0.003,0.022,0,0.007,0.01,0.003,0.008,0.001,0,0.009,0.001,0,0,0,0,0,0,0.345,0.005
"Mauricio Macri","Muy buena",0.188,0.161,0.21,0.164,0.17,0.154,0.279,0.239,0.212,0.15,0.173,0.207,0.058,0.294,0,0.062,0.32,0.15,0,0,0.085,0.079,0.096,0.045,0.133
"Mauricio Macri","Buena",0.205,0.157,0.244,0.125,0.169,0.256,0.278,0.203,0.203,0.208,0.172,0.247,0.034,0.33,0.029,0.023,0.332,0.248,0.029,0.089,0.13,0.112,0.389,0.071,0.123
"Mauricio Macri","Ni buena ni mala",0.171,0.17,0.172,0.075,0.195,0.206,0.175,0.215,0.155,0.166,0.187,0.151,0.069,0.218,0.247,0.048,0.216,0.242,0.051,0,0.267,0.231,0.154,0,0.207
"Mauricio Macri","Mala",0.148,0.175,0.126,0.218,0.163,0.101,0.115,0.102,0.188,0.135,0.142,0.155,0.236,0.092,0.115,0.169,0.096,0.169,0.239,0.291,0.282,0.312,0.054,0,0.177
"Mauricio Macri","Muy mala",0.268,0.326,0.22,0.364,0.284,0.278,0.145,0.205,0.24,0.314,0.302,0.225,0.578,0.064,0.535,0.659,0.035,0.191,0.634,0.495,0.236,0.266,0.307,0.482,0.345
"Mauricio Macri","No sabe",0.02,0.011,0.028,0.054,0.019,0.005,0.008,0.036,0.002,0.027,0.024,0.015,0.025,0.002,0.074,0.039,0.001,0,0.047,0.125,0,0,0,0.402,0.015
"Alberto Fernandez","Muy buena",0.091,0.088,0.093,0.089,0.106,0.086,0.072,0.131,0.068,0.093,0.105,0.073,0.246,0.013,0,0.315,0.014,0,0.091,0.058,0.046,0,0,0,0.112
"Alberto Fernandez","Buena",0.138,0.122,0.152,0.17,0.181,0.108,0.073,0.129,0.165,0.121,0.179,0.087,0.387,0.027,0.012,0.404,0.039,0.039,0.107,0.225,0.049,0,0.181,0,0.158
"Alberto Fernandez","Ni buena ni mala",0.092,0.107,0.079,0.1,0.11,0.089,0.055,0.1,0.078,0.098,0.09,0.093,0.163,0.03,0.308,0.113,0.037,0.188,0.277,0.162,0.04,0,0.121,0.329,0.134
"Alberto Fernandez","Mala",0.116,0.119,0.114,0.083,0.118,0.114,0.145,0.163,0.106,0.106,0.113,0.12,0.075,0.144,0.099,0.024,0.14,0.237,0.049,0.217,0.021,0.576,0,0.255,0.1
"Alberto Fernandez","Muy mala",0.544,0.556,0.534,0.527,0.473,0.601,0.615,0.42,0.581,0.565,0.496,0.606,0.117,0.777,0.511,0.138,0.764,0.511,0.476,0.213,0.844,0.424,0.698,0.164,0.445
"Alberto Fernandez","No sabe",0.019,0.008,0.028,0.031,0.012,0.002,0.04,0.057,0.002,0.017,0.017,0.021,0.012,0.009,0.07,0.006,0.006,0.025,0,0.125,0,0,0,0.252,0.051
"CFK","Muy buena",0.175,0.166,0.182,0.187,0.198,0.202,0.092,0.169,0.163,0.185,0.208,0.132,0.524,0.012,0.019,0.663,0.007,0.007,0.05,0.138,0.01,0.07,0.048,0.183,0.2
"CFK","Buena",0.068,0.079,0.059,0.102,0.095,0.034,0.033,0.064,0.082,0.06,0.075,0.06,0.189,0.015,0.028,0.129,0.028,0.058,0.044,0.385,0.011,0,0.029,0,0.099
"CFK","Ni buena ni mala",0.044,0.05,0.04,0.065,0.048,0.027,0.04,0.076,0.04,0.036,0.055,0.031,0.082,0.005,0.113,0.05,0.02,0.067,0.028,0.175,0.047,0,0.146,0.353,0.026
"CFK","Mala",0.039,0.047,0.032,0.017,0.039,0.044,0.052,0.026,0.037,0.044,0.044,0.032,0.025,0.046,0.032,0.009,0.038,0.096,0.109,0.011,0.009,0,0.051,0,0.067
"CFK","Muy mala",0.654,0.649,0.658,0.617,0.596,0.683,0.752,0.612,0.661,0.665,0.595,0.729,0.16,0.916,0.757,0.146,0.906,0.685,0.726,0.291,0.923,0.93,0.726,0.209,0.55
"CFK","No sabe",0.02,0.009,0.029,0.012,0.024,0.01,0.031,0.053,0.017,0.01,0.023,0.016,0.02,0.006,0.051,0.003,0.001,0.087,0.043,0,0,0,0,0.255,0.058
"Sergio Massa","Muy buena",0.053,0.069,0.039,0.079,0.057,0.046,0.032,0.065,0.032,0.064,0.049,0.058,0.147,0.001,0.072,0.192,0.002,0,0.251,0.059,0.01,0,0,0,0.039
"Sergio Massa","Buena",0.093,0.103,0.085,0.069,0.13,0.102,0.04,0.068,0.119,0.083,0.11,0.071,0.247,0.016,0.074,0.257,0.019,0.074,0,0.078,0,0,0.029,0.181,0.166
"Sergio Massa","Ni buena ni mala",0.123,0.102,0.141,0.111,0.158,0.11,0.09,0.134,0.125,0.118,0.146,0.095,0.288,0.035,0.108,0.295,0.041,0.063,0.077,0.18,0.097,0.303,0.19,0.278,0.129
"Sergio Massa","Mala",0.137,0.164,0.114,0.149,0.12,0.13,0.161,0.156,0.122,0.14,0.147,0.123,0.136,0.142,0.119,0.098,0.13,0.197,0.259,0.253,0.07,0.241,0.157,0.011,0.172
"Sergio Massa","Muy mala",0.578,0.554,0.598,0.592,0.515,0.589,0.659,0.536,0.589,0.586,0.525,0.645,0.177,0.799,0.576,0.152,0.806,0.638,0.413,0.43,0.812,0.456,0.624,0.276,0.432
"Sergio Massa","No sabe",0.016,0.008,0.023,0,0.02,0.023,0.018,0.041,0.013,0.009,0.023,0.008,0.005,0.007,0.051,0.006,0.002,0.028,0,0,0.011,0,0,0.254,0.062
