"var","categoria","No alcanzan para cubrir las necesidades básicas familiares","Solo alcanzan para cubrir las necesidades básicas familiares","No alcanzan para cubrir los gastos totales de la familia","Alcanzan para cubrir los gastos totales de la familia","Tenemos un pequeño excedente, pero es excepcional","Tenemos un pequeño excedente habitual que ahorramos o invertimos","Tenemos un gran excedente pero es excepcional","Tenemos un gran excedente habitual que ahorramos o invertimos","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.59,0.119,0.305,0.193,0,0,0,0,0.824
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.189,0.298,0.186,0.171,0,0.847,0,0,0
"P09","Nunca voy a votar",0,0,0,0,0,0.062,0,1,0
"P09","Por miedo a la pandemia",0.13,0.207,0.429,0.301,0.772,0.091,0,0,0.176
"P09","Porque las PASO no son elecciones importantes",0.091,0.376,0.08,0.335,0.228,0,0,0,0
"P14","A Tolosa Paz por el Frente de Todos",0.219,0.256,0.177,0.254,0.259,0.388,0.814,0.235,0.307
"P14","A Santilli y Manes por Juntos",0.579,0.642,0.679,0.522,0.531,0.472,0.138,0.354,0.406
"P14","A del Caño por el Frente de Izquierda",0.063,0.015,0.027,0.045,0,0.007,0,0,0.127
"P14","A Espert por Avanza libertad",0.063,0.054,0.08,0.125,0.144,0.023,0.048,0.032,0.034
"P14","A Randazzo por ""Vamos con vos""",0.012,0.014,0.01,0.01,0.064,0.029,0,0,0.023
"P14","A Hotton por “+Valores”",0,0,0.002,0,0,0,0,0,0
"P14","Votaría en blanco o anularía",0.064,0.019,0.025,0.044,0.002,0.081,0,0.379,0.103
"P16","A Juan Aníbal Viaggo por Juntos",0.578,0.638,0.679,0.491,0.524,0.461,0.138,0.317,0.406
"P16","A Mateo Bartolini por el Frente de todos",0.219,0.251,0.195,0.249,0.259,0.443,0.814,0.235,0.307
"P16","A Catalina Riganti por Convocación Civica por San Isidro",0.001,0.004,0.002,0.033,0.008,0.024,0,0.037,0
"P16","A Francisco Sicardi de Estrada por Avanza libertad",0.063,0.052,0.062,0.124,0.143,0.015,0.048,0.032,0.034
