"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Horacio Rodriguez Larreta","Positiva",0.514,0.448,0.569,0.305,0.474,0.554,0.72,0.527,0.539,0.489,0.472,0.567,0.161,0.742,0.365,0.116,0.792,0.53,0.376,0,0.251,0.732,0.426,0.406,0.506
"Horacio Rodriguez Larreta","Neutra",0.2,0.234,0.172,0.181,0.26,0.175,0.144,0.209,0.208,0.19,0.197,0.204,0.201,0.179,0.493,0.147,0.174,0.393,0.356,0.262,0.297,0,0.157,0.165,0.182
"Horacio Rodriguez Larreta","Negativa",0.279,0.314,0.25,0.514,0.251,0.266,0.133,0.242,0.253,0.314,0.321,0.226,0.63,0.078,0.142,0.728,0.033,0.077,0.268,0.738,0.452,0.268,0.417,0.084,0.307
"Horacio Rodriguez Larreta","No sabe",0.007,0.004,0.009,0,0.015,0.005,0.003,0.022,0,0.007,0.01,0.003,0.008,0.001,0,0.009,0.001,0,0,0,0,0,0,0.345,0.005
"Mauricio Macri","Positiva",0.393,0.318,0.454,0.289,0.339,0.41,0.557,0.442,0.415,0.358,0.345,0.454,0.092,0.624,0.029,0.085,0.652,0.398,0.029,0.089,0.215,0.191,0.485,0.116,0.256
"Mauricio Macri","Neutra",0.171,0.17,0.172,0.075,0.195,0.206,0.175,0.215,0.155,0.166,0.187,0.151,0.069,0.218,0.247,0.048,0.216,0.242,0.051,0,0.267,0.231,0.154,0,0.207
"Mauricio Macri","Negativa",0.416,0.501,0.346,0.582,0.447,0.379,0.26,0.307,0.428,0.449,0.444,0.38,0.814,0.156,0.65,0.828,0.131,0.36,0.873,0.786,0.518,0.578,0.361,0.482,0.522
"Mauricio Macri","No sabe",0.02,0.011,0.028,0.054,0.019,0.005,0.008,0.036,0.002,0.027,0.024,0.015,0.025,0.002,0.074,0.039,0.001,0,0.047,0.125,0,0,0,0.402,0.015
"CFK","Positiva",0.243,0.245,0.241,0.289,0.293,0.236,0.125,0.233,0.245,0.245,0.283,0.192,0.713,0.027,0.047,0.792,0.035,0.065,0.094,0.523,0.021,0.07,0.077,0.183,0.299
"CFK","Neutra",0.044,0.05,0.04,0.065,0.048,0.027,0.04,0.076,0.04,0.036,0.055,0.031,0.082,0.005,0.113,0.05,0.02,0.067,0.028,0.175,0.047,0,0.146,0.353,0.026
"CFK","Negativa",0.693,0.696,0.69,0.634,0.635,0.727,0.804,0.638,0.698,0.709,0.639,0.761,0.185,0.962,0.789,0.155,0.944,0.781,0.835,0.302,0.932,0.93,0.777,0.209,0.617
"CFK","No sabe",0.02,0.009,0.029,0.012,0.024,0.01,0.031,0.053,0.017,0.01,0.023,0.016,0.02,0.006,0.051,0.003,0.001,0.087,0.043,0,0,0,0,0.255,0.058
"Alberto Fernandez","Positiva",0.229,0.21,0.245,0.259,0.287,0.194,0.145,0.26,0.233,0.214,0.284,0.16,0.633,0.04,0.012,0.719,0.053,0.039,0.198,0.283,0.095,0,0.181,0,0.27
"Alberto Fernandez","Neutra",0.092,0.107,0.079,0.1,0.11,0.089,0.055,0.1,0.078,0.098,0.09,0.093,0.163,0.03,0.308,0.113,0.037,0.188,0.277,0.162,0.04,0,0.121,0.329,0.134
"Alberto Fernandez","Negativa",0.66,0.675,0.648,0.61,0.591,0.715,0.76,0.583,0.687,0.671,0.609,0.726,0.192,0.921,0.61,0.162,0.904,0.748,0.525,0.43,0.865,1,0.698,0.419,0.545
"Alberto Fernandez","No sabe",0.019,0.008,0.028,0.031,0.012,0.002,0.04,0.057,0.002,0.017,0.017,0.021,0.012,0.009,0.07,0.006,0.006,0.025,0,0.125,0,0,0,0.252,0.051
"Sergio Massa","Positiva",0.146,0.172,0.124,0.148,0.187,0.148,0.072,0.133,0.151,0.147,0.159,0.129,0.394,0.017,0.146,0.449,0.021,0.074,0.251,0.137,0.01,0,0.029,0.181,0.205
"Sergio Massa","Neutra",0.123,0.102,0.141,0.111,0.158,0.11,0.09,0.134,0.125,0.118,0.146,0.095,0.288,0.035,0.108,0.295,0.041,0.063,0.077,0.18,0.097,0.303,0.19,0.278,0.129
"Sergio Massa","Negativa",0.715,0.718,0.712,0.741,0.635,0.719,0.82,0.692,0.711,0.726,0.672,0.768,0.313,0.941,0.695,0.25,0.936,0.835,0.672,0.683,0.882,0.697,0.781,0.287,0.604
"Sergio Massa","No sabe",0.016,0.008,0.023,0,0.02,0.023,0.018,0.041,0.013,0.009,0.023,0.008,0.005,0.007,0.051,0.006,0.002,0.028,0,0,0.011,0,0,0.254,0.062
