"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy caro",0.327,0.311,0.343,0.421,0.337,0.306,0.229,0.387,0.32,0.276,0.201,0.435,0.234,0.265,0.271,0.284,0.344,0.41,0.42,0.422
"Caro",0.213,0.209,0.218,0.195,0.239,0.2,0.194,0.218,0.211,0.211,0.175,0.219,0.207,0.216,0.251,0.251,0.169,0.218,0.266,0.231
"Ni caro ni barato",0.296,0.297,0.295,0.273,0.28,0.296,0.356,0.262,0.312,0.308,0.375,0.222,0.381,0.354,0.299,0.265,0.288,0.265,0.233,0.203
"Barato",0.055,0.059,0.052,0.032,0.05,0.072,0.07,0.03,0.051,0.087,0.132,0.016,0.088,0.063,0.081,0.065,0.046,0.003,0.02,0.042
"Muy barato",0.037,0.054,0.019,0.029,0.034,0.042,0.045,0.032,0.035,0.045,0.057,0.026,0.05,0.041,0.067,0.049,0.038,0.017,0.016,0.013
"No sabe",0.072,0.07,0.073,0.05,0.06,0.084,0.106,0.071,0.071,0.073,0.06,0.082,0.04,0.061,0.031,0.086,0.115,0.087,0.045,0.089
