"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Toloza Paz",0.296,0.282,0.309,0.387,0.259,0.258,0.291,0.337,0.259,0.292,0.613,0.05,0.031
"Diego Santilli",0.3,0.325,0.276,0.201,0.235,0.377,0.473,0.246,0.341,0.314,0.057,0.54,0.393
"Facundo Manes",0.152,0.147,0.158,0.09,0.213,0.159,0.108,0.157,0.131,0.178,0.058,0.244,0.171
"Florencio Randazzo",0.047,0.036,0.057,0.037,0.052,0.045,0.054,0.061,0.037,0.043,0.06,0.024,0.174
"A la izquierda",0.013,0.008,0.017,0.028,0.007,0.012,0.003,0.002,0.02,0.016,0.016,0.002,0
"Jose Luis Espert",0.056,0.076,0.038,0.068,0.083,0.028,0.021,0.021,0.07,0.085,0.017,0.07,0.136
"Otros candidatos",0.07,0.073,0.067,0.142,0.066,0.052,0.001,0.068,0.094,0.037,0.093,0.032,0.095
"Votaría en blanco o anularía",0.066,0.053,0.078,0.047,0.085,0.069,0.049,0.108,0.048,0.035,0.086,0.038,0
