"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.425,0.374,0.439,0.432,0.392,0.275
"P04","Realizo changas o trabajos de vez en cuando",0.204,0.179,0.296,0.349,0.23,0.26
"P04","No tengo trabajo",0.161,0.182,0.199,0.105,0.227,0.292
"P04","Soy jubilado o pensionado",0.21,0.265,0.066,0.114,0.151,0.173
"P05","1",0.191,0.406,0.413,0.155,0.236,0.21
"P05","2",0.057,0.067,0.095,0.03,0.061,0.039
"P05","3",0.021,0.085,0.102,0.066,0.035,0.061
"P05","4",0.04,0.084,0.061,0.013,0.082,0.061
"P05","5",0.15,0.202,0.172,0.13,0.252,0.133
"P05","6",0.057,0.038,0.021,0.14,0.045,0.021
"P05","7",0.155,0.026,0.011,0.101,0.096,0.113
"P05","8",0.07,0.02,0.023,0.056,0.054,0.081
"P05","9",0.259,0.072,0.102,0.309,0.139,0.281
"P06","1",0.415,0.166,0.142,0.313,0.298,0.344
"P06","2",0.066,0.05,0.03,0.062,0.083,0.049
"P06","3",0.073,0.04,0.024,0.081,0.055,0.086
"P06","4",0.068,0.032,0.033,0.137,0.067,0.047
"P06","5",0.16,0.185,0.127,0.187,0.203,0.13
"P06","6",0.031,0.065,0.029,0.015,0.057,0.028
"P06","7",0.044,0.076,0.054,0.035,0.025,0.046
"P06","8",0.013,0.088,0.101,0.026,0.046,0.066
"P06","9",0.13,0.298,0.46,0.144,0.166,0.204
"P07","1",0.53,0.206,0.223,0.492,0.364,0.4
"P07","2",0.035,0.036,0.042,0.017,0.045,0.069
"P07","3",0.035,0.042,0.047,0.098,0.04,0.018
"P07","4",0.024,0.029,0.017,0.02,0.013,0.011
"P07","5",0.075,0.135,0.125,0.097,0.083,0.066
"P07","6",0.017,0.039,0.027,0.003,0.048,0.027
"P07","7",0.021,0.066,0.066,0,0.018,0.022
"P07","8",0.014,0.043,0.043,0.007,0.048,0.027
"P07","9",0.249,0.404,0.41,0.266,0.341,0.36
"P09","Del Frente de Todos y el peronismo",0.823,0.052,0.042,0.263,0.421,0.429
"P09","De Juntos por el cambio",0.07,0.726,0.123,0.159,0.266,0.171
"P09","De los Liberales libertarios",0.023,0.162,0.729,0.002,0.036,0.063
"P09","De la Izquierda",0.011,0.006,0.01,0.382,0.023,0.046
"P09","No sabe",0.073,0.054,0.096,0.194,0.254,0.291
"P10","A Alberto Fernández",0.159,0.4,0.227,0.136,0.043,0.307
"P10","A Sergio Massa",0.27,0.155,0.168,0.144,0.069,0.07
"P10","A algún candidato del peronismo",0.108,0.232,0.352,0.069,0.172,0.174
"P10","A algún candidato del kirchnerismo",0.463,0.213,0.253,0.651,0.716,0.449
"P11","A Alberto Fernández",0.086,0.341,0.332,0.069,0.055,0.227
"P11","A Sergio Massa",0.172,0.085,0,0,0.02,0.032
"P11","A algún candidato del peronismo",0.086,0.241,0.483,0.305,0.204,0.058
"P11","A Cristina Fernández de Kirchner",0.656,0.333,0.185,0.626,0.721,0.683
"P12","A Horacio Rodriguez Larreta",0.29,0.174,0.228,0.408,0.372,0.404
"P12","A Mauricio Macri",0.173,0.368,0.368,0.336,0.293,0.187
