"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.423,0.382,0.47,0.318,0.29
"P04","Realizo changas o trabajos de vez en cuando",0.238,0.197,0.229,0.363,0.308
"P04","No tengo trabajo",0.168,0.182,0.218,0.22,0.276
"P04","Soy jubilado o pensionado",0.171,0.239,0.083,0.099,0.126
"P05","1",0.235,0.397,0.384,0.179,0.216
"P05","2",0.084,0.078,0.086,0.095,0.069
"P05","3",0.029,0.067,0.101,0.048,0.06
"P05","4",0.048,0.074,0.088,0.047,0.074
"P05","5",0.127,0.168,0.176,0.077,0.28
"P05","6",0.049,0.034,0.021,0.047,0.053
"P05","7",0.115,0.039,0.028,0.165,0.053
"P05","8",0.078,0.023,0.017,0.062,0.023
"P05","9",0.235,0.12,0.099,0.28,0.172
"P06","1",0.416,0.204,0.112,0.253,0.279
"P06","2",0.084,0.052,0.029,0.086,0.06
"P06","3",0.07,0.025,0.047,0.09,0.03
"P06","4",0.051,0.032,0.033,0.077,0.078
"P06","5",0.144,0.161,0.148,0.203,0.24
"P06","6",0.026,0.051,0.058,0.052,0.041
"P06","7",0.028,0.074,0.053,0.011,0.053
"P06","8",0.025,0.084,0.106,0.034,0.033
"P06","9",0.156,0.317,0.414,0.194,0.186
"P07","1",0.513,0.248,0.176,0.471,0.277
"P07","2",0.055,0.041,0.036,0.081,0.042
"P07","3",0.037,0.03,0.05,0.025,0.032
"P07","4",0.014,0.02,0.028,0.046,0.013
"P07","5",0.075,0.114,0.138,0.076,0.114
"P07","6",0.015,0.034,0.031,0.01,0.017
"P07","7",0.013,0.05,0.071,0,0.041
"P07","8",0.023,0.039,0.044,0.016,0.036
"P07","9",0.255,0.424,0.426,0.275,0.428
"P14","Lo votaría",0.078,0.523,0.147,0.131,0.075
"P14","Puede que lo vote",0.051,0.271,0.292,0.059,0.171
"P14","Nunca lo votaría",0.808,0.174,0.485,0.575,0.508
"P14","No sabe",0.063,0.032,0.076,0.235,0.246
"P15","Lo votaría",0.258,0.096,0.039,0.106,0.054
"P15","Puede que lo vote",0.405,0.113,0.077,0.183,0.226
"P15","Nunca lo votaría",0.263,0.764,0.854,0.539,0.48
"P15","No sabe",0.074,0.027,0.03,0.172,0.24
"P16","Lo votaría",0.276,0.058,0.021,0.108,0.097
"P16","Puede que lo vote",0.393,0.048,0.033,0.158,0.097
"P16","Nunca lo votaría",0.233,0.875,0.926,0.634,0.6
"P16","No sabe",0.098,0.019,0.02,0.1,0.206
"P17","La votaría",0.72,0.069,0.028,0.215,0.137
"P17","Puede que la vote",0.139,0.029,0.038,0.222,0.114
"P17","Nunca la votaría",0.115,0.89,0.931,0.484,0.574
"P17","No sabe",0.026,0.012,0.003,0.079,0.175
"P18","Lo votaría",0.091,0.313,0.065,0.067,0.063
"P18","Puede que lo vote",0.075,0.388,0.233,0.11,0.188
"P18","Nunca lo votaría",0.772,0.265,0.67,0.639,0.498
"P18","No sabe",0.062,0.034,0.032,0.184,0.251
"P19","Lo votaría",0.038,0.112,0.048,0.064,0.067
"P19","Puede que lo vote",0.152,0.283,0.195,0.094,0.133
"P19","Nunca lo votaría",0.669,0.528,0.657,0.599,0.457
"P19","No sabe",0.141,0.077,0.1,0.243,0.343
"P20","La votaría",0.052,0.526,0.319,0.107,0.099
"P20","Puede que la vote",0.06,0.237,0.375,0.082,0.133
"P20","Nunca la votaría",0.84,0.208,0.265,0.662,0.518
"P20","No sabe",0.048,0.029,0.041,0.149,0.25
"P21","Lo votaría",0.04,0.145,0.7,0.169,0.134
"P21","Puede que lo vote",0.054,0.337,0.202,0.05,0.16
"P21","Nunca lo votaría",0.85,0.474,0.085,0.687,0.486
"P21","No sabe",0.056,0.044,0.013,0.094,0.22
"P22","La votaría",0.038,0.25,0.132,0.092,0.063
"P22","Puede que la vote",0.059,0.387,0.282,0.113,0.132
"P22","Nunca la votaría",0.841,0.311,0.52,0.672,0.518
"P22","No sabe",0.062,0.052,0.066,0.123,0.287
"P23","Lo votaría",0.152,0.044,0.032,0.035,0.04
"P23","Puede que lo vote",0.406,0.085,0.054,0.199,0.153
"P23","Nunca lo votaría",0.367,0.843,0.887,0.596,0.603
"P23","No sabe",0.075,0.028,0.027,0.17,0.204
"P24","Lo votaría",0.032,0.085,0.03,0.013,0.025
"P24","Puede que lo vote",0.106,0.255,0.116,0.113,0.096
"P24","Nunca lo votaría",0.758,0.596,0.776,0.654,0.581
"P24","No sabe",0.104,0.064,0.078,0.22,0.298
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.758,0.045,0.023,0.193,0.139
"P26","Alberto Fernández por el Frente de Todos",0.086,0.003,0.014,0.069,0.065
"P26","Mauricio Macri por Juntos por el cambio",0.033,0.336,0.058,0.043,0.084
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.191,0.035,0.08,0.089
"P26","Patricia Bullrich por Juntos por el Cambio",0.014,0.314,0.15,0.017,0.106
"P26","Facundo Manes por Juntos por el Cambio",0.02,0.048,0.035,0.052,0.086
"P26","Javier Milei por los liberales libertarios",0.015,0.037,0.653,0.032,0.146
"P26","Nicolás del Caño por la izquierda",0.003,0.001,0.001,0.393,0.011
"P26","Aún no lo tengo decidido",0.043,0.025,0.031,0.121,0.274
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.281,0.044,0.074,0.085
"P27","Patricia Bullrich por Juntos por el Cambio",0.031,0.54,0.185,0.021,0.123
"P27","Facundo Manes por Juntos por el Cambio",0.025,0.049,0.018,0.014,0.088
"P27","Alberto Fernández por el Frente de Todos",0.267,0.016,0.011,0.11,0.078
"P27","Sergio Massa por el Frente de Todos",0.42,0.022,0.034,0.081,0.099
"P27","Javier Milei por los liberales libertarios",0.024,0.041,0.665,0.099,0.161
"P27","Nicolás del Caño por la izquierda",0.019,0.007,0.021,0.399,0.028
"P27","Otros candidatos",0.08,0.023,0.007,0.142,0.118
"P27","Aún no lo tengo decidido",0.101,0.021,0.015,0.06,0.22
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.84,0.053,0.038,0.161,0.146
"P28","Mauricio Macri por Juntos por el Cambio",0.026,0.677,0.088,0.03,0.112
"P28","Javier Milei por los liberales libertarios",0.022,0.09,0.807,0.082,0.157
"P28","Nicolás del Caño por la izquierda",0.004,0.006,0.001,0.496,0.076
"P28","Otro candidato",0.057,0.103,0.032,0.042,0.165
"P28","Aún no lo tengo decidido",0.051,0.071,0.034,0.189,0.344
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.082,0.584,0.072,0.113,0.109
"P30","Alberto Fernández por el Frente de Todos",0.507,0.061,0.011,0.065,0.149
"P30","Javier Milei por los liberales libertarios",0.038,0.129,0.859,0.043,0.202
"P30","Nicolás del Caño por la izquierda",0.025,0.008,0.002,0.56,0.048
"P30","Otro candidato",0.171,0.129,0.03,0.064,0.207
"P30","Aún no lo tengo decidido",0.177,0.089,0.026,0.155,0.285
"P32","Sergio Massa presidente por el Frente de Todos",0.596,0.049,0.024,0.088,0.137
"P32","Patricia Bullrich por Juntos por el Cambio",0.053,0.709,0.232,0.067,0.145
"P32","Javier Milei por los liberales libertarios",0.028,0.08,0.696,0.078,0.17
"P32","Nicolás del Caño por la izquierda",0.029,0.017,0,0.493,0.057
"P32","Otro candidato",0.149,0.09,0.018,0.094,0.235
"P32","Aún no lo tengo decidido",0.145,0.055,0.03,0.18,0.256
"P34","Sergio Massa presidente por el Frente de Todos",0.597,0.07,0.014,0.219,0.167
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.07,0.583,0.077,0.116,0.143
"P34","Javier Milei por los liberales libertarios",0.034,0.123,0.86,0.062,0.172
"P34","Nicolás del Caño por la izquierda",0.021,0.007,0.006,0.481,0.026
"P34","Otro candidato",0.151,0.143,0.018,0.026,0.208
"P34","Aún no lo tengo decidido",0.127,0.074,0.025,0.096,0.284
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.816,0.077,0.02,0.288,0.213
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.576,0.071,0.05,0.154
"P36","Javier Milei por los liberales libertarios",0.027,0.149,0.854,0.071,0.168
"P36","Nicolás del Caño por la izquierda",0.004,0.007,0.007,0.415,0.043
"P36","Otro candidato",0.049,0.129,0.03,0.081,0.19
"P36","Aún no lo tengo decidido",0.041,0.062,0.018,0.095,0.232
"P37","Sergio Massa presidente por el Frente de Todos",0.656,0.043,0.021,0.179,0.147
"P37","Mauricio Macri por Juntos por el Cambio",0.04,0.69,0.108,0.094,0.148
