"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.45,0.392,0.377,0.539,0.491
"P04","Realizo changas o trabajos de vez en cuando",0.212,0.186,0.222,0.134,0.118
"P04","No tengo trabajo",0.18,0.186,0.158,0.159,0.206
"P04","Soy jubilado o pensionado",0.158,0.236,0.243,0.168,0.185
"P05","1",0.355,0.452,0.406,0.282,0.276
"P05","2",0.064,0.093,0.1,0.035,0.01
"P05","3",0.084,0.055,0.086,0.082,0.023
"P05","4",0.078,0.092,0.059,0.031,0.102
"P05","5",0.196,0.146,0.153,0.249,0.3
"P05","6",0.033,0.029,0.038,0.05,0.051
"P05","7",0.032,0.034,0.032,0.085,0.041
"P05","8",0.028,0.019,0.019,0.029,0.006
"P05","9",0.13,0.08,0.107,0.157,0.191
"P06","1",0.188,0.189,0.179,0.219,0.285
"P06","2",0.05,0.035,0.07,0.108,0.011
"P06","3",0.033,0.017,0.025,0.035,0.005
"P06","4",0.039,0.032,0.023,0.054,0.1
"P06","5",0.23,0.143,0.124,0.184,0.277
"P06","6",0.061,0.03,0.064,0.084,0.022
"P06","7",0.075,0.075,0.087,0.086,0.088
"P06","8",0.067,0.099,0.099,0.087,0.014
"P06","9",0.257,0.38,0.329,0.143,0.198
"P07","1",0.294,0.208,0.221,0.3,0.287
"P07","2",0.047,0.024,0.051,0.093,0.037
"P07","3",0.036,0.021,0.031,0.086,0.016
"P07","4",0.035,0.015,0.014,0.015,0.037
"P07","5",0.121,0.127,0.109,0.168,0.107
"P07","6",0.051,0.033,0.034,0.006,0.032
"P07","7",0.033,0.056,0.066,0.074,0.03
"P07","8",0.02,0.042,0.047,0.009,0.066
"P07","9",0.363,0.474,0.427,0.249,0.388
"P13","Seguro lo votaria",0.288,0.166,0.19,0.137,0.134
"P13","Quizás lo votaría",0.315,0.438,0.35,0.259,0.271
"P13","Nunca lo votaría",0.397,0.396,0.46,0.604,0.595
"P14","Lo votaría",0.331,0.756,0.531,0.124,0.197
"P14","Puede que lo vote",0.386,0.136,0.342,0.316,0.264
"P14","Nunca lo votaría",0.261,0.082,0.093,0.501,0.493
"P14","No sabe",0.022,0.026,0.034,0.059,0.046
"P15","Lo votaría",0.097,0.101,0.07,0.11,0.148
"P15","Puede que lo vote",0.173,0.091,0.076,0.194,0.179
"P15","Nunca lo votaría",0.706,0.78,0.834,0.625,0.619
"P15","No sabe",0.024,0.028,0.02,0.071,0.054
"P16","Lo votaría",0.078,0.041,0.024,0.066,0.212
"P16","Puede que lo vote",0.068,0.031,0.034,0.183,0.016
"P16","Nunca lo votaría",0.843,0.899,0.931,0.713,0.736
"P16","No sabe",0.011,0.029,0.011,0.038,0.036
"P17","La votaría",0.099,0.052,0.013,0.233,0.214
"P17","Puede que la vote",0.032,0.023,0.022,0.052,0.102
"P17","Nunca la votaría",0.86,0.916,0.954,0.688,0.673
"P17","No sabe",0.009,0.009,0.011,0.027,0.011
"P18","Lo votaría",0.667,0.212,0.218,0.263,0.142
"P18","Puede que lo vote",0.173,0.441,0.483,0.347,0.385
"P18","Nunca lo votaría",0.156,0.3,0.265,0.331,0.459
"P18","No sabe",0.004,0.047,0.034,0.059,0.014
"P19","Lo votaría",0.147,0.045,0.077,0.473,0.147
"P19","Puede que lo vote",0.325,0.23,0.291,0.24,0.468
"P19","Nunca lo votaría",0.445,0.648,0.559,0.207,0.3
"P19","No sabe",0.083,0.077,0.073,0.08,0.085
"P20","La votaría",0.286,0.476,0.82,0.168,0.119
"P20","Puede que la vote",0.36,0.282,0.092,0.348,0.392
"P20","Nunca la votaría",0.332,0.216,0.077,0.411,0.334
"P20","No sabe",0.022,0.026,0.011,0.073,0.155
"P21","Lo votaría",0.159,0.104,0.185,0.117,0.077
"P21","Puede que lo vote",0.315,0.345,0.405,0.238,0.073
"P21","Nunca lo votaría",0.485,0.511,0.36,0.611,0.769
"P21","No sabe",0.041,0.04,0.05,0.034,0.081
"P22","La votaría",0.307,0.225,0.265,0.163,0.156
"P22","Puede que la vote",0.378,0.425,0.416,0.258,0.173
"P22","Nunca la votaría",0.27,0.298,0.267,0.533,0.595
"P22","No sabe",0.045,0.052,0.052,0.046,0.076
"P23","Lo votaría",0.061,0.02,0.027,0.128,0.056
"P23","Puede que lo vote",0.094,0.086,0.064,0.152,0.046
"P23","Nunca lo votaría",0.813,0.865,0.888,0.706,0.789
"P23","No sabe",0.032,0.029,0.021,0.014,0.109
"P24","Lo votaría",0.098,0.051,0.058,0.12,0.465
"P24","Puede que lo vote",0.211,0.227,0.292,0.339,0.145
"P24","Nunca lo votaría",0.624,0.674,0.571,0.453,0.321
"P24","No sabe",0.067,0.048,0.079,0.088,0.069
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.065,0.022,0.004,0.315,0.173
"P26","Alberto Fernández por el Frente de Todos",0,0.007,0,0,0.023
"P26","Mauricio Macri por Juntos por el cambio",0.115,0.776,0.136,0.026,0.092
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.642,0.052,0.067,0.151,0.147
"P26","Patricia Bullrich por Juntos por el Cambio",0.068,0.084,0.723,0.027,0.06
"P26","Facundo Manes por Juntos por el Cambio",0.034,0.008,0.009,0.394,0.32
"P26","Javier Milei por los liberales libertarios",0.021,0.042,0.045,0.07,0
"P26","Nicolás del Caño por la izquierda",0.001,0,0.001,0.011,0
"P26","Aún no lo tengo decidido",0.054,0.009,0.015,0.006,0.185
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.773,0.227,0.081,0.12,0.14
"P27","Patricia Bullrich por Juntos por el Cambio",0.122,0.598,0.837,0.034,0.192
"P27","Facundo Manes por Juntos por el Cambio",0.013,0.026,0.023,0.449,0.09
"P27","Alberto Fernández por el Frente de Todos",0.026,0.003,0.001,0.095,0.109
"P27","Sergio Massa por el Frente de Todos",0.011,0.026,0.001,0.15,0.049
"P27","Javier Milei por los liberales libertarios",0.027,0.067,0.026,0.09,0.014
"P27","Nicolás del Caño por la izquierda",0.002,0.007,0,0.005,0.105
"P27","Otros candidatos",0.004,0.019,0.016,0.009,0.221
"P27","Aún no lo tengo decidido",0.022,0.027,0.015,0.048,0.08
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.068,0.027,0.01,0.258,0.167
"P28","Mauricio Macri por Juntos por el Cambio",0.545,0.884,0.645,0.231,0.343
"P28","Javier Milei por los liberales libertarios",0.107,0.04,0.152,0.152,0.025
"P28","Nicolás del Caño por la izquierda",0.022,0,0.003,0.015,0
"P28","Otro candidato",0.171,0.018,0.116,0.22,0.336
"P28","Aún no lo tengo decidido",0.087,0.031,0.074,0.124,0.129
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.807,0.573,0.488,0.448,0.428
"P30","Alberto Fernández por el Frente de Todos",0.09,0.047,0.032,0.126,0.141
"P30","Javier Milei por los liberales libertarios",0.031,0.166,0.197,0.112,0.014
"P30","Nicolás del Caño por la izquierda",0.018,0.007,0.005,0.023,0
"P30","Otro candidato",0.016,0.126,0.165,0.23,0.3
"P30","Aún no lo tengo decidido",0.038,0.081,0.113,0.061,0.117
"P32","Sergio Massa presidente por el Frente de Todos",0.062,0.024,0.011,0.264,0.188
"P32","Patricia Bullrich por Juntos por el Cambio",0.568,0.763,0.838,0.329,0.409
"P32","Javier Milei por los liberales libertarios",0.088,0.091,0.079,0.097,0.035
"P32","Nicolás del Caño por la izquierda",0.035,0.018,0.013,0.007,0
"P32","Otro candidato",0.152,0.076,0.017,0.239,0.288
"P32","Aún no lo tengo decidido",0.095,0.028,0.042,0.064,0.08
"P34","Sergio Massa presidente por el Frente de Todos",0.048,0.045,0.057,0.228,0.239
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.808,0.572,0.491,0.541,0.343
"P34","Javier Milei por los liberales libertarios",0.043,0.17,0.182,0.03,0.015
"P34","Nicolás del Caño por la izquierda",0.016,0.007,0.001,0.02,0
"P34","Otro candidato",0.025,0.159,0.162,0.151,0.315
"P34","Aún no lo tengo decidido",0.06,0.047,0.107,0.03,0.088
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.119,0.046,0.041,0.278,0.189
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.75,0.562,0.5,0.559,0.269
"P36","Javier Milei por los liberales libertarios",0.048,0.19,0.227,0.031,0.145
"P36","Nicolás del Caño por la izquierda",0.017,0.003,0.004,0.023,0
"P36","Otro candidato",0.014,0.149,0.153,0.095,0.336
"P36","Aún no lo tengo decidido",0.052,0.05,0.075,0.014,0.061
"P37","Sergio Massa presidente por el Frente de Todos",0.046,0.034,0.01,0.262,0.1
"P37","Mauricio Macri por Juntos por el Cambio",0.571,0.832,0.69,0.364,0.213
"P37","Javier Milei por los liberales libertarios",0.135,0.062,0.146,0.051,0.157
"P37","Nicolás del Caño por la izquierda",0.024,0.011,0,0,0
"P37","Otro candidato",0.143,0.043,0.109,0.203,0.395
"P37","Aún no lo tengo decidido",0.081,0.018,0.045,0.12,0.135
"P38","Alberto Fernández por el Frente de Todos",0.017,0.02,0.011,0.159,0.059
"P38","Mauricio Macri por Juntos por el Cambio",0.587,0.889,0.707,0.375,0.234
"P38","Javier Milei por los liberales libertarios",0.11,0.035,0.138,0.052,0.017
"P38","Nicolás del Caño por la izquierda",0.046,0.013,0,0.017,0
"P38","Otro candidato",0.204,0.025,0.109,0.265,0.507
"P38","Aún no lo tengo decidido",0.036,0.018,0.035,0.132,0.183
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.094,0.042,0.046,0.285,0.174
"P39","Mauricio Macri por Juntos por el Cambio",0.671,0.915,0.884,0.438,0.489
"P39","No sabe",0.235,0.043,0.07,0.277,0.337
"P40","Alberto Fernández por el Frente de Todos",0.052,0.038,0.005,0.174,0.305
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.865,0.743,0.797,0.633,0.366
"P40","No sabe",0.083,0.219,0.198,0.193,0.329
"P41","Sergio Massa presidente por el Frente de Todos",0.088,0.023,0.005,0.179,0.128
"P41","Patricia Bullrich por Juntos por el Cambio",0.727,0.858,0.951,0.565,0.54
"P41","No sabe",0.185,0.119,0.044,0.256,0.332
"P42","Sergio Massa presidente por el Frente de Todos",0.081,0.006,0.018,0.291,0.157
"P42","Mauricio Macri por Juntos por el Cambio",0.712,0.964,0.939,0.491,0.461
"P42","No sabe",0.207,0.03,0.043,0.218,0.382
"P43","Sergio Massa presidente por el Frente de Todos",0.052,0.009,0.015,0.278,0.195
"P43","Javier Milei por los liberales libertarios",0.481,0.519,0.582,0.381,0.211
"P43","No sabe",0.467,0.472,0.403,0.341,0.594
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.802,0.435,0.493,0.445,0.686
"P44","Javier Milei por los liberales libertarios",0.135,0.296,0.335,0.168,0.107
"P44","No sabe",0.063,0.269,0.172,0.387,0.207
"P45","Muy buena",0.121,0.039,0.035,0,0.069
"P45","Buena",0.023,0.037,0.031,0.036,0.033
"P45","Ni buena ni mala",0.069,0.043,0.026,0.164,0.123
"P45","Mala",0.124,0.055,0.113,0.318,0.274
"P45","Muy mala",0.663,0.798,0.794,0.454,0.501
"P45","No sabe",0,0.028,0.001,0.028,0
"P46","Muy buena",0.057,0,0.003,0.029,0.156
"P46","Buena",0.003,0.001,0.004,0.016,0.012
"P46","Ni buena ni mala",0.074,0.049,0.019,0.135,0.043
"P46","Mala",0.131,0.076,0.112,0.173,0.272
"P46","Muy mala",0.735,0.872,0.856,0.647,0.517
"P46","No sabe",0,0.002,0.006,0,0
"P47","Muy buena",0.046,0.006,0,0.203,0.144
"P47","Buena",0.026,0.001,0.001,0.02,0.033
"P47","Ni buena ni mala",0.007,0.033,0.003,0.055,0.205
"P47","Mala",0.115,0.043,0.095,0.089,0.073
"P47","Muy mala",0.803,0.914,0.9,0.633,0.545
"P47","No sabe",0.003,0.003,0.001,0,0
"P48","Muy buena",0.206,0.569,0.306,0.06,0.03
"P48","Buena",0.327,0.248,0.341,0.222,0.182
"P48","Ni buena ni mala",0.223,0.061,0.185,0.278,0.19
"P48","Mala",0.102,0.026,0.063,0.129,0.274
"P48","Muy mala",0.14,0.096,0.103,0.311,0.324
"P48","No sabe",0.002,0,0.002,0,0
"P49","Muy buena",0.516,0.225,0.197,0.114,0.123
"P49","Buena",0.357,0.331,0.395,0.434,0.216
"P49","Ni buena ni mala",0.091,0.267,0.296,0.179,0.458
"P49","Mala",0.02,0.093,0.082,0.113,0.076
