"var","categoria","Sergio Massa presidente por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.457,0.381,0.4
"P04","Realizo changas o trabajos de vez en cuando",0.213,0.204,0.277
"P04","No tengo trabajo",0.136,0.204,0.192
"P04","Soy jubilado o pensionado",0.194,0.211,0.131
"P05","1",0.151,0.415,0.332
"P05","2",0.054,0.063,0.083
"P05","3",0.023,0.097,0.045
"P05","4",0.047,0.081,0.051
"P05","5",0.158,0.187,0.184
"P05","6",0.067,0.022,0.044
"P05","7",0.164,0.035,0.043
"P05","8",0.095,0.026,0.027
"P05","9",0.241,0.074,0.191
"P06","1",0.37,0.147,0.307
"P06","2",0.084,0.036,0.047
"P06","3",0.078,0.047,0.037
"P06","4",0.079,0.029,0.024
"P06","5",0.18,0.151,0.177
"P06","6",0.026,0.062,0.042
"P06","7",0.038,0.085,0.025
"P06","8",0.018,0.104,0.054
"P06","9",0.127,0.339,0.287
"P07","1",0.525,0.194,0.37
"P07","2",0.049,0.037,0.052
"P07","3",0.055,0.033,0.036
"P07","4",0.026,0.027,0.014
"P07","5",0.099,0.135,0.071
"P07","6",0.018,0.042,0.027
"P07","7",0.018,0.067,0.029
"P07","8",0.012,0.049,0.042
"P07","9",0.198,0.416,0.359
"P09","Del Frente de Todos y el peronismo",0.806,0.028,0.233
"P09","De Juntos por el cambio",0.05,0.607,0.15
"P09","De los Liberales libertarios",0.041,0.299,0.32
"P09","De la Izquierda",0.032,0.012,0.05
"P09","No sabe",0.071,0.054,0.247
"P10","A Alberto Fernández",0.143,0.308,0.111
"P10","A Sergio Massa",0.241,0.111,0.135
"P10","A algún candidato del peronismo",0.1,0.49,0.18
"P10","A algún candidato del kirchnerismo",0.516,0.091,0.574
"P11","A Alberto Fernández",0.093,0.259,0.095
"P11","A Sergio Massa",0.132,0.113,0.047
"P11","A algún candidato del peronismo",0.086,0.55,0.21
"P11","A Cristina Fernández de Kirchner",0.689,0.078,0.648
"P12","A Horacio Rodriguez Larreta",0.374,0.18,0.476
"P12","A Mauricio Macri",0.044,0.385,0.109
"P12","A Patricia Bullrich",0.136,0.387,0.161
"P12","A Facundo Manes",0.343,0.032,0.129
"P12","A Gerardo Morales",0.103,0.016,0.125
"P13","Seguro lo votaria",0.038,0.164,0.271
"P13","Quizás lo votaría",0.305,0.415,0.298
"P13","Nunca lo votaría",0.657,0.421,0.431
"P14","Lo votaría",0.032,0.501,0.041
"P14","Puede que lo vote",0.031,0.321,0.113
"P14","Nunca lo votaría",0.898,0.143,0.703
"P14","No sabe",0.039,0.035,0.143
"P15","Lo votaría",0.295,0.052,0.023
"P15","Puede que lo vote",0.484,0.068,0.177
"P15","Nunca lo votaría",0.163,0.85,0.691
"P15","No sabe",0.058,0.03,0.109
"P16","Lo votaría",0.211,0.021,0.096
"P16","Puede que lo vote",0.489,0.016,0.104
"P16","Nunca lo votaría",0.221,0.947,0.676
"P16","No sabe",0.079,0.016,0.124
"P17","La votaría",0.721,0.014,0.256
"P17","Puede que la vote",0.142,0.022,0.07
"P17","Nunca la votaría",0.116,0.953,0.62
"P17","No sabe",0.021,0.011,0.054
"P18","Lo votaría",0.054,0.233,0.129
"P18","Puede que lo vote",0.084,0.375,0.134
"P18","Nunca lo votaría",0.823,0.351,0.621
"P18","No sabe",0.039,0.041,0.116
"P19","Lo votaría",0.038,0.081,0.068
"P19","Puede que lo vote",0.194,0.241,0.173
"P19","Nunca lo votaría",0.658,0.603,0.565
"P19","No sabe",0.11,0.075,0.194
"P20","La votaría",0.037,0.568,0.119
"P20","Puede que la vote",0.048,0.289,0.217
"P20","Nunca la votaría",0.895,0.115,0.549
"P20","No sabe",0.02,0.028,0.115
"P21","Lo votaría",0.04,0.336,0.292
"P21","Puede que lo vote",0.051,0.316,0.14
"P21","Nunca lo votaría",0.879,0.309,0.471
"P21","No sabe",0.03,0.039,0.097
"P22","La votaría",0.012,0.238,0.086
"P22","Puede que la vote",0.067,0.388,0.119
"P22","Nunca la votaría",0.877,0.313,0.66
"P22","No sabe",0.044,0.061,0.135
"P23","Lo votaría",0.165,0.018,0.057
"P23","Puede que lo vote",0.472,0.053,0.121
"P23","Nunca lo votaría",0.299,0.898,0.727
"P23","No sabe",0.064,0.031,0.095
"P24","Lo votaría",0.027,0.051,0.043
"P24","Puede que lo vote",0.121,0.209,0.126
"P24","Nunca lo votaría",0.772,0.664,0.68
"P24","No sabe",0.08,0.076,0.151
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.75,0.014,0.242
"P26","Alberto Fernández por el Frente de Todos",0.08,0.005,0.021
"P26","Mauricio Macri por Juntos por el cambio",0.008,0.304,0.016
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.126,0.138
"P26","Patricia Bullrich por Juntos por el Cambio",0.021,0.283,0.071
"P26","Facundo Manes por Juntos por el Cambio",0.037,0.03,0.048
"P26","Javier Milei por los liberales libertarios",0.03,0.21,0.301
"P26","Nicolás del Caño por la izquierda",0.013,0.001,0.039
"P26","Aún no lo tengo decidido",0.041,0.027,0.124
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.18,0.146
"P27","Patricia Bullrich por Juntos por el Cambio",0.013,0.484,0.079
"P27","Facundo Manes por Juntos por el Cambio",0.026,0.037,0.042
"P27","Alberto Fernández por el Frente de Todos",0.203,0.001,0.127
"P27","Sergio Massa por el Frente de Todos",0.523,0.016,0.046
"P27","Javier Milei por los liberales libertarios",0.036,0.236,0.292
"P27","Nicolás del Caño por la izquierda",0.035,0.004,0.055
"P27","Otros candidatos",0.064,0.025,0.079
"P27","Aún no lo tengo decidido",0.071,0.017,0.134
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.81,0.027,0.24
"P28","Mauricio Macri por Juntos por el Cambio",0.009,0.564,0.019
"P28","Javier Milei por los liberales libertarios",0.042,0.298,0.357
"P28","Nicolás del Caño por la izquierda",0.036,0.006,0.046
"P28","Otro candidato",0.049,0.062,0.151
