"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.41,0.383,0.427
"P04","Realizo changas o trabajos de vez en cuando",0.211,0.205,0.264
"P04","No tengo trabajo",0.189,0.192,0.175
"P04","Soy jubilado o pensionado",0.19,0.22,0.134
"P05","1",0.194,0.364,0.376
"P05","2",0.056,0.067,0.072
"P05","3",0.024,0.085,0.064
"P05","4",0.027,0.095,0.056
"P05","5",0.122,0.211,0.179
"P05","6",0.039,0.039,0.04
"P05","7",0.141,0.043,0.057
"P05","8",0.088,0.03,0.028
"P05","9",0.309,0.066,0.128
"P06","1",0.417,0.139,0.249
"P06","2",0.067,0.036,0.064
"P06","3",0.086,0.048,0.037
"P06","4",0.046,0.042,0.04
"P06","5",0.147,0.176,0.163
"P06","6",0.015,0.069,0.043
"P06","7",0.036,0.095,0.024
"P06","8",0.025,0.095,0.068
"P06","9",0.161,0.3,0.312
"P07","1",0.512,0.199,0.341
"P07","2",0.042,0.037,0.052
"P07","3",0.043,0.043,0.032
"P07","4",0.024,0.023,0.022
"P07","5",0.063,0.139,0.106
"P07","6",0.008,0.042,0.04
"P07","7",0.016,0.066,0.036
"P07","8",0.016,0.054,0.028
"P07","9",0.276,0.397,0.343
"P09","Del Frente de Todos y el peronismo",0.817,0.039,0.214
"P09","De Juntos por el cambio",0.064,0.63,0.197
"P09","De los Liberales libertarios",0.036,0.227,0.388
"P09","De la Izquierda",0.025,0.015,0.04
"P09","No sabe",0.058,0.089,0.161
"P10","A Alberto Fernández",0.188,0.14,0.049
"P10","A Sergio Massa",0.196,0.294,0.255
"P10","A algún candidato del peronismo",0.094,0.438,0.157
"P10","A algún candidato del kirchnerismo",0.522,0.128,0.539
"P11","A Alberto Fernández",0.114,0.089,0.08
"P11","A Sergio Massa",0.098,0.186,0.164
"P11","A algún candidato del peronismo",0.085,0.532,0.158
"P11","A Cristina Fernández de Kirchner",0.703,0.193,0.598
"P12","A Horacio Rodriguez Larreta",0.24,0.241,0.096
"P12","A Mauricio Macri",0.281,0.332,0.407
"P12","A Patricia Bullrich",0.039,0.365,0.375
"P12","A Facundo Manes",0.206,0.045,0.058
"P12","A Gerardo Morales",0.234,0.017,0.064
"P13","Seguro lo votaria",0.255,0.142,0.272
"P13","Quizás lo votaría",0.295,0.412,0.327
"P13","Nunca lo votaría",0.45,0.446,0.401
"P14","Lo votaría",0.046,0.465,0.18
"P14","Puede que lo vote",0.035,0.297,0.181
"P14","Nunca lo votaría",0.861,0.193,0.556
"P14","No sabe",0.058,0.045,0.083
"P15","Lo votaría",0.252,0.066,0.073
"P15","Puede que lo vote",0.435,0.092,0.195
"P15","Nunca lo votaría",0.24,0.805,0.654
"P15","No sabe",0.073,0.037,0.078
"P16","Lo votaría",0.302,0.016,0.032
"P16","Puede que lo vote",0.461,0.027,0.122
"P16","Nunca lo votaría",0.162,0.931,0.762
"P16","No sabe",0.075,0.026,0.084
"P17","La votaría",0.763,0.017,0.205
"P17","Puede que la vote",0.125,0.036,0.065
"P17","Nunca la votaría",0.095,0.939,0.68
"P17","No sabe",0.017,0.008,0.05
"P18","Lo votaría",0.06,0.311,0.029
"P18","Puede que lo vote",0.049,0.437,0.136
"P18","Nunca lo votaría",0.853,0.204,0.742
"P18","No sabe",0.038,0.048,0.093
"P19","Lo votaría",0.019,0.118,0.032
"P19","Puede que lo vote",0.167,0.291,0.145
"P19","Nunca lo votaría",0.685,0.503,0.683
"P19","No sabe",0.129,0.088,0.14
"P20","La votaría",0.029,0.55,0.232
"P20","Puede que la vote",0.053,0.276,0.23
"P20","Nunca la votaría",0.879,0.14,0.465
"P20","No sabe",0.039,0.034,0.073
"P21","Lo votaría",0.031,0.26,0.389
"P21","Puede que lo vote",0.045,0.327,0.155
"P21","Nunca lo votaría",0.877,0.365,0.397
"P21","No sabe",0.047,0.048,0.059
"P22","La votaría",0.023,0.262,0.062
"P22","Puede que la vote",0.032,0.401,0.186
