"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.055,0.045,0.065,0.049,0.055,0.05,0.068,0.057,0.053,0.054,0.051,0.064,0.033,0.058,0.085,0.04,0.053,6
"Buena",0.131,0.11,0.154,0.115,0.14,0.132,0.133,0.143,0.118,0.138,0.125,0.145,0.133,0.131,0.254,0.036,0.118,6
"Ni buena ni mala",0.186,0.186,0.187,0.173,0.197,0.192,0.175,0.25,0.168,0.147,0.155,0.257,0.122,0.194,0.373,0.055,0.102,6
"Mala",0.113,0.115,0.11,0.121,0.108,0.108,0.119,0.084,0.129,0.12,0.113,0.099,0.116,0.117,0.128,0.096,0.291,6
"Muy mala",0.502,0.542,0.46,0.533,0.479,0.516,0.491,0.44,0.522,0.537,0.543,0.422,0.564,0.49,0.148,0.763,0.429,6
"No sabe",0.013,0.002,0.024,0.009,0.021,0.002,0.014,0.026,0.01,0.004,0.013,0.013,0.032,0.01,0.012,0.01,0.007,6
"Positiva",0.186,0.155,0.219,0.164,0.195,0.182,0.201,0.2,0.171,0.192,0.176,0.209,0.166,0.189,0.339,0.076,0.171,4
"Neutra",0.186,0.186,0.187,0.173,0.197,0.192,0.175,0.25,0.168,0.147,0.155,0.257,0.122,0.194,0.373,0.055,0.102,4
"Negativa",0.615,0.657,0.57,0.654,0.587,0.624,0.61,0.524,0.651,0.657,0.656,0.521,0.68,0.607,0.276,0.859,0.72,4
"No sabe",0.013,0.002,0.024,0.009,0.021,0.002,0.014,0.026,0.01,0.004,0.013,0.013,0.032,0.01,0.012,0.01,0.007,4
