"var","categoria","Sergio Massa presidente por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.441,0.337,0.437,0.547,0.392,0.255
"P04","Realizo changas o trabajos de vez en cuando",0.201,0.183,0.293,0.223,0.232,0.318
"P04","No tengo trabajo",0.158,0.212,0.193,0.045,0.213,0.247
"P04","Soy jubilado o pensionado",0.2,0.268,0.077,0.185,0.163,0.18
"P05","1",0.168,0.431,0.407,0.143,0.226,0.25
"P05","2",0.059,0.065,0.085,0.041,0.059,0.055
"P05","3",0.023,0.081,0.093,0.096,0.033,0.072
"P05","4",0.042,0.075,0.075,0.004,0.078,0.072
"P05","5",0.139,0.19,0.17,0.15,0.242,0.199
"P05","6",0.06,0.027,0.022,0.111,0.052,0.029
"P05","7",0.162,0.034,0.01,0.089,0.105,0.058
"P05","8",0.079,0.022,0.023,0.078,0.041,0.069
"P05","9",0.268,0.075,0.115,0.288,0.164,0.196
"P06","1",0.388,0.184,0.141,0.293,0.323,0.309
"P06","2",0.083,0.032,0.034,0.032,0.054,0.071
"P06","3",0.073,0.05,0.036,0.109,0.035,0.052
"P06","4",0.061,0.03,0.036,0.154,0.05,0.083
"P06","5",0.166,0.156,0.127,0.239,0.222,0.182
"P06","6",0.033,0.047,0.051,0.012,0.064,0.025
"P06","7",0.046,0.087,0.053,0.018,0.039,0.022
"P06","8",0.016,0.094,0.107,0.038,0.039,0.035
"P06","9",0.134,0.32,0.415,0.105,0.174,0.221
"P07","1",0.513,0.219,0.198,0.597,0.399,0.403
"P07","2",0.058,0.025,0.054,0.025,0.032,0.017
"P07","3",0.035,0.03,0.047,0.212,0.026,0.022
"P07","4",0.029,0.024,0.024,0,0.012,0.02
"P07","5",0.084,0.142,0.115,0.075,0.078,0.097
"P07","6",0.017,0.034,0.03,0.008,0.058,0.029
"P07","7",0.022,0.061,0.066,0,0.021,0.012
"P07","8",0.014,0.051,0.039,0.01,0.035,0.032
"P07","9",0.228,0.414,0.427,0.073,0.339,0.368
"P09","Del Frente de Todos y el peronismo",0.836,0.044,0.03,0.25,0.423,0.369
"P09","De Juntos por el cambio",0.058,0.803,0.137,0.117,0.303,0.186
"P09","De los Liberales libertarios",0.019,0.085,0.736,0.013,0.027,0.09
"P09","De la Izquierda",0.02,0.009,0.015,0.475,0.006,0.044
"P09","No sabe",0.067,0.059,0.082,0.145,0.241,0.311
"P10","A Alberto Fernández",0.153,0.384,0.112,0.145,0.098,0.253
"P10","A Sergio Massa",0.268,0.138,0.271,0.175,0.069,0.046
"P10","A algún candidato del peronismo",0.095,0.289,0.412,0.083,0.226,0.197
"P10","A algún candidato del kirchnerismo",0.484,0.189,0.205,0.597,0.607,0.504
"P11","A Alberto Fernández",0.078,0.343,0.332,0.073,0.068,0.218
"P11","A Sergio Massa",0.161,0.113,0.056,0,0.014,0.037
"P11","A algún candidato del peronismo",0.076,0.297,0.592,0.216,0.221,0.147
"P11","A Cristina Fernández de Kirchner",0.685,0.247,0.02,0.711,0.697,0.598
"P12","A Horacio Rodriguez Larreta",0.228,0.181,0.264,0.576,0.282,0.343
"P12","A Mauricio Macri",0.273,0.418,0.191,0.424,0.134,0.12
"P12","A Patricia Bullrich",0.081,0.36,0.469,0,0.354,0.313
"P12","A Facundo Manes",0.337,0.03,0.026,0,0.103,0.131
"P12","A Gerardo Morales",0.081,0.011,0.05,0,0.127,0.093
"P13","Seguro lo votaria",0.192,0.151,0.529,0.058,0.167,0.048
"P13","Quizás lo votaría",0.206,0.4,0.402,0.14,0.342,0.397
"P13","Nunca lo votaría",0.602,0.449,0.069,0.802,0.491,0.555
"P14","Lo votaría",0.044,0.693,0.124,0.088,0.08,0.062
"P14","Puede que lo vote",0.02,0.23,0.34,0.036,0.152,0.168
"P14","Nunca lo votaría",0.883,0.061,0.449,0.717,0.642,0.626
"P14","No sabe",0.053,0.016,0.087,0.159,0.126,0.144
"P15","Lo votaría",0.338,0.051,0.053,0.016,0.055,0.029
"P15","Puede que lo vote",0.481,0.078,0.101,0.32,0.222,0.262
"P15","Nunca lo votaría",0.145,0.829,0.809,0.602,0.56,0.561
"P15","No sabe",0.036,0.042,0.037,0.062,0.163,0.148
"P16","Lo votaría",0.26,0.018,0.026,0.042,0.111,0.141
"P16","Puede que lo vote",0.459,0.031,0.045,0.169,0.184,0.161
"P16","Nunca lo votaría",0.209,0.928,0.904,0.753,0.573,0.516
"P16","No sabe",0.072,0.023,0.025,0.036,0.132,0.182
"P17","La votaría",0.738,0.017,0.041,0.281,0.405,0.375
"P17","Puede que la vote",0.143,0.029,0.032,0.182,0.088,0.084
"P17","Nunca la votaría",0.099,0.936,0.907,0.526,0.473,0.431
"P17","No sabe",0.02,0.018,0.02,0.011,0.034,0.11
"P18","Lo votaría",0.079,0.325,0.055,0.078,0.135,0.09
"P18","Puede que lo vote",0.07,0.384,0.278,0.18,0.177,0.205
"P18","Nunca lo votaría",0.816,0.246,0.616,0.63,0.594,0.504
