"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.27,0.266,0.274,0.218,0.245,0.305,0.344,0.275,0.265,0.27,0.26,0.266,0.297,0.276,0.072,0.464,0.107
"Patricia Bullrich","Buena",0.185,0.2,0.168,0.238,0.145,0.201,0.176,0.149,0.191,0.212,0.202,0.169,0.228,0.17,0.063,0.276,0.255
"Patricia Bullrich","Ni buena ni mala",0.134,0.136,0.133,0.187,0.142,0.095,0.104,0.129,0.143,0.128,0.136,0.162,0.125,0.122,0.084,0.123,0.311
"Patricia Bullrich","Mala",0.084,0.08,0.088,0.074,0.095,0.078,0.083,0.101,0.084,0.068,0.078,0.1,0.082,0.083,0.127,0.039,0.152
"Patricia Bullrich","Muy mala",0.31,0.304,0.318,0.273,0.347,0.311,0.278,0.307,0.308,0.317,0.306,0.272,0.213,0.346,0.632,0.087,0.175
"Patricia Bullrich","No sabe",0.017,0.014,0.019,0.01,0.026,0.01,0.015,0.039,0.009,0.005,0.018,0.031,0.055,0.003,0.022,0.011,0
"Facundo Manes","Muy buena",0.063,0.064,0.063,0.052,0.062,0.069,0.072,0.062,0.06,0.069,0.068,0.068,0.052,0.059,0.05,0.071,0.123
"Facundo Manes","Buena",0.142,0.156,0.126,0.128,0.119,0.159,0.184,0.149,0.141,0.134,0.166,0.154,0.15,0.113,0.152,0.138,0.242
"Facundo Manes","Ni buena ni mala",0.324,0.295,0.355,0.222,0.337,0.368,0.371,0.329,0.315,0.332,0.276,0.341,0.27,0.368,0.336,0.319,0.299
"Facundo Manes","Mala",0.165,0.174,0.156,0.146,0.169,0.178,0.163,0.15,0.159,0.188,0.166,0.137,0.154,0.178,0.191,0.157,0.208
"Facundo Manes","Muy mala",0.233,0.252,0.214,0.368,0.216,0.174,0.177,0.2,0.252,0.242,0.251,0.173,0.184,0.252,0.189,0.258,0.086
"Facundo Manes","No sabe",0.073,0.059,0.086,0.084,0.097,0.052,0.033,0.11,0.073,0.035,0.073,0.127,0.19,0.03,0.082,0.057,0.042
"Javier Milei","Muy buena",0.203,0.253,0.151,0.379,0.194,0.142,0.077,0.192,0.221,0.192,0.223,0.216,0.245,0.174,0.06,0.258,0.08
"Javier Milei","Buena",0.15,0.168,0.13,0.152,0.153,0.144,0.147,0.133,0.163,0.148,0.125,0.207,0.234,0.133,0.068,0.21,0.264
"Javier Milei","Ni buena ni mala",0.21,0.164,0.258,0.11,0.197,0.251,0.308,0.251,0.186,0.199,0.21,0.196,0.195,0.217,0.113,0.296,0.321
"Javier Milei","Mala",0.118,0.118,0.118,0.075,0.121,0.131,0.151,0.124,0.124,0.105,0.102,0.14,0.104,0.125,0.13,0.121,0.151
"Javier Milei","Muy mala",0.3,0.287,0.314,0.274,0.305,0.32,0.297,0.268,0.288,0.348,0.331,0.195,0.185,0.337,0.609,0.099,0.173
"Javier Milei","No sabe",0.019,0.01,0.029,0.01,0.03,0.012,0.02,0.032,0.018,0.008,0.009,0.046,0.037,0.014,0.02,0.016,0.011
"Maria Eugenia Vidal","Muy buena",0.155,0.139,0.172,0.088,0.149,0.179,0.222,0.178,0.154,0.134,0.174,0.13,0.176,0.146,0.042,0.272,0.098
"Maria Eugenia Vidal","Buena",0.185,0.175,0.196,0.163,0.161,0.212,0.226,0.19,0.185,0.179,0.191,0.177,0.107,0.195,0.049,0.316,0.205
"Maria Eugenia Vidal","Ni buena ni mala",0.204,0.199,0.209,0.222,0.198,0.181,0.228,0.215,0.19,0.212,0.197,0.261,0.219,0.185,0.117,0.243,0.351
"Maria Eugenia Vidal","Mala",0.122,0.136,0.107,0.158,0.119,0.108,0.102,0.091,0.138,0.132,0.104,0.173,0.159,0.11,0.164,0.068,0.181
