"var","categoria","Sergio Massa presidente por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.398,0.366,0.447,0.444,0.42,0.251
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.182,0.261,0.264,0.228,0.299
"P04","No tengo trabajo",0.181,0.18,0.213,0.13,0.156,0.261
"P04","Soy jubilado o pensionado",0.204,0.272,0.079,0.162,0.196,0.189
"P05","1",0.193,0.348,0.438,0.172,0.305,0.244
"P05","2",0.056,0.074,0.083,0.038,0.052,0.052
"P05","3",0.031,0.075,0.104,0.097,0.035,0.053
"P05","4",0.04,0.088,0.069,0.01,0.085,0.04
"P05","5",0.162,0.202,0.168,0.099,0.214,0.174
"P05","6",0.056,0.045,0.017,0.055,0.049,0.053
"P05","7",0.147,0.039,0.012,0.162,0.072,0.079
"P05","8",0.069,0.034,0.016,0.087,0.038,0.074
"P05","9",0.246,0.095,0.093,0.28,0.15,0.231
"P06","1",0.397,0.207,0.112,0.282,0.341,0.279
"P06","2",0.077,0.036,0.044,0.047,0.049,0.079
"P06","3",0.079,0.04,0.038,0.109,0.05,0.043
"P06","4",0.066,0.048,0.028,0.071,0.056,0.046
"P06","5",0.166,0.196,0.117,0.278,0.198,0.127
"P06","6",0.028,0.046,0.053,0.007,0.068,0.024
"P06","7",0.043,0.077,0.057,0.053,0.032,0.051
"P06","8",0.018,0.082,0.099,0.04,0.051,0.068
"P06","9",0.126,0.268,0.452,0.113,0.155,0.283
"P07","1",0.52,0.234,0.19,0.655,0.39,0.332
"P07","2",0.041,0.039,0.039,0.04,0.045,0.044
"P07","3",0.034,0.042,0.044,0.103,0.026,0.025
"P07","4",0.025,0.027,0.023,0.028,0.009,0.018
"P07","5",0.087,0.132,0.123,0.052,0.102,0.066
"P07","6",0.011,0.039,0.03,0.005,0.052,0.032
"P07","7",0.019,0.054,0.076,0.003,0.022,0.03
"P07","8",0.016,0.042,0.038,0.015,0.045,0.035
"P07","9",0.247,0.391,0.437,0.099,0.309,0.418
"P09","Del Frente de Todos y el peronismo",0.781,0.088,0.04,0.246,0.381,0.375
"P09","De Juntos por el cambio",0.097,0.764,0.152,0.083,0.381,0.23
"P09","De los Liberales libertarios",0.014,0.068,0.725,0.049,0.033,0.053
"P09","De la Izquierda",0.025,0.013,0.006,0.507,0.006,0.025
"P09","No sabe",0.083,0.067,0.077,0.115,0.199,0.317
"P10","A Alberto Fernández",0.174,0.267,0.126,0.147,0.167,0.157
"P10","A Sergio Massa",0.267,0.252,0.353,0.071,0.029,0.064
"P10","A algún candidato del peronismo",0.106,0.218,0.323,0.077,0.191,0.147
"P10","A algún candidato del kirchnerismo",0.453,0.263,0.198,0.705,0.613,0.632
"P11","A Alberto Fernández",0.088,0.233,0.236,0.053,0.127,0.152
"P11","A Sergio Massa",0.174,0.08,0.012,0.034,0.004,0.037
"P11","A algún candidato del peronismo",0.076,0.299,0.492,0.076,0.196,0.114
"P11","A Cristina Fernández de Kirchner",0.662,0.388,0.26,0.837,0.673,0.697
"P12","A Horacio Rodriguez Larreta",0.158,0.305,0.071,0.492,0.042,0.184
"P12","A Mauricio Macri",0.227,0.33,0.432,0.307,0.395,0.224
"P12","A Patricia Bullrich",0.298,0.293,0.48,0.046,0.416,0.523
"P12","A Facundo Manes",0.184,0.05,0.013,0.155,0.061,0.023
"P12","A Gerardo Morales",0.133,0.022,0.004,0,0.086,0.046
"P13","Seguro lo votaria",0.131,0.148,0.38,0,0.184,0.244
"P13","Quizás lo votaría",0.385,0.373,0.526,0.068,0.276,0.388
"P13","Nunca lo votaría",0.484,0.479,0.094,0.932,0.54,0.368
"P14","Lo votaría",0.075,0.512,0.221,0.027,0.251,0.178
"P14","Puede que lo vote",0.036,0.254,0.319,0.077,0.113,0.13
"P14","Nunca lo votaría",0.832,0.189,0.401,0.719,0.53,0.556
"P14","No sabe",0.057,0.045,0.059,0.177,0.106,0.136
"P15","Lo votaría",0.336,0.07,0.046,0.049,0.028,0.053
"P15","Puede que lo vote",0.436,0.139,0.077,0.232,0.227,0.267
"P15","Nunca lo votaría",0.176,0.743,0.86,0.66,0.63,0.5
"P15","No sabe",0.052,0.048,0.017,0.059,0.115,0.18
"P16","Lo votaría",0.254,0.035,0.021,0.058,0.097,0.143
"P16","Puede que lo vote",0.431,0.066,0.04,0.192,0.169,0.153
"P16","Nunca lo votaría",0.233,0.871,0.927,0.628,0.632,0.548
"P16","No sabe",0.082,0.028,0.012,0.122,0.102,0.156
"P17","La votaría",0.695,0.07,0.034,0.299,0.333,0.378
"P17","Puede que la vote",0.146,0.039,0.038,0.184,0.081,0.064
"P17","Nunca la votaría",0.13,0.879,0.918,0.467,0.548,0.453
"P17","No sabe",0.029,0.012,0.01,0.05,0.038,0.105
