"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.373,0.394,0.451,0.393,0.349,0.282
"P04","Realizo changas o trabajos de vez en cuando",0.248,0.162,0.27,0.342,0.197,0.269
"P04","No tengo trabajo",0.184,0.183,0.197,0.112,0.234,0.217
"P04","Soy jubilado o pensionado",0.195,0.261,0.082,0.153,0.22,0.232
"P05","1",0.179,0.353,0.448,0.161,0.316,0.322
"P05","2",0.054,0.067,0.081,0.041,0.07,0.066
"P05","3",0.027,0.081,0.09,0.185,0.034,0.057
"P05","4",0.038,0.084,0.071,0.021,0.081,0.086
"P05","5",0.135,0.193,0.173,0.165,0.284,0.238
"P05","6",0.05,0.048,0.017,0.11,0.055,0.037
"P05","7",0.149,0.051,0.011,0.056,0.047,0.03
"P05","8",0.088,0.03,0.019,0.03,0.026,0.024
"P05","9",0.28,0.093,0.09,0.231,0.087,0.14
"P06","1",0.427,0.181,0.132,0.217,0.197,0.291
"P06","2",0.073,0.041,0.033,0.152,0.035,0.047
"P06","3",0.082,0.044,0.031,0.073,0.034,0.025
"P06","4",0.064,0.039,0.034,0.108,0.066,0.035
"P06","5",0.147,0.175,0.12,0.323,0.255,0.192
"P06","6",0.024,0.05,0.054,0.023,0.073,0.033
"P06","7",0.033,0.088,0.055,0.011,0.044,0.069
"P06","8",0.019,0.087,0.104,0.015,0.087,0.048
"P06","9",0.131,0.295,0.437,0.078,0.209,0.26
"P07","1",0.512,0.247,0.206,0.505,0.288,0.31
"P07","2",0.047,0.034,0.047,0.023,0.034,0.005
"P07","3",0.037,0.039,0.046,0.107,0.02,0.019
"P07","4",0.024,0.021,0.026,0,0.026,0.008
"P07","5",0.079,0.134,0.116,0.152,0.134,0.054
"P07","6",0.016,0.033,0.03,0.009,0.055,0.061
"P07","7",0.015,0.057,0.074,0.004,0.044,0.02
"P07","8",0.018,0.044,0.039,0,0.057,0.032
"P07","9",0.252,0.391,0.416,0.2,0.342,0.491
"P09","Del Frente de Todos y el peronismo",0.802,0.08,0.032,0.063,0.173,0.19
"P09","De Juntos por el cambio",0.08,0.776,0.182,0.101,0.476,0.306
"P09","De los Liberales libertarios",0.014,0.064,0.706,0.071,0.075,0.058
"P09","De la Izquierda",0.025,0.006,0.007,0.534,0.025,0.04
"P09","No sabe",0.079,0.074,0.073,0.231,0.251,0.406
"P10","A Alberto Fernández",0.148,0.333,0.251,0.305,0.245,0.255
"P10","A Sergio Massa",0.189,0.214,0.359,0.427,0.284,0.257
"P10","A algún candidato del peronismo",0.121,0.192,0.351,0,0.222,0.194
"P10","A algún candidato del kirchnerismo",0.542,0.261,0.039,0.268,0.249,0.294
"P11","A Alberto Fernández",0.089,0.222,0.263,0.173,0.224,0.148
"P11","A Sergio Massa",0.099,0.151,0.047,0.091,0.265,0.247
"P11","A algún candidato del peronismo",0.087,0.242,0.651,0.311,0.338,0.156
"P11","A Cristina Fernández de Kirchner",0.725,0.385,0.039,0.425,0.173,0.449
"P12","A Horacio Rodriguez Larreta",0.33,0.284,0.064,0.495,0.025,0.195
"P12","A Mauricio Macri",0.203,0.336,0.399,0.129,0.406,0.298
"P12","A Patricia Bullrich",0.185,0.309,0.495,0.198,0.431,0.455
"P12","A Facundo Manes",0.195,0.054,0.01,0.178,0.041,0.014
"P12","A Gerardo Morales",0.087,0.017,0.032,0,0.097,0.038
"P13","Seguro lo votaria",0.115,0.145,0.372,0,0.194,0.192
"P13","Quizás lo votaría",0.362,0.372,0.532,0.106,0.27,0.372
"P13","Nunca lo votaría",0.523,0.483,0.096,0.894,0.536,0.436
"P14","Lo votaría",0.043,0.536,0.237,0.028,0.311,0.253
"P14","Puede que lo vote",0.048,0.241,0.319,0.052,0.164,0.177
"P14","Nunca lo votaría",0.843,0.181,0.375,0.724,0.411,0.433
"P14","No sabe",0.066,0.042,0.069,0.196,0.114,0.137
"P15","Lo votaría",0.238,0.054,0.054,0.035,0.089,0.118
