"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Si",0.604,0.61,0.597,0.57,0.636,0.647,0.515,0.572,0.622,0.61,0.633,0.624,0.493,0.587,0.635,0.588,0.572
"No",0.396,0.39,0.403,0.43,0.364,0.353,0.485,0.428,0.378,0.39,0.367,0.376,0.507,0.413,0.365,0.412,0.428
