"var","categoria","Totalmente de acuerdo","Bastante de acuerdo","Poco de acuerdo","Nada de acuerdo","No sabe"
"P09","Toloza Paz",0.774,0.607,0.072,0.027,0.184
"P09","Diego Santilli",0.061,0.146,0.416,0.465,0.311
"P09","Facundo Manes",0.012,0.003,0.15,0.14,0.058
"P09","Florencio Randazzo",0.012,0.031,0.12,0.018,0.055
"P09","A los candidatos de la izquierda",0.003,0.037,0.046,0.04,0.009
"P09","Jose Luis Espert",0,0.003,0.08,0.154,0.141
"P09","Otros candidatos",0.048,0.088,0.09,0.083,0.137
"P09","Votaría en blanco o anularía",0.09,0.085,0.026,0.073,0.105
