"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.913,0.845,0.777,0.925,0.784,0.843,0.734,0.389
"Puede ser",0.059,0.107,0.135,0.051,0.172,0.135,0.235,0.257
"No",0.028,0.048,0.088,0.024,0.044,0.022,0.031,0.354
