"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.452,0.508,0.059,0.605,0.272,0.332,0.427,0.509,0.326,0.124
"P09","Diego Santilli",0.236,0.109,0.413,0.162,0.282,0.249,0.414,0.319,0.101,0.221
"P09","Facundo Manes",0.053,0.078,0.117,0.063,0.109,0.028,0,0,0.108,0.011
"P09","Florencio Randazzo",0.084,0.033,0.053,0.035,0.043,0.031,0,0,0.007,0.074
"P09","A los candidatos de la izquierda",0.014,0.051,0.036,0,0.047,0.035,0,0.019,0.023,0
"P09","Jose Luis Espert",0.03,0.046,0.14,0.008,0.043,0.087,0.104,0,0,0.205
"P09","Otros candidatos",0.047,0.117,0.104,0.096,0.107,0.077,0,0.024,0.064,0.297
"P09","Votaría en blanco o anularía",0.084,0.058,0.078,0.031,0.097,0.161,0.055,0.129,0.371,0.068
