"var","categoria","Si","Puede ser","No"
"P09","Toloza Paz",0.343,0.147,0.118
"P09","Diego Santilli",0.284,0.237,0.182
"P09","Facundo Manes",0.078,0.089,0.099
"P09","Florencio Randazzo",0.061,0.022,0.017
"P09","A los candidatos de la izquierda",0.032,0.046,0.02
"P09","Jose Luis Espert",0.074,0.078,0.021
"P09","Otros candidatos",0.078,0.165,0.037
"P09","Votaría en blanco o anularía",0.05,0.216,0.506
