"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"A Gustavo Menéndez por el Frente de Todos",0.207,0.211,0.203,0.205,0.184,0.252,0.204,0.207,0.189,0.246,0.254,0.247,0.154,0.202,0.171,0.156
"A Raúl Othacehé por el Frente de Todos",0.162,0.187,0.137,0.177,0.167,0.158,0.123,0.194,0.153,0.109,0.088,0.147,0.228,0.139,0.174,0.211
"A David Zencich por Juntos por el Cambio",0.184,0.168,0.201,0.238,0.119,0.197,0.251,0.173,0.19,0.2,0.231,0.128,0.082,0.199,0.26,0.268
"A Pablo Cocuzza por Juntos por el Cambio",0.101,0.064,0.137,0.082,0.102,0.09,0.153,0.094,0.113,0.09,0.139,0.073,0.154,0.063,0.09,0.129
"Al candidato de Javier Milei por La Libertad Avanza",0.2,0.235,0.166,0.212,0.243,0.152,0.131,0.201,0.229,0.127,0.174,0.274,0.2,0.224,0.16,0.082
"Al candidato del Frente de Izquierda",0.047,0.055,0.039,0,0.063,0.055,0.076,0.052,0.04,0.052,0.044,0.084,0.031,0.009,0.034,0.023
"En blanco",0.019,0.021,0.017,0,0.036,0.013,0.016,0.019,0.015,0.03,0.004,0.005,0.049,0.027,0.047,0.009
"No sabe",0.08,0.059,0.1,0.086,0.086,0.083,0.046,0.06,0.071,0.146,0.066,0.042,0.102,0.137,0.064,0.122
