"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","No sabe"
"P08","A Gustavo Menéndez por el Frente de Todos",0.574,0.537,0.194,0.203
"P08","A Raúl Othacehé por el Frente de Todos",0.293,0.072,0.063,0.021
"P08","A David Zencich por Juntos por el Cambio",0.072,0.355,0.673,0
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.005,0.028,0,0.032
"P08","Al candidato de Javier Milei por La Libertad Avanza",0,0,0,0.476
"P08","Al candidato del Frente de Izquierda",0.001,0.008,0.07,0.012
"P08","En blanco",0,0,0,0
"P08","No sabe",0.055,0,0,0.256
"P10","A Gustavo Menéndez por el Frente de Todos",0.558,0.923,0.78,0.246
"P10","A Raúl Othacehé por un partido vecinal",0.081,0.014,0.22,0.012
"P10","A David Zencich por Juntos por el Cambio",0.057,0.023,0,0.012
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.25,0.009,0,0
"P10","Al candidato de Javier Milei por La Libertad Avanza",0,0.009,0,0.435
"P10","Al candidato del Frente de Izquierda",0,0.014,0,0.022
"P10","En blanco",0,0.004,0,0
"P10","No sabe",0.054,0.004,0,0.273
"P12","Lo votaría",0.75,0.926,0.073,0.246
"P12","Puede que lo vote",0.03,0.031,0.132,0.039
"P12","Nunca lo votaría",0.167,0.035,0.698,0.469
"P12","No sabe",0.053,0.008,0.097,0.246
"P13","Lo votaría",0.505,0.491,0.832,0.022
"P13","Puede que lo vote",0.047,0.044,0.046,0.056
"P13","Nunca lo votaría",0.394,0.437,0.107,0.712
"P13","No sabe",0.054,0.028,0.015,0.21
"P14","Lo votaría",0.097,0.016,0.523,0
"P14","Puede que lo vote",0.32,0.317,0.012,0.015
"P14","Nunca lo votaría",0.53,0.626,0.106,0.898
"P14","No sabe",0.053,0.041,0.359,0.087
"P15","Lo votaría",0.009,0,0.016,0
"P15","Puede que lo vote",0.312,0.254,0.497,0.053
"P15","Nunca lo votaría",0.62,0.608,0.111,0.84
"P15","No sabe",0.059,0.138,0.376,0.107
"P16","Lo votaría",0.236,0.586,0.513,0.089
"P16","Puede que lo vote",0.276,0.022,0.063,0.68
"P16","Nunca lo votaría",0.383,0.392,0.048,0.089
"P16","No sabe",0.105,0,0.376,0.142
"P17","Lo votaría",0.16,0.109,0.575,0.055
"P17","Puede que lo vote",0.121,0.615,0.033,0.67
"P17","Nunca lo votaría",0.465,0.201,0.032,0.147
"P17","No sabe",0.254,0.075,0.36,0.128
"P18","Lo votaría",0.124,0,0.493,0
"P18","Puede que lo vote",0.152,0.611,0.017,0.057
"P18","Nunca lo votaría",0.403,0.256,0.067,0.171
"P18","No sabe",0.321,0.133,0.423,0.772
"P19","Lo votaría",0.155,0,0.518,0
"P19","Puede que lo vote",0.182,0.749,0.383,0.011
"P19","Nunca lo votaría",0.308,0.122,0.066,0.146
"P19","No sabe",0.355,0.129,0.033,0.843
"P20","La seguridad",0.161,0.444,0,0.034
"P20","El tránsito",0.002,0,0,0
"P20","El arreglo de las calles",0.417,0.33,0.022,0.034
"P20","El estado de las escuelas y la educación",0.231,0.082,0.416,0.843
"P20","El sistema de salud",0.009,0.007,0.033,0
